"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","reddening of leaf in rice","SPRAY 30 GRAMS COPPER OXY CHLORIDE+ 1 GRAM STREPTOCYCLIN PER 10 LITRES","ANDHRA PRADESH","CHITTOOR","THOTTAMBEDU                                       ","2014-10-01 09:23:52.867"
"RABI","AGRICULTURE","Others","Others","Weather","weather information","normal","ANDHRA PRADESH","CHITTOOR","NINDRA                                            ","2014-10-01 14:29:57.760"
"RABI","AGRICULTURE","Others","Others","Weather","weather information","normal","ANDHRA PRADESH","CHITTOOR","PAKALA                                            ","2014-10-01 18:28:54.697"
"KHARIF","AGRICULTURE","Others","Others","Weather","waether","normal","ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA                                       ","2014-10-02 06:43:59.157"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","weather","normal","ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE                                      ","2014-10-02 07:22:53.170"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","bacterial wilt  in bhendi","blitox @3g/lit water","ANDHRA PRADESH","CHITTOOR","PULICHERLA H/O REDDIVARIPALLE                     ","2014-10-02 08:50:04.550"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recomended corazine 80ml/acre","ANDHRA PRADESH","CHITTOOR","NINDRA                                            ","2014-10-02 10:57:48.190"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast in paddy","recomended bheem 120g/acre","ANDHRA PRADESH","CHITTOOR","GANGAVARAM                                        ","2014-10-02 12:05:10.023"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","no rain","ANDHRA PRADESH","CHITTOOR","CHITTOOR                                          ","2014-10-02 15:38:21.050"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weather information","normal","ANDHRA PRADESH","CHITTOOR","NINDRA                                            ","2014-10-02 18:30:24.140"
"JAYAD","AGRICULTURE","Millets","Barnyard Millet (Kundiraivlli/Sawan","	Plant Protection	","weather information","normal","ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE                                      ","2014-10-02 19:57:45.420"
"KHARIF","AGRICULTURE","Others","Others","Weather","fcc phn no:","FARMERS CALL CENTRE	1800-425-1110  180 425 4440","ANDHRA PRADESH","CHITTOOR","PILER                                             ","2014-10-03 08:43:02.300"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","ulala& confidar","ANDHRA PRADESH","CHITTOOR","IRALA                                             ","2014-10-03 09:12:26.333"
"KHARIF","AGRICULTURE","Others","Others","Varieties","waether","normal","ANDHRA PRADESH","CHITTOOR","BANGARUPALEM                                      ","2014-10-03 11:30:47.657"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weatehr","normal","ANDHRA PRADESH","CHITTOOR","PAKALA                                            ","2014-10-03 12:07:11.213"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","normal","ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE                                     ","2014-10-03 12:22:28.277"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather","normal","ANDHRA PRADESH","CHITTOOR","BANGARUPALEM                                      ","2014-10-03 12:55:49.133"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","SPOTS ON TOMATO","ACITAMAPRID 0.3GM/L OF WATER","ANDHRA PRADESH","CHITTOOR","CHITTOOR                                          ","2014-10-03 13:00:20.710"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","LEAFHOPPERS IN CHRYSANTHIMUM","DIMETHOATE(ROGAR, ROGARIN) 400 ML PER ACRE","ANDHRA PRADESH","CHITTOOR","IRALA                                             ","2014-10-03 13:04:27.193"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAIN","ANDHRA PRADESH","CHITTOOR","BANGARUPALEM                                      ","2014-10-03 13:29:26.617"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","no rain","ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE                                ","2014-10-03 15:38:20.557"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weather report","no rain","ANDHRA PRADESH","CHITTOOR","GUDUPALLE                                         ","2014-10-03 17:09:02.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in rice","CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","ANDHRA PRADESH","CHITTOOR","BUCHINADIDU KHANDRIGA                             ","2014-10-03 18:41:56.093"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","no rain","ANDHRA PRADESH","CHITTOOR","CHITTOOR                                          ","2014-10-04 08:38:57.043"
