"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy mgmt.","RECOMMENDED TO SPRAY CARBOFURAN(FURADAN,TATAFURAN)10 KG PER ACRE","ANDHRA PRADESH","KRISHNA","MACHILIPATNAM                                     ","2014-09-06 17:58:50.240"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked cotton","RECOMMENDED TO SPRAY DICOFAL(KELTHANE, MITE, HILLFOL) 1000 ML PER ACRE    ????????(????????, ????, ???? ????) ??????? 1 ?????  200 ??????? ?????? ????? ???????? ??????","ANDHRA PRADESH","KRISHNA","BANTUMILLI                                        ","2014-09-09 20:27:19.180"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","chilli leaf curl","recommended pegasis 1.5gm/litre","ANDHRA PRADESH","KRISHNA","MYLAVARAM                                         ","2014-09-10 07:13:27.660"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weed plbm","spring herbicide","ANDHRA PRADESH","KRISHNA","PAMARRU                                           ","2014-09-10 11:33:58.853"
"KHARIF","AGRICULTURE","Others","Others","Weed Management","fcc no  18004251110","fcc no  18004251110","ANDHRA PRADESH","KRISHNA","PAMARRU                                           ","2014-09-10 11:38:26.780"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","showers around the evening","ANDHRA PRADESH","KRISHNA","G.KONDURU                                         ","2014-09-10 13:14:03.860"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy stem borer","recommended korazin 80ml/acre","ANDHRA PRADESH","KRISHNA","BANTUMILLI                                        ","2014-09-10 13:47:25.917"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","patti edugudala kosam","multi k 1kg/acr","ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM                                      ","2014-09-10 20:27:58.253"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirapa lo aaku mudatha","pegasea 300gm/acr","ANDHRA PRADESH","KRISHNA","MYLAVARAM                                         ","2014-09-11 13:52:03.260"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","EARLY SOWING","SUITABLE BUT  yield is less","ANDHRA PRADESH","KRISHNA","TIRUVURU                                          ","2014-09-11 14:18:42.880"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bacterial disease in paddy","bluecopper 30g+plantomycin 1g +10lit water","ANDHRA PRADESH","KRISHNA","MOVVA                                             ","2014-09-12 10:21:30.140"
"KHARIF","HORTICULTURE","Plantation Crops","Oil palm","	Plant Protection	","leaf spot on palm tree","mancozeb 3gm/l of water","ANDHRA PRADESH","KRISHNA","GANNAVARAM                                        ","2014-09-12 18:18:01.883"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","megnisum deficiency","mgnsm sulphate/10g/lit wter","ANDHRA PRADESH","KRISHNA","TIRUVURU                                          ","2014-09-12 20:55:30.953"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","tricyclazole 0.6gm/l of water","ANDHRA PRADESH","KRISHNA","CHALLAPALLI                                       ","2014-09-13 11:37:32.077"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","acephate 300g/acre","ANDHRA PRADESH","KRISHNA","MACHILIPATNAM                                     ","2014-09-13 17:26:39.670"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaves turn n red colour","dicofal25ML/LIT wter","ANDHRA PRADESH","KRISHNA","CHATRAI                                           ","2014-09-14 15:27:52.153"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","wild boar attack in sugarcane","recomended phorate granules and  sand baging in suround boarder of sugar cane crop","ANDHRA PRADESH","KRISHNA","PAMIDIMUKKALA                                     ","2014-09-16 16:13:00.337"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","minumu seed","variety l.g.b-645,685","ANDHRA PRADESH","KRISHNA","KODURU                                            ","2014-09-18 10:30:19.620"
