"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","downymildew in chilli","recommended  wetta ble  sulphur 600g/acre","ANDHRA PRADESH","NELLORE","DORAVARISATRAM                                    ","2014-12-02 17:56:40.950"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","today market rates of  blackgram","addanki; rs6300-6400/qtl","ANDHRA PRADESH","NELLORE","MARRIPADU                                         ","2014-12-02 18:09:10.463"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","FARMERS CALL CENTRE","FARMERS CALL CENTRE	1800-425-1110","ANDHRA PRADESH","NELLORE","KOVUR                                             ","2014-12-02 18:40:52.017"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recommended applaud 330ml/acre,  confidor 90ml/acre","ANDHRA PRADESH","NELLORE","KAVALI                                            ","2014-12-02 18:44:01.780"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF FOLDER  IN PADDY","recommended carboran granules  10kg/acre","ANDHRA PRADESH","NELLORE","KAVALI                                            ","2014-12-02 18:52:30.297"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Sowing Time and Weather","sowing time","recomended  december sowing time","ANDHRA PRADESH","NELLORE","RAPUR                                             ","2014-12-03 10:07:11.237"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","VEGETATIVE GROWTH IN GREENGRAM","MULTI-K 1KG/ACR","ANDHRA PRADESH","NELLORE","VAKADU                                            ","2014-12-04 17:21:47.767"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recommended applaud 330ml/acre","ANDHRA PRADESH","NELLORE","KALIGIRI                                          ","2014-12-06 08:03:48.990"
"RABI","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","growthing in drum stick","recommended multi k 1kg/acre","ANDHRA PRADESH","NELLORE","DORAVARISATRAM                                    ","2014-12-06 08:27:24.470"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","fertilizers in paddy","recommended 225kg single super","ANDHRA PRADESH","NELLORE","KAVALI                                            ","2014-12-06 10:23:52.513"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER IN RICE","RECOMMENDED CHLOROPHYRYPHOS  500 ML PER ACRE","ANDHRA PRADESH","NELLORE","KOVUR                                             ","2014-12-07 10:28:05.450"
"RABI","HORTICULTURE","Fruits","Mango","Water Management, Micro Irrigation","leaf folder in mango","recomended  chloripyriphos 2.5 ml/lit water","ANDHRA PRADESH","NELLORE","DAGADARTHI                                        ","2014-12-07 19:27:03.417"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","growthing in chilli","recomended agrominmax 1kg/acre","ANDHRA PRADESH","NELLORE","DAGADARTHI                                        ","2014-12-08 14:33:18.247"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weed management in paddy","recomended pretilachlor 500ml/25 kg sand","ANDHRA PRADESH","NELLORE","DAKKILI                                           ","2014-12-08 17:21:54.043"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recomendd  chloripyriphos 2.5ml/lit water","ANDHRA PRADESH","NELLORE","KALUVOYA                                          ","2014-12-08 18:13:27.060"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Soil Testing","Soil Testing Laboratory","Nellore	-	9505518148	0861-2326655	Assistant Director of Agriculture, (Soil Testing Laboratory) D.No 16/1597, Railway Feeders Road, RDO’s Complex, Nellore-524003.","ANDHRA PRADESH","NELLORE","KODAVALUR                                         ","2014-12-08 20:21:47.847"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","recomended fipronil 400ml/acre","ANDHRA PRADESH","NELLORE","KALUVOYA                                          ","2014-12-08 20:30:32.070"
"RABI","AGRICULTURE","Cereals","Oats ","	Plant Protection	","YELLOWING OF LEAF","SPRAY 30 GRAMS COPPER OXY CHLORIDE+ 1 GRAM STREPTOCYCLIN PER 10 LITRES","ANDHRA PRADESH","NELLORE","KODAVALUR                                         ","2014-12-09 08:55:36.833"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER","CHANCE TO RAIN","ANDHRA PRADESH","NELLORE","MUTHUKUR                                          ","2014-12-09 10:42:41.120"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weed management in paddy","recomended  pretilachlor 500ml/25kg sand","ANDHRA PRADESH","NELLORE","DAGADARTHI                                        ","2014-12-09 19:49:05.360"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","clouds and spoty showers","ANDHRA PRADESH","NELLORE","DAKKILI                                           ","2014-12-12 14:30:42.050"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","YELLOW mosaic  virus","recomende  rogar 2ml/lit water","ANDHRA PRADESH","NELLORE","NAIDUPETA                                         ","2014-12-12 16:10:09.637"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","root rot  in tomato","recomended blitex 3g/lit water","ANDHRA PRADESH","NELLORE","CHILLAKUR                                         ","2014-12-12 19:50:31.157"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weather","no chance to rain","ANDHRA PRADESH","NELLORE","MANUBOLU                                          ","2014-12-13 16:29:31.903"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","HISPA IN RICE","DIMETHOATE(ROGAR, ROGARIN) 400 ML PER ACRE","ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA                                 ","2014-12-13 17:42:27.100"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","catter piller in citrus","recomended monocrotophos 1.6ml/lit water","ANDHRA PRADESH","NELLORE","CHILLAKUR                                         ","2014-12-14 09:04:39.923"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended acephate 1.5g/lit water","ANDHRA PRADESH","NELLORE","ATMAKUR                                           ","2014-12-14 15:51:49.360"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","catter piller in chilli","recomended tracer 75g/acre","ANDHRA PRADESH","NELLORE","KALUVOYA                                          ","2014-12-14 19:12:04.610"
"RABI","ANIMAL HUSBANDRY","Animal","Goat","Animal Nutrition","VETERNARY","VETERNARY	040-23311720,  9848406211-koteshwar rao (knr)
040-24015316","ANDHRA PRADESH","NELLORE","CHILLAKUR                                         ","2014-12-15 14:59:42.780"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","reddening  of leaves","recomended  agromin max 1kg /acre","ANDHRA PRADESH","NELLORE","DUTTALUR                                          ","2014-12-15 20:48:45.897"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ROOT rot in cotton","recomended  blitex 3g/lit water","ANDHRA PRADESH","NELLORE","GUDUR                                             ","2014-12-16 14:42:34.213"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","chances of showers","ANDHRA PRADESH","NELLORE","MANUBOLU                                          ","2014-12-16 16:51:21.193"
"RABI","HORTICULTURE","Fruits","Citrus","Training and Exposure Visits","books","Press ANGRAU	040-24015161(EXT 372), 9989625242	040-24015161(EXT 372), 9989625242","ANDHRA PRADESH","NELLORE","GUDUR                                             ","2014-12-16 19:30:02.297"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","FIPRONIL(REGENT, BILLGRAN, SALVO) 400 ML PER ACRE","ANDHRA PRADESH","NELLORE","DORAVARISATRAM                                    ","2014-12-17 11:14:21.217"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","CARBOFURAN(FURADAN,TATAFURAN)10 KG PER ACRE","ANDHRA PRADESH","NELLORE","KONDAPURAM                                        ","2014-12-17 12:57:27.703"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in rice","CHLOFENPYRPHOS  (INTRAPRID, LEPIDO) 300 ML PER ACRE","ANDHRA PRADESH","NELLORE","CHEJERLA                                          ","2014-12-17 15:17:10.377"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","yellowing in chillie","TRIAZOPHOS (HOSTATHION, TITAN, SUTATHION) 300 ML PER ACRE","ANDHRA PRADESH","NELLORE","BUTCHIREDDIPALEM","2014-12-17 16:16:22.227"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","A.O","NALGONDA	P. GIRI PRASAD	8886614433	A.O
	SRUJANA	8886614430","ANDHRA PRADESH","NELLORE","CHITTAMUR                                         ","2014-12-18 16:32:50.280"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","CARBOFURAN(FURADAN,TATAFURAN)10 KG PER ACRE","ANDHRA PRADESH","NELLORE","BALAYAPALLE                                       ","2014-12-19 14:57:22.570"
