"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","","varities","jgl- 11 is good bengal gram variety","ANDHRA PRADESH","VIZIANAGARM","GARIVIDI                                          ","2014-08-01 07:12:14.000"
"","HORTICULTURE","Vegetables","Tomato","","leaf eating and fruit borer","spraying of chloropyriphas 2.5 ml/lit water","ANDHRA PRADESH","VIZIANAGARM","NELLIMARLA                                        ","2014-08-01 08:14:45.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","WEEDICIDE","ALACHLOR 1LITER/ACRE","ANDHRA PRADESH","VIZIANAGARM","GARUGUBILLI                                       ","2014-08-01 09:09:13.000"
"","AGRICULTURE","Fiber Crops","Jute","","cotton root rot","copper oxy chloride 3g/lit, pour at root area","ANDHRA PRADESH","VIZIANAGARM","VEPADA                                            ","2014-08-01 09:58:05.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weedicide","spraying of butachlor 1 lit/acre","ANDHRA PRADESH","VIZIANAGARM","PACHIPENTA                                        ","2014-08-01 12:53:43.000"
"","AGRICULTURE","Millets","Maize (Makka)","","maize weedicide","metribuzin 200-250g/acre","ANDHRA PRADESH","VIZIANAGARM","GARIVIDI                                          ","2014-08-01 13:37:48.000"
"","AGRICULTURE","Others","Others","Nutrient Management","root rot","blitox 3 ge litre","ANDHRA PRADESH","VIZIANAGARM","LAKKAVARAPUKOTA                                   ","2014-08-01 17:19:43.000"
"","AGRICULTURE","Others","Others","Weather","weather report","clouds and sunny weather","ANDHRA PRADESH","VIZIANAGARM","NELLIMARLA                                        ","2014-08-02 07:33:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","20-20-0 veskovachu","urea veskondi","ANDHRA PRADESH","VIZIANAGARM","PARVATHIPURAM                                     ","2014-08-02 08:32:34.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","spray monocrotophos 1.6 ml/acre","ANDHRA PRADESH","VIZIANAGARM","CHEEPURUPALLE                                     ","2014-08-02 08:52:39.000"
"","","","","","","","ANDHRA PRADESH","VIZIANAGARM","PACHIPENTA                                        ","2014-08-02 14:03:03.000"
"","AGRICULTURE","Others","Others","Weather","weather report","thunder storm","ANDHRA PRADESH","VIZIANAGARM","BOBBILI                                           ","2014-08-02 15:10:24.000"
"","AGRICULTURE","Others","Others","Weather","weather","recommended mostly cloudy","ANDHRA PRADESH","VIZIANAGARM","CHEEPURUPALLE                                     ","2014-08-02 15:39:41.000"
"","AGRICULTURE","Others","Others","Weather","weather report","A shower or t-storm in spots","ANDHRA PRADESH","VIZIANAGARM","BONDAPALLE                                        ","2014-08-02 16:50:15.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","caterpillar","CARBOFURAN(FURADAN,TATAFURAN)10 KG PER ACRE","ANDHRA PRADESH","VIZIANAGARM","RAMABHADRAPURAM                                   ","2014-08-02 17:06:51.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","zn deficiency","recommended zinc sulphate 2g/l","ANDHRA PRADESH","VIZIANAGARM","BADANGI                                           ","2014-08-02 19:41:31.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","FE DEFICIENCY IN PADDY","FESO4 20 G/L AND LIME","ANDHRA PRADESH","VIZIANAGARM","JIYYAMMAVALASA                                    ","2014-08-02 20:13:51.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","paddy mgmt.","pretilachlore and safener (sofit)-600 ml/acre","ANDHRA PRADESH","VIZIANAGARM","GARIVIDI                                          ","2014-08-03 09:50:52.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot borrer","coragen 60ml/acre","ANDHRA PRADESH","VIZIANAGARM","DENKADA                                           ","2014-08-03 17:12:27.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","asked about weed mangemnt","recomonded prithio back sodium 250 ml/200 lit of water","ANDHRA PRADESH","VIZIANAGARM","JAMI                                              ","2014-08-03 17:44:22.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","weedicide","no weedicide after 40 days","ANDHRA PRADESH","VIZIANAGARM","BOBBILI                                           ","2014-08-04 08:08:24.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weedicide","namini gold 100 ml/acre","ANDHRA PRADESH","VIZIANAGARM","THERLAM                                           ","2014-08-04 08:26:35.000"
"","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","asked about bacterial blight","recomonded 10 gram carbandazim /10 lit of water","ANDHRA PRADESH","VIZIANAGARM","BADANGI                                           ","2014-08-04 16:25:09.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","weedicide","recommended butachlor 1200ml/are","ANDHRA PRADESH","VIZIANAGARM","SALUR                                             ","2014-08-05 06:52:07.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","paddy weedicide","top star 30g/20kg sand/acre","ANDHRA PRADESH","VIZIANAGARM","GAJAPATHINAGARAM                                  ","2014-08-05 08:32:27.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","asked fertilizer application","apply urea potash","ANDHRA PRADESH","VIZIANAGARM","PUSAPATIREGA                                      ","2014-08-05 12:33:25.000"
