"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","weedicide","PROPAQUIZAFOP(AGIL) 250-300 ML/ACRE","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2014-08-01 09:54:25.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","paddy","chlorpyriphos 500ml/acre","ANDHRA PRADESH","WEST GODAVARI","BHIMAVARAM","2014-08-01 10:09:20.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","sheath blight and rots","spraying hexaconozol 400ml/acre","ANDHRA PRADESH","WEST GODAVARI","KAMAVARAPUKOTA","2014-08-01 10:30:15.000"
"","AGRICULTURE","Others","Others","Weather","weather report","clouds and sunny weather","ANDHRA PRADESH","WEST GODAVARI","GOPALAPURAM","2014-08-01 11:13:50.000"
"","HORTICULTURE","Plantation Crops","Coconut","","inter crops","maize, chilli.","ANDHRA PRADESH","WEST GODAVARI","ACHANTA","2014-08-01 12:18:33.000"
"","","","","","","","ANDHRA PRADESH","WEST GODAVARI","NIDAMARRU","2014-08-01 16:34:51.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","weedicide","6 months crop ki weedicide kottaradhu","ANDHRA PRADESH","WEST GODAVARI","PALACOLE","2014-08-01 16:58:01.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","Clouds, a couple of t-storms","ANDHRA PRADESH","WEST GODAVARI","GOPALAPURAM","2014-08-01 17:11:07.000"
"","AGRICULTURE","Others","Others","Weather","weather report","mostly cloudy with thunderstorm","ANDHRA PRADESH","WEST GODAVARI","BHIMADOLE","2014-08-01 17:34:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","paddy weedicide","spray pritilachlor 500ml/ acre within 4-6 days after transplanting","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2014-08-01 17:55:07.000"
"","","","","","","","ANDHRA PRADESH","WEST GODAVARI","DENDULURU","2014-08-01 19:32:42.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","CLOUDS AND A THUNDERSTORM","ANDHRA PRADESH","WEST GODAVARI","GOPALAPURAM","2014-08-01 20:05:05.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weedicide in paddy","hand weeding is better for this time.","ANDHRA PRADESH","WEST GODAVARI","NIDAMARRU","2014-08-02 08:23:26.000"
"","AGRICULTURE","Others","Others","Agriculture Mechanization","power weeder subsidy information","contact to your mandal agricultural officer","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2014-08-02 10:19:11.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","fertilizers","dap 1bag/acre","ANDHRA PRADESH","WEST GODAVARI","KOYYALAGUDEM","2014-08-02 14:56:00.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","s cane mgmt","1800 425 4440","ANDHRA PRADESH","WEST GODAVARI","GANAPAVARAM","2014-08-02 15:29:03.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","","COW IS DEAD","RECOMMANDED FOR MANDAL VETERNARY OFFICER","ANDHRA PRADESH","WEST GODAVARI","UNGUTURU","2014-08-02 18:42:02.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","zinc deficience","zinc sulphate 400g/acre","ANDHRA PRADESH","WEST GODAVARI","PALACOLE","2014-08-02 19:59:19.000"
"","AGRICULTURE","Others","Others","Weather","weather report","no rain","ANDHRA PRADESH","WEST GODAVARI","BHIMAVARAM","2014-08-03 09:38:10.000"
"","HORTICULTURE","Vegetables","Drum Stick","","variety","suvasini,bhuvaneswer","ANDHRA PRADESH","WEST GODAVARI","GOPALAPURAM","2014-08-03 13:07:19.000"
"","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","asked about stem borer","recommended  carbofuron 3 g 4kg/acre","ANDHRA PRADESH","WEST GODAVARI","JANGAREDDIGUDEM","2014-08-03 16:02:13.000"
"","AGRICULTURE","Others","Others","","weather report","eroju, repu varsham ledu","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2014-08-03 16:43:37.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton leaves yellow colour","mancozeb2g/lit water","ANDHRA PRADESH","WEST GODAVARI","IRAGAVARAM","2014-08-03 17:11:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","fertilizers","recommended for  apply 1 bag urea and 25 kg potash","ANDHRA PRADESH","WEST GODAVARI","JANGAREDDIGUDEM","2014-08-03 17:37:08.000"
"","AGRICULTURE","Others","Others","Weather","weather","mostly cloudy and showers","ANDHRA PRADESH","WEST GODAVARI","BUTTAYAGUDEM","2014-08-03 19:58:24.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","fertilizers","recommended dap 1 bag","ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE","2014-08-03 20:10:05.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","herbicide details in greengram","spray pendimethalin 1.5 lit/acre","ANDHRA PRADESH","WEST GODAVARI","CHAGALLU","2014-08-04 08:05:35.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Cultural Practices","white flies","DIMETHOATE(ROGAR, ROGARIN) 400 ML PER ACRE","ANDHRA PRADESH","WEST GODAVARI","VEERAVASARAM","2014-08-04 09:07:36.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Cultural Practices","white flies","DIMETHOATE(ROGAR, ROGARIN) 400 ML PER ACRE","ANDHRA PRADESH","WEST GODAVARI","VEERAVASARAM","2014-08-04 09:07:39.000"
"","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","leaf spot in pomegranate","spray mancozeb 2.5 gm/lit","ANDHRA PRADESH","WEST GODAVARI","NARSAPUR","2014-08-04 09:29:00.000"
"","AGRICULTURE","Others","Others","Weather","weather report","cloudy weather","ANDHRA PRADESH","WEST GODAVARI","KOYYALAGUDEM","2014-08-04 10:01:53.000"
"","AGRICULTURE","Others","Others","","rice weedicide","pretillachlor 0.5lit/20kg sand/acre","ANDHRA PRADESH","WEST GODAVARI","ELAMANCHILI","2014-08-04 10:23:48.000"
"","ANIMAL HUSBANDRY","Avian","Turkey","Animal Breeding","poultry form","poultry	040-24015323 , 040- 25505442 , 9491367458  (knr)","ANDHRA PRADESH","WEST GODAVARI","ACHANTA","2014-08-04 10:43:57.000"
"","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","","poultry details","contact to 04024015323 , 04025505442","ANDHRA PRADESH","WEST GODAVARI","JANGAREDDIGUDEM","2014-08-04 10:50:31.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","flooding","recommended urea 10g/l, contaf 2ml/l","ANDHRA PRADESH","WEST GODAVARI","PENUMANTRA","2014-08-04 11:19:10.000"
"","AGRICULTURE","Others","Others","","paddy drum seeder","18004254440","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2014-08-04 16:24:19.000"
"","AGRICULTURE","Others","Others","","farmer call centre","farmer call centre 1800 425 4440","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-08-04 16:30:01.000"
"","HORTICULTURE","Vegetables","Ridge Gourd","Nutrient Management","nutrient management in ridgegourd","apply potash","ANDHRA PRADESH","WEST GODAVARI","PENUMANTRA","2014-08-04 16:30:34.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","CLOUDY WITH LITTLE SHOWER","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-08-04 17:32:15.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","CLOUDY WITH LITTLE SHOWER","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-08-04 17:32:16.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","CLOUDY WITH LITTLE SHOWER","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-08-04 17:32:18.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","CLOUDY WITH LITTLE SHOWER","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-08-04 17:32:19.000"
"","AGRICULTURE","Others","Others","","crop  insurence","RAMANA MURTHY	8886613017","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-08-04 18:27:37.000"
"","AGRICULTURE","Others","Others","Crop Insurance","crop insurance for banana","Credits/loans/banks	1800 425 8525","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-08-04 18:37:11.000"
"","AGRICULTURE","Others","Others","Agriculture Mechanization","mechinery","040-24015011(EXT: 438)","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-08-04 18:42:16.000"
"","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","whitefly","recommended acephate 300g/acre","ANDHRA PRADESH","WEST GODAVARI","DENDULURU","2014-08-05 09:18:00.000"
"","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","stem borer","QUINOLPHOS(EKALUX, FLASH, DHANULUX,QUINGUARD) 400 ML PER ACRE","ANDHRA PRADESH","WEST GODAVARI","ACHANTA","2014-08-05 09:19:45.000"
"","HORTICULTURE","Fruits","Mango","","mango fertilizers","urea 250g+potash 250g+single super phosphate 600g+25kg compost/plant","ANDHRA PRADESH","WEST GODAVARI","DEVARAPALLE","2014-08-05 14:19:47.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","paddy basal dose","recommended application 125 kg single super + 20 kg urea+ 10 kg potash in rice as basal dose","ANDHRA PRADESH","WEST GODAVARI","NIDAMARRU","2014-08-05 15:24:11.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Field Preparation	","asked about weed management","recomonded pendi methalin 1.3 lit/200 lit of water","ANDHRA PRADESH","WEST GODAVARI","BHIMADOLE","2014-08-05 15:50:34.000"
"","AGRICULTURE","Millets","Maize (Makka)","","asked maIZE","RECOMMANDED FOR CARBOFURAN(FURADAN,TATAFURAN)10 KG PER ACRE    ????????????? ??????? (????????,????????????) ?????? 10 ??????","ANDHRA PRADESH","WEST GODAVARI","KOYYALAGUDEM","2014-08-05 16:42:45.000"
"","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","asked about stem rot","3 grams copper oxy chloride/lit of water","ANDHRA PRADESH","WEST GODAVARI","ELAMANCHILI","2014-08-05 17:48:42.000"
"","AGRICULTURE","Millets","Maize (Makka)","","CHARCOAL ROT","NO REMEDIAL MEASURE","ANDHRA PRADESH","WEST GODAVARI","ELAMANCHILI","2014-08-05 18:37:52.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","irrigatation","water kept in 2cm only","ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA","2014-08-05 18:58:28.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot borer","RECOMMENDED TO SPRAY NEEMOIL(AZADI,NIMBICIDIN, RAKSHAK) 1 LITRE PER ACRE","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2014-08-05 21:28:23.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","asked fertilizer application","apply urea potash","ANDHRA PRADESH","WEST GODAVARI","BHIMADOLE","2014-08-06 06:42:19.000"
"","HORTICULTURE","Vegetables","Brinjal","","cterpiller","prophenophos 2 ml per litre","ANDHRA PRADESH","WEST GODAVARI","ACHANTA","2014-08-06 07:15:53.000"
"","AGRICULTURE","Millets","Maize (Makka)","","drip systems on subsidy","contact your agri officer","ANDHRA PRADESH","WEST GODAVARI","ELURU","2014-08-06 07:26:28.000"
"","HORTICULTURE","Fruits","Guava","","weedicide","GLYPOSATE(GLYCEL, ROUNDUP) 1 LITRE PER ACRE","ANDHRA PRADESH","WEST GODAVARI","KOYYALAGUDEM","2014-08-06 11:38:56.000"
"","HORTICULTURE","Vegetables","Chillies","","chilli trips control","recommended spray for DIMETHOATE 2 ml/litre in chilli","ANDHRA PRADESH","WEST GODAVARI","ELAMANCHILI","2014-08-06 15:40:56.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","asked about fertiliser management","100 kg urea share equally during dammu, tillering,panicle intiation,DAP 50 kg during dukki,50 kg potash during dukki","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2014-08-06 16:01:16.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton leaves are turning into red colour","recommonded magnisium sulphate 10gm/litre","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2014-08-06 16:52:25.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","asked about root cater piller (veru ladde purugu)","recomonded phorate 10 g 8 kg/acre","ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA","2014-08-06 17:01:05.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","zinc def","zinc sulphate 20 kgs/acre","ANDHRA PRADESH","WEST GODAVARI","KALLA","2014-08-06 17:46:27.000"
"","HORTICULTURE","Fruits","Mango","","fertilizers","14:35:14 /plant","ANDHRA PRADESH","WEST GODAVARI","IRAGAVARAM","2014-08-06 19:34:31.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","asked about stem borer","reccomonded chlorostroponil 80 ml/200 lit of water","ANDHRA PRADESH","WEST GODAVARI","KAMAVARAPUKOTA","2014-08-06 20:00:12.000"
"","AGRICULTURE","Others","Others","	Plant Protection	","weedicide","GLYPOSATE(GLYCEL, ROUNDUP) 1  Lt  PER ACRE","ANDHRA PRADESH","WEST GODAVARI","GANAPAVARAM","2014-08-06 20:04:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weedicide in paddy","saathi 80 to 100 gr / acre mixed with 20 kgs of sand","ANDHRA PRADESH","WEST GODAVARI","KALLA","2014-08-07 07:23:27.000"
"","AGRICULTURE","Others","Others","	Field Preparation	","herbicide for open feild","glyphosate 2 litre/acre","ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA","2014-08-07 10:17:50.000"
"","HORTICULTURE","Plantation Crops","Cocoa","	Plant Protection	","SCAB","RECOMMENDED TO SPRAY CALIXIN 3 ML/LITRE","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2014-08-07 10:37:18.000"
"","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","Cultural Practices","magnesium deficiency","spray magnesium sulphate 10g/l.","ANDHRA PRADESH","WEST GODAVARI","ACHANTA","2014-08-07 10:53:32.000"
"","","","","","","","ANDHRA PRADESH","WEST GODAVARI","ELURU","2014-08-07 15:20:11.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Nutrient Management","crop growth in sugarcane","multi k 1 kg per acre","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2014-08-07 15:21:40.000"
"","AGRICULTURE","Others","Others","","weather report","no rain today in west godavari","ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM","2014-08-07 17:26:43.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","sheath blight control in paddy","HEXACONAZOLE(CONTAF, ANVIL)  400 ML PER ACRE  ?????????????  (??????,  ??????)    ???????? 400 ?? ???  200 ??????? ?????? ????? ???????? ??????","ANDHRA PRADESH","WEST GODAVARI","UNGUTURU","2014-08-07 17:42:47.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","avatar 500g/200lit","ANDHRA PRADESH","WEST GODAVARI","UNGUTURU","2014-08-07 17:59:54.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weedicide","BISPYRIBAC SODIUM (NOMINEE GOLD)  100 ML PER ACRE","ANDHRA PRADESH","WEST GODAVARI","POLAVARAM","2014-08-08 06:54:47.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Soil Testing","office address","contact 08818-221103	Assistant Director of Agriculture, (Soil Testing Laboratory) D.No. 1-18-36, Nallajerla Road, Gollagudem, Tadepalligudem-534101.","ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA","2014-08-08 07:23:42.000"
"","AGRICULTURE","Millets","Maize (Makka)","","shoot borer","spraying of spinoside 75 grms/acre","ANDHRA PRADESH","WEST GODAVARI","KAMAVARAPUKOTA","2014-08-08 07:30:22.000"
"","HORTICULTURE","Fruits","Banana","","ants","lindane dust 8kg/acre","ANDHRA PRADESH","WEST GODAVARI","KAMAVARAPUKOTA","2014-08-08 11:38:39.000"
