"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","ASKING ABOUT MANAGEMENT OF WATER QUALITY IN FISH POND","APPLY 'LIME' 3 KG AND 'TURMERIC POWDER' @ HALF KG IN 2 KATHAS OF WATER","ASSAM","DARRANG","SIPAJHAR                                          ","2014-08-01 10:16:09.000"
"","HORTICULTURE","Plantation Crops","Coconut","","ASKING FOR CONTROL OF CROWN SOCKING IN COCONUT","APPLY BORAX @ 50 PER PLANT BY RING METHOD","ASSAM","DARRANG","","2014-08-01 19:42:24.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING CONTROL MEASURE OF STEM BORER PEST ATTACK IN RICE CULTIVATION","SPRAY REGENT 5% SC @ 1.5 ML PER LITRE OF WATER","ASSAM","DARRANG","BECHIMARI                                         ","2014-08-02 11:17:55.000"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","micro nutrient deficiency","ADVISED TOP SPRAY TRACEL-2 @ 2 GRAM/ LITRE WATER","ASSAM","DARRANG","KALAIGAON  (Pt)","2014-08-02 12:37:45.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER OF RICE","ADVISED TO SPRAY CLASSIC-20 @ 2 ML / LITRE WATER","ASSAM","DARRANG","","2014-08-03 11:21:47.000"
"RABI","HORTICULTURE","Plantation Crops","Arecanut","	Plant Protection	","BUNCH DRYING IN ARECANUT","ADVISED TO SPRAY BORDEUX MIXTURE 1 % OR BAVISTIN  .1 % AS DIRECTED","ASSAM","DARRANG","BHERGAON                                          ","2014-08-03 14:30:29.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","WANTED TO KNOW THE FERLITILIZER REQUIRED TO APPLY IN ONE BIGHA AS TOP DRESSING","ADVISED TO APPLY 4.5 KG UREA AS DIRECTED IN PER BIGHA OF RICE .","ASSAM","DARRANG","BECHIMARI                                         ","2014-08-03 14:42:54.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER OF RICE","ADVISED TO SPRAY TRICEL @2 ML / LITRE WATER","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-08-04 11:47:30.000"
"","HORTICULTURE","Fruits","Papaya","	Plant Protection	","ASKED ABOUT PAPAYA CULTIVATION","ADVISED HIM TO APPLY HYBRID SEED","ASSAM","DARRANG","BECHIMARI                                         ","2014-08-04 11:51:35.000"
"","HORTICULTURE","Fruits","Papaya","	Plant Protection	","ASKING ABOUT PLANTING TIMES OF PAPAYA.","MARCH-APRIL IS SUITABALE FOR PAPAYA,.","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-08-04 11:56:55.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","","SUDDEN ANOREXIA","TAKE THE BODY TEM AND CAL US AGAIN","ASSAM","DARRANG","KALAIGAON  (Pt)","2014-08-04 17:16:37.000"
"RABI","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","PROBLEM OF APHIDS IN RIDGE GOURD,","ADVISED HIM TO APPLY ROGOR 35 EC @ 2 ML / LITER OF WATER..","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-08-04 18:26:41.000"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","PROBLEM OF FRUIT FLY IN BOTTLE GOURD.","ADVISED HIM TO APPLY MALATHION 50 EC @ 2 ML / LITER OF WATER.","ASSAM","DARRANG","KALAIGAON  (Pt)","2014-08-05 08:06:49.000"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","RED PALM WEEVIL OF COCONUT","ADVISED TO SPRAY ROGOR 35 EC @ 2 ML/ LITRE WATER","ASSAM","DARRANG","SIPAJHAR                                          ","2014-08-05 16:16:19.000"
"","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","CONTROL MEASURES OF LEAF SPOT","ADVICE TO SPRAY BORDEAUX MIXTURE","ASSAM","DARRANG","","2014-08-05 19:33:25.000"
"","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","MICRONUTRIENT REQUIREMENT FOR CARPS","ADVICED TO FED AGRIMIN FORTE @ 2GM/KG OF FEED","ASSAM","DARRANG","SIPAJHAR                                          ","2014-08-05 20:37:02.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","ASKING ABOUT CONTROL OF LEAF BLIGHT OF PADDY","SPREY BLITOX 2ML/L OF WATER","ASSAM","DARRANG","SIPAJHAR                                          ","2014-08-06 18:54:51.000"
"","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","ASKING FOR CONTROLL OF LEAF EATING CATERPILLAR","SPRAY CLASSIC-20 @ 2 ML PER LITRE OF WATER","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-08-08 18:19:08.000"
"","ANIMAL HUSBANDRY","Animal","Goat","Animal Breeding","QUERY RELATED TO GOATERY","CALL TRANSFERED TO VETY. EXPERT FOR CONSULTATION","ASSAM","DARRANG","BECHIMARI                                         ","2014-08-08 19:07:15.000"
"","ANIMAL HUSBANDRY","Animal","Pig","","asking about proper age of castration","3 month of age","ASSAM","DARRANG","BECHIMARI                                         ","2014-08-08 19:10:43.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","Cultural practices of paddy","Explained in details","ASSAM","DARRANG","KALAIGAON  (Pt)","2014-08-08 19:33:05.000"
"","ANIMAL HUSBANDRY","Animal","Pig","","weakness","give 1. AMBIPLEX @ 30 ML  TWICE DAILY FOR 10 DAYS","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-08-09 09:24:32.000"
"RABI","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","CATERPILLER AND BEETLE OF RIDGE GOURD","ADVISED TO SPRAY MALATHION 50 EC @ 2 ML / LITRE WATER","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-08-09 15:49:48.000"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","PROBLEM OF BUNCHY TOP IN BANANA.","ADVISED HIM TO APPLY ROGOR 35 EC @ 2 ML / LITER OF WATER.","ASSAM","DARRANG","PACHIM-MANGALDAI                                  ","2014-08-10 15:13:56.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","AGRICULTURE RELATED PROBLEM.","TRANSFER TO AGRICULTURE EXPERT.","ASSAM","DARRANG","PACHIM-MANGALDAI                                  ","2014-08-10 19:30:16.000"
"","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","ASKING ABOUT CONTROL OF DROPING OF FRUIT IN COCONUT","APPLY BORON 25GM ALONG WITH THE FERTILIZER DOSE","ASSAM","DARRANG","KHAIRABARI  (Pt)","2014-08-10 19:54:12.000"
"","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","CONTROL OF FRUIT FLY IN PUMPKIN","SPRAY MALATHION 50 EC @ 2 ML PER LITER OF WATER ALONG WITH 10 GM JUGGERY","ASSAM","DARRANG","","2014-08-10 20:14:38.000"
"","ANIMAL HUSBANDRY","Animal","Pig","Artificial Insemination","asking about the problem of artificial insemination.","suggested to contact the local vety. doctor for investigation the case.","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-08-11 11:38:11.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","ASKING ABOUT THE FERTILIZER DOSE FOR TOP DRESSING IN SALI RICE.","ADVISED HIM TO APPLY 4.5 KG UREA AS A TOP DRESS IN TILLERING STAGE OF SALI RICE.","ASSAM","DARRANG","","2014-08-11 16:02:00.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CULTURAL PRACTICES OF RICE","EXPLAINED IN DETAILS","ASSAM","DARRANG","SIPAJHAR                                          ","2014-08-19 17:21:38.320"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","ASKING CONTROL MEASURE OF FRUIT SCARING BEETLE IN BANANA","SPRAY MALATHION 50 EC @ 2 1 ML PER LITRE OF WATER","ASSAM","DARRANG","SIPAJHAR                                          ","2014-08-19 20:12:57.030"
"KHARIF","HORTICULTURE","Plantation Crops","Arecanut","	Plant Protection	","ASKING FOR THE CONTROL OG FRUIT DROP","APLLY BORDEAUX MIXTURE  AT RECOMMENDED DOSE","ASSAM","DARRANG","SIPAJHAR                                          ","2014-08-20 09:53:33.010"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CULTURAL PRACTICE OF RICE","EXPLAINED IN DETAILS","ASSAM","DARRANG","KALAIGAON  (Pt)","2014-08-22 16:57:27.253"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CULTURAL PRACTICE OF RICE","EXPLAINED IN DETAILS","ASSAM","DARRANG","KALAIGAON  (Pt)","2014-08-22 16:58:49.817"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CULTURAL PRACTICE OF RICE","EXPLAINED IN DETAILS","ASSAM","DARRANG","KALAIGAON  (Pt)","2014-08-22 16:58:50.660"
