"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL MEASURE OF FRUIT DROP IN COCONUT","APPLY 'UREA 750 GM, SSP GM, MOP 900 GM, BORUX 25 GM AND COWDUNG 15 KG' PER PLANT IN RING METHOD","ASSAM","DHUBRI","MAHAMAYA","2014-09-04 20:50:32.090"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ASKING CONTROL MEASURE OF STEM BLEEDING IN COCONUT TREE","SUGGESTED TO CHISEL AFFECTED TISSUE AND DRESS THE WOUND WITH 5% CALIXIN (5 ML IN 100 ML OF WATER). APPLY COAL TAR AFTER 2 DAYS. BURN OFF CHISELLED PIECES.","ASSAM","DHUBRI","BILASIPARA                                        ","2014-09-05 17:24:09.827"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Cultural Practices","AGRIL.QUERY","TRANSFERRED TO EXPERT FOR FURTHER CONSULTATION","ASSAM","DHUBRI","AGOMANI","2014-09-06 09:59:17.220"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING FOR THE CONTROL OF YELLOWING OF LEAVES IN RICE","RECOMMENDED TO APPLY UREA @ 4.5 KG PER BIGHA","ASSAM","DHUBRI","MANKACHAR                                         ","2014-09-06 10:29:24.800"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE PEST CONTROL IN RICE","SPRAY CLASIC-20 @ 2ML/LITRES OF WATWER","ASSAM","DHUBRI","MANKACHAR                                         ","2014-09-06 18:27:37.560"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","Nutrient Management","MICRONUTRIENT FOR BOTTLE GOURD","SPRAY TRACEL @ 2GM/LITRE OF WATER","ASSAM","DHUBRI","MAHAMAYA","2014-09-06 19:05:24.597"
"RABI","FISHERIES","Inland","Others","Tank, Pond and Reservoir Management","ASKING ABOUT THE WEATHER FORECAST OF DHUBRI DISTRICT","GIVEN HIM IN DETAIL","ASSAM","DHUBRI","GOLAKGANJ","2014-09-07 09:09:31.807"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","CONTROL MEASURE OF FRUIT DROP IN COCONUT","APPLY 'UREA 750 GM, SSP 1250 GM, MOP 900 GM, BORUX 25 GM AND COWDUNG 15 KG' PER PLANT IN RING METHOD","ASSAM","DHUBRI","JAMADARHAT","2014-09-09 13:29:40.857"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING ABOUT THE MICRONUTRIENT FOR CHILLI","APPLY GREEN HARVEST ALL CROPS @ 2GM/LITRE OF WATER","ASSAM","DHUBRI","GAURIPUR","2014-09-10 19:12:22.183"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","DAMPING OFF PROBLEM IN CABBAGE","SOIL DRENCHING WITH DEROSAL @ 2GM/LITRE OF WATER","ASSAM","DHUBRI","GAURIPUR","2014-09-10 19:15:25.867"
