"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CULTURAL PRACTICES OF PADDY","EXPLAINED BRIEFLY","ASSAM","TINSUKIA","SAIKHOWA                                          ","2014-08-01 14:47:39.000"
"","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","REGARDING LIME APPLICATION DOSE IN FISH POND","APPLY LIME @ 10 KG OPER BIGHA PER MONTH REGULARLY","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-08-01 15:50:24.000"
"","AGRICULTURE","Others","Others","","Asking about Kisan Call Centre","I nexplained her in detail and advised her to call KCC if she has any problem related to agriculture, horticulture, fishery and veterinary.","ASSAM","TINSUKIA","ITAKHULI                                          ","2014-08-02 10:55:23.000"
"","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","QUERY REGARDING APPLICATION OF LIME IN FISH POND","ADVICED TO APPLY LIME @ 8KG/ BIGHA OF WATER AREA","ASSAM","TINSUKIA","MARGHERITA                                        ","2014-08-02 17:13:37.000"
"","ANIMAL HUSBANDRY","Animal","Dog","Animal Breeding","ASKING ABOUT THE AGE OF CASTRATION PERIOD OF A DOG.","SUGGESTED THAT THE AGE OF CASTRATION PERIOD OF A DOG IS 2-3 MONTH OF AGE.","ASSAM","TINSUKIA","HAPJAN                                            ","2014-08-03 10:36:49.000"
"","AGRICULTURE","Others","Others","Soil Testing","ASKING ABOUT SOIL HEALTH CARD.","SUGGESTED TO CONTACT WITH NEAREST KVK FOR SOIL HEATH CARD.","ASSAM","TINSUKIA","SAIKHOWA                                          ","2014-08-03 17:15:13.000"
"","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","CONTROL OF STEM ROT IN CABBAGE","SPRAY BLITOX 50 @ 2 GM PER LITER OF WATER","ASSAM","TINSUKIA","SADIYA                                            ","2014-08-03 20:12:18.000"
"","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","ASKING ABOUT THE TREATMENT OF WHITE DIARRHOEA OF A BROILLER FARM.","SUGGESTED TO ADMINISTER SULCOPRIM POW.@ 1 GM PER LITRE OF WATER AND LIXEN POW. @ 1 GM PER LITRE OF WATER.","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-08-04 14:33:45.000"
"","ANIMAL HUSBANDRY","Animal","Pig","Disease Management","ASKING ABOUT TREATMENT OF WORMS INFESTATION IN PIGLET.","SUGGESTED TO ADMINISTER PANACUR 150 MG TAB @ 1 TAB/30 KG BODY WEIGHT. ALONG WITH TAHT ADMINISTER LIV-52 VET @ 5 ML TWICE DAILY.","ASSAM","TINSUKIA","","2014-08-05 14:29:07.000"
"","ANIMAL HUSBANDRY","Animal","Pig","Disease Management","ASKING ABOUT TREATMENT OF WORMS INFESTATION IN PIGLET.","SUGGESTED TO ADMINISTER PANACUR 150 MG TAB @ 1 TAB/30 KG BODY WEIGHT. ALONG WITH THAT ADMINISTER LIV-52 VET @ 5 ML TWICE DAILY.","ASSAM","TINSUKIA","","2014-08-06 10:55:40.000"
