"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Agriculture Mechanization","ASKING ABOUT THE  APPLICATION OF BORAX IN TOMATO CULTIVATION","APLLY BORAX @ 1 -1.5 KG/BIGHA","ASSAM","TINSUKIA","MARGHERITA                                        ","2014-09-05 10:07:27.843"
"JAYAD","HORTICULTURE","Vegetables","Cauliflower","Fertilizer Use and Availability","WANTE TO KNOW THE AMOUNT F FERTILIZER REQUIRED IN ONE BIGHA","ADVISED TO APPLY 23 KG UREA 50 KG SUPER 11 KG POTASH ANS 2 QT FYM PER BIGHA","ASSAM","TINSUKIA","ITAKHULI                                          ","2014-09-05 11:43:11.033"
"RABI","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","GOVT. SCHEME FOR VEGETEBLE SEEDS","ADVISED TO VISIT DIST. AGRIL. OFFICE","ASSAM","TINSUKIA","SADIYA                                            ","2014-09-05 19:02:11.947"
"JAYAD","HORTICULTURE","Plantation Crops","Tea","Cultural Practices","Query regarding application of vitamin in tea","Suggested Crop Booster @ 600 gm per 200 litr of water","ASSAM","TINSUKIA","SADIYA                                            ","2014-09-06 12:04:45.280"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","SPINDLE ROT OF COCONUT","ADVISED TO APPLY BAVISTIN 2 GRAM / LITRE WATER AS DIRECTED","ASSAM","TINSUKIA","ITAKHULI                                          ","2014-09-06 15:53:03.823"
"JAYAD","HORTICULTURE","Fruits","Orange","	Plant Protection	","QUERY REGARDING CONTROL MEASURES OF APHID IN ORANGE","SUGGESTED MALATHON 50 EC @ 2 ML PER LITR OF WATER","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-09 13:53:22.710"
"RABI","HORTICULTURE","Vegetables","Radish","Cultural Practices","ASKING CULTURAL PRACTICES","EXPLAIN IN DETAILS AND ASK TO FOLLOW AS I ADVICE","ASSAM","TINSUKIA","ITAKHULI                                          ","2014-09-09 18:24:16.140"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","FERTILIZER TOP DRESSING OF RICE","TOP DRESS UREA-5KG,MOP-2KG/BIGHA","ASSAM","TINSUKIA","GUIJAN                                            ","2014-09-09 18:27:58.480"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CULTURAL PRACTICES OF RICE","EXPLAINED IN DETAILS","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-09 20:09:40.097"
"RABI","HORTICULTURE","Vegetables","Cabbage","Agriculture Mechanization","CABBAGE SEED REQUIRED FOR ONE BIGHA AREA","ADVISED HIM TO APPLY 90 GRAM SEED FOR ONE BIGHA AREA","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-10 20:27:58.927"
"JAYAD","HORTICULTURE","Fruits","Banana","	Plant Protection	","QUERY REGARDING CULTUTRAL PRACTICE IN BANANA","EXPLAINED DETAILS","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-12 14:01:30.360"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","ASKING CONTROL MEASURE OF MEALY BUG ATTACK IN PAPAYA","SPRAY ROGOR 35 EC @ 2 ML PER LITRE OF WATER","ASSAM","TINSUKIA","MARGHERITA                                        ","2014-09-12 17:25:40.700"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","AGRIL.QUERY","CALL TRANSFERRED TO EXPERT FOR FURTHER CONSULTATION","ASSAM","TINSUKIA","ITAKHULI                                          ","2014-09-12 17:29:03.680"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","DAMPING OFF PROBLEM IN CABBAGE","SOIL DRENCHING WITH BAVISTIN @ 1GM/LITRE OF WATER","ASSAM","TINSUKIA","ITAKHULI                                          ","2014-09-12 17:32:43.513"
"JAYAD","HORTICULTURE","Fruits","Lemon","	Plant Protection	","PEST INFESTATION IN LEMON","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-12 19:01:32.613"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","ASKING FOR CONTROLL OF FUNGAL DISEASE","APPLY BAVISTIN @ 1 GRAM PER LITRE OF WATER","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-12 19:03:47.773"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING FOR THE CONTROL OF STEM BORER IN SALI RICE","RECOMMENDED TO SPRAY CLASSIC 20 @ 2 ML PER LITRE OF WATER","ASSAM","TINSUKIA","SADIYA                                            ","2014-09-13 11:13:38.840"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","ASKING FOR THE CULTURAL PRACTICE OF PEA","EXPLAIED WITH DETAILS","ASSAM","TINSUKIA","HAPJAN                                            ","2014-09-14 08:40:40.877"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","ASKING CONTROL MEASURE OF WILTING IN BOTTLE GOURD CULTIVATION","APPLY BLITOX-50 @ 2 GRAM PER LITRE OF WATER ALTERNATING WITH KROSIN-AG @ 1 GRAM PER 10 LITRES OF WATER AT 10-12 DAYS INTERVAL FOR TWO TIMES","ASSAM","TINSUKIA","SAIKHOWA                                          ","2014-09-15 15:29:49.683"
"KHARIF","HORTICULTURE","Plantation Crops","Tea","Cultural Practices","QUERY REGARDING YOUNG TEA MANAGEMENT","EXPLAINED DETAILS","ASSAM","TINSUKIA","MARGHERITA                                        ","2014-09-15 15:40:41.187"
"RABI","HORTICULTURE","Fruits","Orange","	Plant Protection	","ASKING CONTROL MEASURE OF FRUIT SUCKING MOTH IN ORANGE","SPRAY SYHTION 50 EC @ 2 ML PER LITRE OF WATER","ASSAM","TINSUKIA","MARGHERITA                                        ","2014-09-15 18:42:04.600"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Cultural Practices","CULTURAL PRACTICE OF BITTER GOURD","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-16 20:11:04.690"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","CONTROL MEASURES OF RED ANTS","ADVICE TO SPRAY NEEMAJOL @ 2 ML/L WATER","ASSAM","TINSUKIA","HAPJAN                                            ","2014-09-17 07:33:49.193"
"KHARIF","HORTICULTURE","Flowers","Marigold","	Plant Protection	","ROOT ROT PROBLEM IN MARIGOLD","SOIL DRENCHING WITH CAPTAF @ 2GM/LITRE OF WATER","ASSAM","TINSUKIA","HAPJAN                                            ","2014-09-18 08:48:24.910"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL OF RICE HISPA","SPRAY CLASIC-20 @ 2ML/LITRES OF WATER","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-19 08:36:48.610"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL OF RAIRY CATTER PILLER","SPRAY MALATHION 50 EC 2 2ML/LITRES OF WATER","ASSAM","TINSUKIA","HAPJAN                                            ","2014-09-19 15:50:05.833"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","DAMPING OFF PROBLEM IN CABBAGE","SOIL DRENCHING WITH CAPTAF @ 2GM/LITRE OF WATER","ASSAM","TINSUKIA","HAPJAN                                            ","2014-09-22 08:53:40.383"
"JAYAD","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","WANTED TO REGISTER HIS NAME IN KCC","REGISTERED","ASSAM","TINSUKIA","HAPJAN                                            ","2014-09-24 11:09:39.973"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PEST PROBLEM","ADVISED TO SPRAY MALATHION 50 EC @ 2ML/ LITRE WATER","ASSAM","TINSUKIA","SAIKHOWA                                          ","2014-09-25 12:49:50.180"
"RABI","HORTICULTURE","Fruits","Banana","Vegetative Propagation and Tissue Culture","ASKING ABOUT THE TISSUE CULTURE OF BANANA","EXPLAINED IN DETAILS","ASSAM","TINSUKIA","KAKOPATHAR                                        ","2014-09-25 18:18:38.780"
"JAYAD","HORTICULTURE","Fruits","Orange","	Plant Protection	","CONTROL MEASURE OF PEST IN ORANGE","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","TINSUKIA","SADIYA                                            ","2014-09-25 19:02:55.920"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","WANTED TO REGISTER HIS NAME IN KCC","REGISTERED","ASSAM","TINSUKIA","SADIYA                                            ","2014-09-26 15:29:48.923"
