"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Banana","Cultural Practices","ASKING PLANTING TIME OF BANANA","ADVISED THAT THE PLANTING TIME IS IN THE MONTH OF APRIL TO JULY","ASSAM","UDALGURI","BHERGOAN","2014-08-09 07:47:15.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL MEASURE OF RICE STEM BORER","SPRAY 'CLASSIC 20' @ 2 ML PER LITRE OF WATER","ASSAM","UDALGURI","BHERGOAN","2014-08-20 12:26:05.823"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL MEASURES OF RICE STEM BORER","ADVICE TO SPRAY CHLORPYRIPHOS 20 EC @ 2 ML/L WATER","ASSAM","UDALGURI","BHERGOAN","2014-08-22 07:41:36.173"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CALL DISCONNECTED","-","ASSAM","UDALGURI","KALAIGAON(PART)","2014-08-23 07:53:25.153"
"RABI","HORTICULTURE","Vegetables","Cabbage","Seeds and Planting Material","ASKING FOR AVAILIBILITY OF SEEDLING","RECOMMENDED TO GO LOCAL MARKET","ASSAM","UDALGURI","KALAIGAON(PART)","2014-08-23 08:01:55.340"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","","AGRIL.QUERY","CALL TRANSFERRED TO EXPERT FOR FURTHER CONSULTATION","ASSAM","UDALGURI","KALAIGAON(PART)","2014-08-23 10:23:59.983"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","Asking about the water management in Bahadur rice","Explained in deatils","ASSAM","UDALGURI","UDALGUAI","2014-08-23 20:06:46.403"
"JAYAD","FISHERIES","Inland","Fresh Water","Breeding of freshwater prawn","Query regarding Fisheries","Transfered to an expert","ASSAM","UDALGURI","MAZBAT","2014-08-25 08:08:38.897"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","REGARDING STEM BORER PEST PROBLEM IN PADDY CROP","RECOMENDED TO SPRAY CHLORPYRIPHOS @ 2.5 ML PER LITRE OF WATER","ASSAM","UDALGURI","MAZBAT","2014-08-25 08:12:38.723"
"RABI","HORTICULTURE","Plantation Crops","Tea","Soil Testing","ASKING ABOUT REGARDING SOIL TESTING FOR TEA PLANTATION.","ADVISED HIM TO CONTACT WITH DAO OFFICE .","ASSAM","UDALGURI","MAZBAT","2014-08-26 08:28:40.740"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSE FOR CUCUMBER","APPLY 'UREA 14 KG, SSP 37 KG, MOP 17 KG' PER BIGHA","ASSAM","UDALGURI","KALAIGAON(PART)","2014-08-28 07:26:56.817"
