"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect control in rice","spray chlorpyriphos 2 mili/liter water","BIHAR","ARARIA","SIKTY                                             ","2014-09-03 14:12:52.247"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT CONTROL","spray cloropyriphos@2ml/lit of water","BIHAR","ARARIA","JOKIHAT                                           ","2014-09-03 14:28:17.967"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","ARARIA","ARARIA","2014-09-03 20:20:14.537"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weather","today chance  of rainfall","BIHAR","ARARIA","FORBESGANJ","2014-09-05 15:16:32.233"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT IN PADDY","SPRAY OF METASISTOX @1 ML./ LT. OF WATER","BIHAR","ARARIA","SIKTY                                             ","2014-09-06 08:51:25.063"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT IN PADDY","Spray IMIDACHLOPRID @ 1 ml in 3 litre of water","BIHAR","ARARIA","SIKTY                                             ","2014-09-06 13:01:19.843"
"JAYAD","AGRICULTURE","Cereals","Wheat","Weather","insect problem","Spray imidachloprid @ 1ml/3lit of water + bavistin @2hgm /lit","BIHAR","ARARIA","FORBESGANJ","2014-09-06 15:59:02.627"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","Night
N
E
S
W
E 4 mph 
Gusts: 7 mph 
Cloudy
Max UV Index: N/A
Thunderstorms: 24%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","BIHAR","ARARIA","BHARGAMA","2014-09-06 18:20:29.820"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PEST MANAGEMENT","ACEPHATE 1ML/LIT","BIHAR","ARARIA","PALASI                                            ","2014-09-06 18:46:42.750"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","ARARIA","RANIGANJ                                          ","2014-09-07 12:33:42.017"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Weed control","Apply Pendimethalin 1.0 kg a.i. / ha or Fluchloralin 1.0 kg a.i / ha as pre-emergence herbicide, followed by hand weeding once at 30 days after planting.","BIHAR","ARARIA","RANIGANJ                                          ","2014-09-08 08:33:13.140"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Shoot & fruit borer","Phosalone 35 % EC
 
1.5 ml/lit.
 

Quinalphos 20 % AF
 
1.7ml/ lit.","BIHAR","ARARIA","BHARGAMA","2014-09-08 08:36:24.820"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","insect infestation","spray carbaryl 2 gram /litre of water","BIHAR","ARARIA","BHARGAMA","2014-09-08 14:30:42.110"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","season for potato","sept - oct","BIHAR","ARARIA","RANIGANJ                                          ","2014-09-08 14:38:59.780"
