"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect infestation","spray trizophos @ 2 ml/liter of water","BIHAR","BHAGALPUR","KHARIK                                            ","2014-10-03 07:35:34.897"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves","spray propiconazole @ 2ml/liter of water","BIHAR","BHAGALPUR","SONHAULA                                          ","2014-10-03 08:05:56.450"
"KHARIF","HORTICULTURE","Fruits","Jack Fruit","	Plant Protection	","FRUIT BORER IN JACKFRUIT","SPRAY Carbaryl 50 WP @ 2 g/lit.","BIHAR","BHAGALPUR","PIRPAINTI                                         ","2014-10-03 08:26:37.110"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","BHAGALPUR","PIRPAINTI                                         ","2014-10-05 06:38:34.043"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Chance of precipitation to some extent in area your","BIHAR","BHAGALPUR","SONHAULA                                          ","2014-10-05 07:22:56.613"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","red colour leaf in paddy leaf","spray saaf/ridomil 2 gm/lt. water","BIHAR","BHAGALPUR","COLGONG                                           ","2014-10-05 09:33:11.123"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","red colour leaf in paddy leaf","spray imidacloprid @ 1ml/3 ltr. of water","BIHAR","BHAGALPUR","COLGONG                                           ","2014-10-05 09:51:26.847"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PLANT PROTECTION OF PADDY","COPPEROXYCLORIDE 2GM/LITER OF WATER","BIHAR","BHAGALPUR","NATHNAGAR                                         ","2014-10-05 10:03:55.613"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PLANT PROTECTION OF PADDY","COPPEROXYCLORIDE 2GM/LITER OF WATER","BIHAR","BHAGALPUR","NATHNAGAR                                         ","2014-10-05 10:04:08.953"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PLANT PROTECTION OF PADDY","COPPEROXYCLORIDE 2GM/LITER OF WATER","BIHAR","BHAGALPUR","NATHNAGAR                                         ","2014-10-05 10:04:23.363"
