"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect problem in Paddy","Insect problem in Paddy-You should use chloropyriphosh@2ml/ litar of water","BIHAR","KAIMUR","BHABUA                                            ","2014-09-04 07:46:37.450"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","weather information ?Cloudy weather in your area but no chance of rain","BIHAR","KAIMUR","CHAINPUR                                          ","2014-09-04 10:53:42.700"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","KAIMUR","BHABUA                                            ","2014-09-08 09:51:50.743"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","fertilizer dose in paddy","fertilizer dose in paddy-NPK- 100:40:20 Kg/ ha","BIHAR","KAIMUR","NUAON                                             ","2014-09-08 16:17:40.843"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information in bhabua","weather information in bhabua-Today cloudy weather in your area chance of rain","BIHAR","KAIMUR","CHAINPUR                                          ","2014-09-09 08:08:51.663"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","KAIMUR","CHAINPUR                                          ","2014-09-10 08:25:12.947"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area & little chance of rain","BIHAR","KAIMUR","KUDRA                                             ","2014-09-10 15:10:26.523"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","insect problem","spray imidachlorpid @ 1 ml / 3 lt of water","BIHAR","KAIMUR","CHAND                                             ","2014-09-10 17:52:47.267"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellow leaf of paddy","spray mencozeb @2g/lit of water","BIHAR","KAIMUR","BHABUA                                            ","2014-09-11 19:11:46.180"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","fertilizer","urea 65 kg /hc, kalboom 25kg /hc, zincsulphate- 200 gram/katha","BIHAR","KAIMUR","MOHANIA                                           ","2014-09-11 19:12:43.523"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","LEAF CURL IN CHILIES","SPRAY IMIDACHLOROPID 1ML/3LIT OF WATER","BIHAR","KAIMUR","CHAND                                             ","2014-09-12 16:15:22.090"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","chance of rain","BIHAR","KAIMUR","BHABUA                                            ","2014-09-13 07:57:14.700"
"KHARIF","HORTICULTURE","Fruits","Mango","Nutrient Management","MANURING OF MANGO TREE","20-25 KG COMPOST,500GRAM D.A.P.150 GRAM UREA,50 GRAM BORAN,100 GRAM POTASH,5 GRAM THIMET","BIHAR","KAIMUR","DURGAWATI                                         ","2014-09-13 08:10:51.470"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","WEED PROBLEM IN RICE","NO CHEMICAL IN THIS TIME BUT USE HANDHOEING","BIHAR","KAIMUR","BHAGWANPUR                                        ","2014-09-14 20:22:28.507"
"KHARIF","AGRICULTURE","Others","Others","	Water Management	","RELETED FISHERY","PLZ. COT. ON 18003456185","BIHAR","KAIMUR","BHABUA                                            ","2014-09-15 09:28:08.500"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Chance of precipitation to some extent in your area","BIHAR","KAIMUR","BHAGWANPUR                                        ","2014-09-15 12:39:38.107"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","Spray triazophos @ 2ml/lit of water","BIHAR","KAIMUR","BHAGWANPUR                                        ","2014-09-15 17:29:05.167"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather information","today chance of rain","BIHAR","KAIMUR","KUDRA                                             ","2014-09-16 07:56:57.243"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Chance of precipitation to some extent in your area","BIHAR","KAIMUR","BHABUA                                            ","2014-09-16 14:41:15.863"
