"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","today chance of rain","BIHAR","CHAMPARAN(WEST)","MAJHAULIA                                         ","2014-09-05 10:52:45.820"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Field Preparation	","seasonwise crop detail","August	Carrot, Turnip, Cauliflower, Bean, Tomato, Black mustard seed, Spinach, Coriander, Brussels sprout, Amaranthus
October	Carrot, Turnip, Cauliflower, Potato, Tomato, Black mustard seed, Radish, Spinach, Cabbage, Kohlrabi, Fenigreek seeds, French bean, Peas, Broccoli, Salad, Brinjal, Green Onion, Brussels sprout, Garlic","BIHAR","CHAMPARAN(WEST)","RAMNAGAR                                          ","2014-09-05 14:50:54.500"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","CHAMPARAN(WEST)","NAUTAN                                            ","2014-09-06 18:45:48.453"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect infestyation","spray aceohate 1.5 ml/litre of water","BIHAR","CHAMPARAN(WEST)","SIKTA                                             ","2014-09-07 16:40:27.540"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","CHAMPARAN(WEST)","LAURIYA                                           ","2014-09-07 18:30:16.760"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","there is a chance of rain in your area","BIHAR","CHAMPARAN(WEST)","LAURIYA                                           ","2014-09-08 17:38:35.983"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT IN PADDY.","SPRAY IMIDACLOROPRID-1ML/3LIT OF WATER.","BIHAR","CHAMPARAN(WEST)","BAGAHA-I                                          ","2014-09-09 09:06:27.380"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","Insect problem","Spray quinolphos @ 2 ml in one litre of water","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-09-09 16:03:09.880"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEATHER","TODAY MAY RAIN FALL","BIHAR","CHAMPARAN(WEST)","BAGAHA-I                                          ","2014-09-10 16:58:23.227"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect control in rice","Spray imidachlroprid @1ml/3liter of water","BIHAR","CHAMPARAN(WEST)","BAGAHA-I                                          ","2014-09-11 17:43:38.763"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","there is a chance of rain in your area","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-09-11 18:12:14.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","chance of rain in some extent area","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-09-11 18:52:37.337"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","information in weedicide","i sujest in roundup","BIHAR","CHAMPARAN(WEST)","RAMNAGAR                                          ","2014-09-12 11:38:16.453"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Agriculture Mechanization","Weather information","Chance of precipitation to some extent in your area","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-09-12 15:15:06.300"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Full chance of rain","BIHAR","CHAMPARAN(WEST)","BAGAHA-II                                         ","2014-09-15 11:39:52.023"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DISEASE IN PADDY","Spray SAAF @ 2 ml in 1 litre of water","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-09-16 08:19:04.407"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","Weed control","Apply Pendimethalin 1.0 kg a.i. / ha or Fluchloralin 1.0 kg a.i / ha as pre-emergence herbicide, followed by hand weeding once at 30 days after planting.","BIHAR","CHAMPARAN(WEST)","BAGAHA-I                                          ","2014-09-16 10:39:27.200"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","INSECT IN CAULIFLOWER","Spray metasistox @ 1 ml in 1 litre of water","BIHAR","CHAMPARAN(WEST)","NAUTAN                                            ","2014-09-17 09:16:16.037"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","DISEASE IN CHILLI","•	Spray mencozeb @ 2g/lit of water","BIHAR","CHAMPARAN(WEST)","MAJHAULIA                                         ","2014-09-20 08:49:01.970"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","Cloudy weather in your area but no chance of rain","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-09-29 08:42:17.160"
