"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Yellowing in leaf in paddy","Spray nominogold @ 1 ml in 3 litre of water","BIHAR","PURNEA","RUPOULI                                           ","2014-08-01 06:23:01.000"
"","HORTICULTURE","Fruits","Mango","","INSECT IN MANGO.","SPRAY DIMETHOATE-1.5ML/LIT OF WATER.","BIHAR","PURNEA","BANMANKHI                                         ","2014-08-01 06:48:45.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weed control in paddy","Apply pendimethalin 1.0kg/ha on 5 days after sowing or Pretilachlor + safener (Sofit) 0.45kg/ha on the day of receipt of soaking rain followed by one hand weeding on 30 to 35 days after sowing.
28 Spray cloropyriphos @ 2 ml in 1 litre of water","BIHAR","PURNEA","DHAMDAHA                                          ","2014-08-01 07:42:36.000"
"","AGRICULTURE","Others","Others","","weather information","Mostly cloudy with a couple of showers and a thunderstorm","BIHAR","PURNEA","DHAMDAHA                                          ","2014-08-01 07:44:09.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","insect in paddy","spray imidachlorepride @1ml./3lt. of water","BIHAR","PURNEA","KRITYANAND NAGAR                                  ","2014-08-01 08:56:42.000"
"RABI","HORTICULTURE","Fruits","Lahsoda","Training and Exposure Visits","variety of onion-","variety of onion- agrifand light red, pusa red, nasik red, arka niketan, patna red","BIHAR","PURNEA","JALALGARH                                         ","2014-08-01 10:02:50.000"
"","AGRICULTURE","Others","Others","","Weather information","chance of rain","BIHAR","PURNEA","BAISI                                             ","2014-08-01 10:04:10.000"
"","AGRICULTURE","Others","Others","","Variety of okra-","Variety of okra- Pravani kranti,arka anamika,pusa_4,hisar 7","BIHAR","PURNEA","BAISI                                             ","2014-08-01 10:06:39.000"
"","AGRICULTURE","Others","Others","Weather","weather information ?","Cloudy weather in your area and chance of rain.","BIHAR","PURNEA","DAGRAUA                                           ","2014-08-01 10:07:19.000"
"","HORTICULTURE","Fruits","Pomegranate","","flower droping problem in pomegranate","Spray planofix @ 1 ml in 4.5- 5 liter of water","BIHAR","PURNEA","PURNIA EAST                                       ","2014-08-01 15:21:07.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weed control","spray nominogold @ 1 ml in 3 litre of water","BIHAR","PURNEA","AMOUR                                             ","2014-08-01 15:44:36.000"
"","AGRICULTURE","Others","Others","Weather","weather information","Cloudy weather in your area but no chance of rain","BIHAR","PURNEA","AMOUR                                             ","2014-08-01 15:46:18.000"
"","AGRICULTURE","Others","Others","Weather","Weather information","Today and Tomorrow There is a chance of rain in your area","BIHAR","PURNEA","KRITYANAND NAGAR                                  ","2014-08-01 15:59:03.000"
"","HORTICULTURE","Vegetables","Brinjal","","wilting","spray mancozeb 2 gram/litre","BIHAR","PURNEA","KRITYANAND NAGAR                                  ","2014-08-01 16:00:04.000"
"","AGRICULTURE","Others","Others","Weather","weather","Max UV Index: 7 (High)
Thunderstorms: 60%
Precipitation: 7 mm","BIHAR","PURNEA","BANMANKHI                                         ","2014-08-01 17:33:57.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect control","spray dimethoate @ 1.5ml/ liter water","BIHAR","PURNEA","BANMANKHI                                         ","2014-08-01 17:35:30.000"
"","AGRICULTURE","Others","Others","Weather","weather","Cloudy with showers and thunderstorms","BIHAR","PURNEA","BANMANKHI                                         ","2014-08-01 17:37:20.000"
