"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves","Spray saaf @2gm /lit of water","BIHAR","SITAMARHI","RUNNISAIDPUR                                      ","2014-09-03 14:24:51.597"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","SITAMARHI","PARSAUNI                                          ","2014-09-04 06:16:50.693"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Varieties","varaity of arahar","varaity of arahar-narendra arahar 1","BIHAR","SITAMARHI","PARSAUNI                                          ","2014-09-04 11:47:50.257"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT CONTROL IN RICE","Spray cloropyriphos @ 2 ml in 1 litre of water","BIHAR","SITAMARHI","NANPUR                                            ","2014-09-06 07:35:35.603"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","Mostly cloudy and remaining very warm with occasional rain and a thunderstorm","BIHAR","SITAMARHI","MAJORGANJ                                         ","2014-09-06 12:48:09.780"
"KHARIF","AGRICULTURE","Pulses","Rajmash Bean","Weather","weather information","Cloudy we ather in your area   and chance  of rain","BIHAR","SITAMARHI","BOKHRA                                            ","2014-09-07 11:11:23.003"
"RABI","AGRICULTURE","Green Manure","Kolanchi(Tephrosia Purpurea)","Weather","Good variety of okra","Good variety of okra- prabhani kranti, arka abhay, arka anamika, bersa 
                        uphar,Punjab-7, okra-4","BIHAR","SITAMARHI","NANPUR                                            ","2014-09-07 11:46:01.697"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","DISEASE IN POMEGRANATE","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SITAMARHI","BAIRGANIA                                         ","2014-09-07 12:03:31.897"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN TODAY","BIHAR","SITAMARHI","BATHANAHA                                         ","2014-09-07 19:16:19.193"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","weedicide","spray nomini gold 1 ml/3 litre of water","BIHAR","SITAMARHI","BATHANAHA                                         ","2014-09-07 19:16:22.240"
"KHARIF","AGRICULTURE","Others","Others","Weather","about weather in samastipur","Periods of sun with a t-storm 34°Lo 24° Tue
Sep 9
Periods of sun with a t-storm 32°Lo 24° 
more Wed
Sep 10
A thunderstorm in the area","BIHAR","SITAMARHI","MAJORGANJ                                         ","2014-09-08 12:47:05.373"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","Crop Insurance","Insect problem","Spray dimethoate @ 1.5 ml in 1 litre of water","BIHAR","SITAMARHI","BATHANAHA                                         ","2014-09-09 15:03:46.630"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","growth promoter","kalboom 10 kg /acre","BIHAR","SITAMARHI","PARIHAR                                           ","2014-09-09 16:20:39.457"
"RABI","AGRICULTURE","Fodder Crops","Napier Grass","Varieties","information of fodder seed","variety of fodder -napier ghas bajara","BIHAR","SITAMARHI","RUNNISAIDPUR                                      ","2014-09-09 20:29:26.310"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Field Preparation","Field preparation","Plough the land to fine tilth. Thoroughly prepare the field with the addition of FYM @ 25 t/ ha and form ridges and furrows at a spacing of 60 cm. Apply 2 kg/ha of Azospirillum and 2 kg/ha of Phosphobacteria by mixing with 50 kg of FYM. Irrigate the furrows and transplant 25 days old seedlings on the sides of ridges. Life irrigation to be given on 3rd day of planting.","BIHAR","SITAMARHI","RUNNISAIDPUR                                      ","2014-09-10 06:53:25.547"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Weather information","today chance of rain","BIHAR","SITAMARHI","SUPPI                                             ","2014-09-10 10:58:12.287"
"KHARIF","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","Bio-Pesticides and Bio-Fertilizers","Use multi micro nutrients","Spray multi micro nutrients @ 2 ml in 1 litre of water","BIHAR","SITAMARHI","PARIHAR                                           ","2014-09-10 16:32:38.713"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect problem","spray malathion 50 EC @ 2.5 gm /liter of water","BIHAR","SITAMARHI","NANPUR                                            ","2014-09-11 14:22:06.320"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","SITAMARHI","BATHANAHA                                         ","2014-09-11 19:27:20.760"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER IN BRINJAL","SPRAY ROGOR @2ML/LIT OF WATER","BIHAR","SITAMARHI","SUPPI                                             ","2014-09-11 20:00:21.250"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","SITAMARHI","SUPPI                                             ","2014-09-11 20:13:30.857"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","chance of rain in some extent area","BIHAR","SITAMARHI","BELSAND                                           ","2014-09-11 20:53:00.737"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","SITAMARHI","RUNNISAIDPUR                                      ","2014-09-13 11:09:41.157"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","information","ok","BIHAR","SITAMARHI","SUPPI                                             ","2014-09-14 11:37:40.583"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area and chance of rain","BIHAR","SITAMARHI","SURSAND                                           ","2014-09-15 07:14:53.720"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","SITAMARHI","BELSAND                                           ","2014-09-15 07:33:09.317"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT OF PADDY.","IMIDACLOPRID-1ML/3LIT OF WATER.","BIHAR","SITAMARHI","MAJORGANJ                                         ","2014-09-15 08:35:02.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","disease in paddy","spray carbendazim @ 1 gm/lt of water","BIHAR","SITAMARHI","BOKHRA                                            ","2014-09-16 08:40:05.883"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","Seed rate","Varieties : 300-350 g / ha 
              Hybrids : 100-150 g / ha","BIHAR","SITAMARHI","SUPPI                                             ","2014-09-17 06:51:28.963"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","yellowing of leaves","spray copper oxy chloride 2 gram/litre","BIHAR","SITAMARHI","SUPPI                                             ","2014-09-17 18:42:02.290"
"KHARIF","HORTICULTURE","Fruits","Mango","Seeds and Planting Material","variety of mango","sundar prasad , gulabkhas,jardalu,mallika","BIHAR","SITAMARHI","RUNNISAIDPUR                                      ","2014-09-18 14:16:20.193"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","THERD FERTILIZER DOSE-","THERD FERTILIZER DOSE-15 KG./ACRE","BIHAR","SITAMARHI","RUNNISAIDPUR                                      ","2014-09-19 08:23:18.447"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PLANT PROTECTION OFPADDY","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SITAMARHI","RIGA                                              ","2014-09-20 10:46:36.753"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","Seed treatment","Treat the seeds with Trichoderma viride @ 4 g / kg or Pseudomonas fluorescens @ 10 g / kg of seed. Treat the seeds with Azospirillum @ 40 g / 400 g of seeds using rice gruel as adhesive. Irrigate with rose can. In raised nursery beds, sow the seeds in lines at 10 cm apart and cover with sand. Transplant the seedlings 30 – 35 days after sowing at 60 cm apart in the ridges.","BIHAR","SITAMARHI","SUPPI                                             ","2014-09-20 14:41:30.163"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow chance of rain","BIHAR","SITAMARHI","PARIHAR                                           ","2014-09-21 10:30:20.220"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","plant protection of bhindi","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SITAMARHI","BOKHRA                                            ","2014-09-21 11:29:53.630"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow chance of rain","BIHAR","SITAMARHI","BOKHRA                                            ","2014-09-22 09:52:48.230"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","it may rain today","BIHAR","SITAMARHI","MAJORGANJ                                         ","2014-09-24 09:06:05.480"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Paddy stemborer: Scirpophaga incertulas","SPRAY MONOCROTOPHOS @2ML/LIT OF WATER","BIHAR","SITAMARHI","SUPPI                                             ","2014-09-26 09:17:22.933"
