"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about  How to control caterpillars in crop?","Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray.","CHHATTISGARH","BILASPUR","MUNGELI                                           ","2014-11-01 07:14:05.450"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION IN LORAMI","??????? ????
???? ??: +28°
?????: +15°
???: 45%
????????????: 4 ????????
???? ?? 1.11. 11:30 am
?? ???? ??? Pendra Road
????? ????????, Pendra Road >","CHHATTISGARH","BILASPUR","LORMI                                             ","2014-11-01 15:00:38.470"
"RABI","AGRICULTURE","Others","Others","Weather","Tell me Weather forecast ?","No chance of no  rainfall next five days .","CHHATTISGARH","BILASPUR","MUNGELI                                           ","2014-11-01 15:38:46.007"
"RABI","AGRICULTURE","Others","Others","Weather","Tell me Weather forecast ?","chance of no rainfall next five days .","CHHATTISGARH","BILASPUR","BELHA                                             ","2014-11-01 16:47:21.657"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast control paddy ?","spray propiconazole @ 1 ml / liter ,","CHHATTISGARH","BILASPUR","TAKHATPUR                                         ","2014-11-01 19:04:40.380"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION ?","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              02/11               03/11               04/11               05/11               06/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","BILASPUR","BELHA                                             ","2014-11-02 07:53:30.760"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about Which fertilizer and nutrient give for better growth in crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","CHHATTISGARH","BILASPUR","LORMI                                             ","2014-11-02 07:58:34.567"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about  How to control rice Gandhi bag ?","Monocrotophos 36 s. L. 800 ml. / hac. Rate of spray.","CHHATTISGARH","BILASPUR","MASTURI                                           ","2014-11-02 08:20:36.293"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control insect in paddy ?","ds","CHHATTISGARH","BILASPUR","MASTURI                                           ","2014-11-02 08:46:56.487"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about  How to control caterpillars in crop?","Monocrotophos 36 s. L. 800 ml. / hac. Rate of spray.","CHHATTISGARH","BILASPUR","MARWAHI                                           ","2014-11-02 08:48:34.200"
