"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","wilt in red gram","drench with Copper oxychloride at 2.5 g/lit at 4 lit/sq.m","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-08-01 14:14:06.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","JAIVIK KITNASHAK","???????? ?? 10-12 ???? ???????, 200 ???? ???? ??? 4 ??? ?? ???????? ???????? ?? ???? ????? ?? ??? ????? ?? ??? ?? ??? ?? ?????? ???? ???? ????? ?? ???????? ???? ???","CHHATTISGARH","DHAMTARI","NAGARI","2014-08-01 21:21:10.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","DHAMTARI","MAGARLOD","2014-08-02 07:59:25.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how  I can  improve growth ?","SPRAY NPK 19:19:19 @ 2.25 Kg/ acar dissolve in 150 litre of water.","CHHATTISGARH","DHAMTARI","MAGARLOD","2014-08-02 14:24:15.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy weeds control ?","NIMINEE GOLD (bispyribac sodium 10%sc)  @ 200 ml / 300 liter water / hectare 15-25 days after sowing of transplanting","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-08-02 15:10:00.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","??????? 4 ??. 25 ????. ??  ???????? 0.3 ?? 25 ???? ?? ?????????????????? 0.4 ?? 10 ???? .","CHHATTISGARH","DHAMTARI","NAGARI","2014-08-02 15:35:27.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommendade  for","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-08-02 16:29:59.000"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","seed treatment in black gram ?","treatseed with bavistin @ 3 gm / kg seed","CHHATTISGARH","DHAMTARI","KURUD","2014-08-02 17:38:32.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","Paddy fertilizer  doses ?","apply urea 220 kg + ssp-375 kg + mop -68 kg / hectare .","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-08-02 17:47:52.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bio insecticide for paddy ?","5 liter matha +1 kg neem + rotten for 10 days the spray in crop .","CHHATTISGARH","DHAMTARI","NAGARI","2014-08-02 17:56:00.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Leaf Blast :

Severe cases of infection - entire crop give a blasted or burnt appearance- hence the name ""BLAST""
Severe cases - lodging of crop (after ear emergence)","Chemical Method
Spray after observing initial infection of the disease,
Carbendazim 50WP @ 500g/ha (or)
Tricyclozole 75 WP @ 500g/ha (or)
Metominostrobin 20 SC @ 500ml/ha (or) 47
Azoxystrobin 25 SC @ 500 ml/ha","CHHATTISGARH","DHAMTARI","NAGARI","2014-08-02 18:26:19.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control yellownes of paddy ?","•	??? ??? ??? 1000 ???? ???? ??? 5 ????????? ???? ?????? ??? 2.5 ??.????. ???? ???? ??? ???? ?? ??? ?? ?????? ????? ????? 2 ????????? ?????? ?????? ?????? ???? ?? ??? ?? ????? ??? ??? ?? ????? ??? ?????? ???? ???","CHHATTISGARH","DHAMTARI","KURUD","2014-08-02 20:23:48.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","??? ?? ??? ?? ??? ???? ?????? (??????, ????? ? ?????) ?? ?????? (??????./?????.)","100-110 (???? ???????)

60-80

30-40

20-30","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-08-03 19:21:34.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","How to increase the growth & flowering of ?","???? ???  ??????? ?????? ???? ?? ?? ?? 19:19:19  @ 100 ????? / ???","CHHATTISGARH","DHAMTARI","KURUD","2014-08-04 07:56:48.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","thrips problem in chilli","Insecticide	Dose
Imidacloprid 17.8 % SL	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.
Ethion 50 % EC	2.0 ml/lit.
Fipronil 5 % SC	1.5 ml/lit.
Oxydemeton –Methyl 25 % EC	1.0 ml/lit.
Phosalone 35 % EC	2.0 ml/lit.
Spinosad 45 % SC	3.2 ml/10 lit.
Thiacloprid 21.7 % SC	6.0 ml/10 lit.","CHHATTISGARH","DHAMTARI","KURUD","2014-08-04 07:58:23.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TO KNOW ABOUT SUCKING PEST IN","1.	spray any one of the following insecticide
Insecticide	Dose
Imidacloprid 17.8 % SL	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.","CHHATTISGARH","DHAMTARI","MAGARLOD","2014-08-04 13:22:35.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TO KNOW ABOUT SUCKING PEST IN","1.	spray any one of the following insecticide
Insecticide	Dose
Imidacloprid 17.8 % SL	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.","CHHATTISGARH","DHAMTARI","MAGARLOD","2014-08-04 13:44:31.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TO KNOW ABOUT SUCKING PEST IN","1.	spray any one of the following insecticide
Insecticide	Dose
Imidacloprid 17.8 % SL	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.","CHHATTISGARH","DHAMTARI","KURUD","2014-08-04 15:58:43.000"
"JAYAD","FISHERIES","Inland","Cold Water","Fish  Marketing","fish farming ?","rohu katla mrigal , common carp , silver carp .","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-08-04 18:18:55.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-08-05 12:02:13.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","how to improve growth ?","spray PNK 19:19:19 @ 2.25 KG/ACAR dissolve in 150 litre of water.","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-08-05 15:21:56.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather forecast ?","chance of light   rainfall nexttwo days .","CHHATTISGARH","DHAMTARI","KURUD","2014-08-05 17:33:44.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","How to increase the growth of paddy ?","foliar application of IFFCO urea water soluable fertilizer @ 150 gm/pump.","CHHATTISGARH","DHAMTARI","KURUD","2014-08-05 20:38:02.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information","??? ???? ?? ???? ?????
???? ??: +23°
????????: 1001.0 ???????????? 
?????: +23°
???: 100%
????????????: 3 ????????
???? ?? 6.8. 05:40","CHHATTISGARH","DHAMTARI","KURUD","2014-08-06 06:42:36.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","DHAMTARI","NAGARI","2014-08-06 07:06:21.000"
