"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 gram per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-11-01 10:29:15.667"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","how to treat ginger rhizomes ?","Treat the seed rhizomes with Mancozeb or Copper oxychloride 3 g/lit or 200 ppm Streptocycline for 30 minute","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-11-01 11:48:13.193"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information ?","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              02/11               03/11               04/11               05/11               06/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-11-01 12:01:31.167"
"RABI","AGRICULTURE","Others","Others","Weather","farmer want to weather information of district?","No rainfall chance in your district and weather will some cloudy at next 5 days weather will some cloudy.","CHHATTISGARH","DHAMTARI","KURUD","2014-11-01 13:40:17.917"
"RABI","AGRICULTURE","Others","Others","Weather","Tell me Weather forecast ?","chance of no rainfall next five days .","CHHATTISGARH","DHAMTARI","NAGARI","2014-11-01 16:20:41.030"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather",".Farmer want to information  of weather for?","Your district has no daily rainfall","CHHATTISGARH","DHAMTARI","NAGARI","2014-11-01 16:25:42.310"
"RABI","AGRICULTURE","Others","Others","Weather","Tell me Weather forecast ?","chance of no rainfall next five days .","CHHATTISGARH","DHAMTARI","NAGARI","2014-11-01 17:15:58.213"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Farmer want to know about Varieties of Wheat crop?","Recommended for Unirrigated – sujata, MP 3020, HW 2004 (amar), JWS 17, HI 1500, HI 1531, HI 4672 (Malavratna), HI 8627, HI 7483 (Meghdut) are wheat crop varieties. 
Recommended for Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, GW 322, MP 1142, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti) are wheat crop varieties.
Recommended for Irrigated Late sown- Lok-1, GW 173, DL 788-2 (vidisha), HI 1454 (Abha), MP 4010, HI 1418 (Naveen Chandusi), HD 2402, HD 2932 (Pust wheat-111) are wheat crop varieties","CHHATTISGARH","DHAMTARI","MAGARLOD","2014-11-01 17:44:03.880"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","How to control SUCKING PEST IN CITRUS crop?","Spray of Trizophos 40 EC 40 Ml. / pump.","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-11-02 07:59:44.460"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about Which fertilizer and nutrient give for better growth in crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-11-02 08:10:38.720"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to increse yield of paddy ?","use npk 191919 100g\pump","CHHATTISGARH","DHAMTARI","KURUD","2014-11-03 12:23:25.797"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","How to control of fungal attack in bitter gourd crop?","Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","DHAMTARI","KURUD","2014-11-04 13:21:25.283"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","farmer want to know information about  How to control caterpillars in crop?","Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray.","CHHATTISGARH","DHAMTARI","KURUD","2014-11-05 07:09:27.200"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","vareity of paddy","????????*

100-105

30-35

?????, ???? ????, ????? ???? ????, ???? ??????

??????????*

100-105

30-35

?????, ???? ????, ????? ???? ????, ?????? ??????, ??????? ????? ???? ???? ???????

??????????*

105-112

30-40

?????, ???? ????, ????? ???? ????, ?????? ?????? ??? ????? ??? ???? ??????, ???????????? ???? ???? ?? ??????? ???? ??????? ???? ??????? ??? ???? ??????

?????? ?????? ???-1*

111-115

30-40
?????, ???? ????, ?????? ???? ??? ???? ????? ???? ???? ???????, ???? ?? ????? ????? ??????, ???????, ??????? ???? ??????","CHHATTISGARH","DHAMTARI","MAGARLOD","2014-11-05 09:27:15.780"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","termite problem in mango","cloropairiphas-50ml/pump","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-11-05 12:40:15.203"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Control of fungal disease in paddy crop   crop  ?","spray of propiconazol 20ml per pump .","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-11-05 14:21:38.577"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to increse yield of paddy ?","use npk 191919 100g\pump","CHHATTISGARH","DHAMTARI","KURUD","2014-11-06 10:50:29.163"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","CHHATTISGARH","DHAMTARI","NAGARI","2014-11-06 13:31:43.410"
"RABI","HORTICULTURE","Vegetables","Amaranthus/Grain Amaranthus","	Plant Protection	","how to control leaf spot in amaranthus ?","spray Carbendazim @ 1 g/l of water.","CHHATTISGARH","DHAMTARI","DHAMTARI","2014-11-06 14:27:51.590"
