"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","farmer want to know information about Which fertilizer and nutrient give for better growth in paddy?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-01 07:39:12.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","farmer want to know information about What are fertilizer doses in soyabean crop?","Urea = 44 KG., DAP = 100 Kg., Muriate of potash = 25 Kg. and sulfer  25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-01 08:18:27.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-01 08:28:39.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information ?","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              02/08               03/08               04/08               05/08               06/08
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                  24                  17                  26                  50                  52","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-08-01 11:28:50.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-08-01 11:40:06.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA                                          ","2014-08-01 11:46:34.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","farmer want to know information about  weather forcast ?","02/08               03/08               04/08               05/08               06/08
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                  24                  17                  26                  50                  52","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA                                          ","2014-08-01 13:55:25.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEED CONTROL IN PADDY","Where broad-leaved weeds and sedges are predominant, apply 2,4-D sodium salt (Fernoxone 80% WP) 1.25 kg/ha dissolved in 625 litres of water with a high volume sprayer, three weeks after transplanting or when the weeds are in 3-4 leaf stage.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-01 14:58:13.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","Bacterial leaf blight","Spray Streptomycin sulphate + Tetracycline combination 300 g + Copper oxychloride 1.25kg/ha. If necessary repeat 15 days later.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-01 16:12:55.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dos of N:P:K in paddy crop","Apply N:P:K 100:50:40 /hact.(217 kg urea ,312 kg/ 108 kg dap,66 kg mop/hact.)","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-08-01 17:09:58.000"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","•	???? ??? ?? ??? ????? ????? ????? ?? ???? ?? ???? ??? ?","???? ??? ??? ???? ?? ?????? ???? ?? ????????????? ??????? ??? ?? 20 ?? 25 ??.????. ??? ????? ???????? ?? ????? ?? ????? ???? ?????? ?","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA                                          ","2014-08-01 18:53:17.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-08-02 07:05:13.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-08-02 07:19:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Farmer want to information about weather ?","02/08               03/08               04/08               05/08               06/08
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                  24                  17                  26                  50                  52","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-08-02 07:41:09.000"
"","HORTICULTURE","Vegetables","Tomato","","How to control of fungal attack in tomato?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-02 09:18:07.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Field Preparation	","farmer want to know information about How to control weeds in soybean crop?","When your crop become 25 to 30 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-02 09:44:44.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","how to increase the growth of maize crop ?","Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA                                          ","2014-08-02 09:53:32.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","farmer want to know information about How to control weeds in soybean crop?","When your crop become 25 to 30 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds","CHHATTISGARH","KAWARDHA (KABIRDHAM)","BODLA                                             ","2014-08-02 12:42:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","how to control weeds  OF PADDY ?","SPRAY  BISPYRIBAC SODIUM 10% SC @ 80  ML/ACAR .","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-02 14:09:10.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","BODLA                                             ","2014-08-03 10:50:38.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-03 13:55:47.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal fruit & stem borer control ?","apply cartap hydrochloride @ 7.5 kg / acre .","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-03 15:17:53.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","How to control of fungal attack in Brinjal crop?","????????? 63% + ????????????? 12% WP 40 ?????  ??  ???????????????? 2 ????? ?? ?????? ?? 15 ????  ???? ?? ??? ????? ?????? ???.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","BODLA                                             ","2014-08-03 15:36:38.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","","How to control of fungal attack in tomato crop?","???? ????? ???????? ??? ?? 45 ????? ?? ?????????????????? ??? ?? 2 ????? ??? ?? 15 ???? ???? ?? ??? ?????? ?????? ???|","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA                                          ","2014-08-04 07:01:50.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","How to control of fungal attack in soyabean crop?","???? ????? ???????? ??? ?? 45 ????? ?? ?????????????????? ??? ?? 2 ????? ??? ?? 15 ???? ???? ?? ??? ?????? ?????? ???| 
???????? 63% + ????????????? 12% WP ??? ?? 40 ????? ?? ?????????????????? ??? ?? 2 ????? ??? ?? 15 ???? ???? ?? ??? ?????? ?????? ???","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA                                          ","2014-08-04 07:13:07.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","Farmer want to information weed control in soyabean crop?","???????  ??? ????????? ?? ???? ???? ?? ???? ??-?? ????? ??? ???? ??  ????? ????? ??????????? ????? (???????? ) 400 ???? ????? ??? ???? ???? ??? ?? ??? ???? ????? ??? ???? ????????? ?? ???? (????/????/?????)??????????? 300 ???? ????? ??? ?? ?? ?? ?????? ?? ?????? ???","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA                                          ","2014-08-04 07:15:55.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Which fertilizer and nutrient give for better growth in paddy?","Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-04 07:16:57.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","How to control of fungal attack in paddy crop?","???? ????? ???????? ??? ?? 45 ????? ?? ?????????????????? ??? ?? 2 ????? ??? ?? 15 ???? ???? ?? ??? ?????? ?????? ???|","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA                                          ","2014-08-04 08:33:04.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","What are fertilizer doses in paddy crop?","??? ??? ?????? = 60 ??.????.,??.?.??. = 108 ??.????. ,??????? ?? ????? = 50 ??.????.?? 25 ???? ???? ??????  ????? ??????? ????? ?? ??? /???? ??? ?? ??? ?? ????? ??-?? ???? ??????/ ???  ?? ????? ?? ?????? ???","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-04 09:53:54.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","how to control red pumpkin beetle ?","Recommended for Spray malathion 50 EC @ 500 ml or dimethoate 30 EC 500 ml or methyl demeton 25 EC@ 500 ml/ hectare .","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-04 17:56:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how  I can  improve growth ?","recommended for  SPRAY NPK 19:19:19 @ 2.25 Kg/ acar dissolve in 150 litre of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA                                          ","2014-08-04 21:08:24.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","how  I can  improve growth ?","recommended for  SPRAY NPK 19:19:19 @ 1.5 Kg/ acar dissolve in 150 litre of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA                                          ","2014-08-04 21:10:11.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather","Kawardha 1 – 3 Day Weather Forecast Summary: Heavy rain (total 23mm), heaviest during Tue morning. Warm (max 30°C on Thu afternoon, min 24°C on Tue night). Winds decreasing (strong winds from the W on Tue afternoon, light winds from the W by Thu night).","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA                                          ","2014-08-05 08:10:44.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","farmer want to know information about Which fertilizer and nutrient give for better growth in soyabean crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-05 08:26:48.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about How to control weeds in paddy crop?","Spray Nomini gold(Bispayriback sodium) 80 ml  per acar.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","","2014-08-05 08:33:03.000"
