"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","Nutrient Management","How to increase the growth & flowering of cluster bean ?","foliar application of tricontenol @ 30 ml/pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA","2014-09-02 16:43:46.197"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","	Plant Protection	","white fly  control in cluster bean ?","spray imidaclopride @ 5 ml / pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA","2014-09-02 16:48:28.247"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","how to control fruit drppoing in pome granate ?","spray napthalin acitic acid at the rate of 51 ml./ pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","BODLA","2014-09-02 20:16:37.287"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about How to control stem borer in paddy crop?","Apply cartap hydro chloride 7 to 10 kg at per Acer.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-09-03 06:20:54.680"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast control paddy ?","spray propiconazole @ 1 ml / liter ,","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-09-03 14:31:46.313"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about How to control aphid ?","Spray of imidaclorprid 17.8%SL 5 to 6 ml per pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-09-04 07:03:43.633"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control stem borer in paddy crop?","Apply cartap hydro chloride 7 to 10 kg at per Acer.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA","2014-09-04 10:31:15.313"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","control of bph in paddy","??????????????  75 ??.??.  ?? ????????  5  ??????? 600  ??.??.????? ???????? ?????? ???","CHHATTISGARH","KAWARDHA (KABIRDHAM)","BODLA                                             ","2014-09-05 10:12:35.643"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","which fertilizer and nutrient give for better growth in paddy crop?","Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-09-06 08:09:37.657"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-09-06 08:26:31.237"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about Which fertilizer and nutrient give for better growth ?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-09-06 11:39:14.850"
