"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","CHHATTISGARH","MAHASAMUND","BASNA                                             ","2014-11-01 07:24:41.633"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","farmer want to weather information of district?","??? ????
???? ??: +29°
?????: +16°
???: 44%
????????????: 4 ????????
???? ?? 1.11. 02:30 pm
?? ???? ??? Pbo Raipur
????? ????????, Pbo Raipur >","CHHATTISGARH","MAHASAMUND","BAGBAHARA                                         ","2014-11-01 16:06:32.027"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","farmer want to weather information of district?","???? ??: +28°
????????: 1009.9 ???????????? 
?????: +18°
???: 56.1%
????????????: 4 ????????
???? ?? 1.11. 05:30 pm
?? ???? ??? Pbo Raipur
????? ????????, Pbo Raipur >","CHHATTISGARH","MAHASAMUND","BAGBAHARA                                         ","2014-11-01 18:23:23.923"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Which fertilizer and nutrient give for better growth in chilli","?????? N P K 19:19:19 ???? ??? ??????? ??? ?? 1?? ????? ?????? ????? ???? ?? ?? ?? ???????? ?? ?????? ??? .","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-01 18:33:59.543"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about  Fertilizer dose in wheat crop ?","Urea 175 kg, DAP 109 kg and MOP 50 kg per hac.","CHHATTISGARH","MAHASAMUND","MAHASAMUND                                        ","2014-11-02 07:06:12.730"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about Which fertilizer and nutrient give for better growth in crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-02 08:06:05.683"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","How to control of fungal attack in BRINJAL crop?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","MAHASAMUND","MAHASAMUND                                        ","2014-11-02 08:43:37.410"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Farmer want to stem borer control in paddy?","Spraying of fipronil 5 sl (regent) @25 ml /pump","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-02 16:35:35.387"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control insect in paddy ?","use npk 191919 100g\pump","CHHATTISGARH","MAHASAMUND","MAHASAMUND                                        ","2014-11-03 08:34:21.020"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Control  of  Powdery Mildew, Blast, Sheath Blight  of  Grape,Mango,Rice ?","Spray  of  Hexaconazole 5% EC @ 250-400 ml/acre  or  20ml/pump.","CHHATTISGARH","MAHASAMUND","BASNA                                             ","2014-11-04 06:50:11.103"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","fertilizer application","Hybrids 
 Basal dose : FYM 30 t / ha, NPK 30:80:80 kg / ha. 
 Top dressing : 30 kg N / ha in equal splits on 30, 60 and 90 days after planting.","CHHATTISGARH","MAHASAMUND","PITHORA                                           ","2014-11-04 08:20:54.547"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","FERTILIZERS DOS FOR POTATO CROP ?","?? ???????? ??? ?? ??? ?? ???? 150 ???? ??????, 100 ???? ????? ??? 100 ???? ????? ?? ???????? ???? ???
•	????? ??? ????? ?? ???????? ?????? ??? ?????? ?? ??? ?????? ??? ?? ?????? ?? ????? ??? ?? ?????? ?? ??? ?? ??????? ??? ????
•	?????? ?? ??? ??? ?????? ?????? ?????? ??? ??????? ?? 25-30 ??? ??? ??????? ??? ?? ???, ???? ?????? ?????? ??? ??? ?????? ??? ??? ???? ?? ??? ??? ?????? ?? ?????? ?????? ?? ??? ?? ?????
•	?????? ?? ??? ????? ?? ?? ?? ????? ????? ??? ?????? ???? ?? ???? ??, ????? ??? ?? ???? ?? ???????? ??? ?????? ??? ?????? ???? ???? ???","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-04 20:18:57.917"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","fertilizer application","?? ???????? ??? ?? ??? ?? ???? 150 ???? ??????, 100 ???? ????? ??? 100 ???? ????? ?? ???????? ???? ???
•	????? ??? ????? ?? ???????? ?????? ??? ?????? ?? ??? ?????? ??? ?? ?????? ?? ????? ??? ?? ?????? ?? ??? ?? ??????? ??? ????
•	?????? ?? ??? ??? ?????? ?????? ?????? ??? ??????? ?? 25-30 ??? ??? ??????? ??? ?? ???, ???? ?????? ?????? ??? ??? ?????? ??? ??? ???? ?? ??? ??? ?????? ?? ?????? ?????? ?? ??? ?? ?????
•?????? ?? ??? ????? ?? ?? ?? ????? ????? ??? ?????? ???? ?? ???? ??, ????? ??? ?? ???? ?? ???????? ??? ?????? ??? ?????? ???? ???? ???","CHHATTISGARH","MAHASAMUND","PITHORA                                           ","2014-11-05 10:09:06.247"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about Seed treatment in  crop.","Use bavastim 3 gm per kg of seed","CHHATTISGARH","MAHASAMUND","MAHASAMUND                                        ","2014-11-05 10:48:15.683"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","farmer want to know information about How to control flower drop problem in brinjal crop?","Spray Plano fix 4 to 5 Ml at 15 liter of water.","CHHATTISGARH","MAHASAMUND","PITHORA                                           ","2014-11-05 13:32:05.143"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","market price","Cereals
Paddy(Dhan)	Common:1360 Grade-A:1400
1121	3330	2000
Paddy fine	1400	1400
Rice	
Basmati Paddy	4200	4100
Fine	2800	2600
IR-8	2700	2600
Ponni	3025	2900
Sona Mansoori Non Basmati	3300	3000","CHHATTISGARH","MAHASAMUND","BAGBAHARA                                         ","2014-11-05 13:43:44.810"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","PADDY Latest Market Prices Available Mahasamund, Chattisgarh (05/11/2014)?","Mahasamund	Paddy(Dhan)	20	Tonnes	NR	Paddy fine	FAQ	1150	1347	1250	Rs/Quintal","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-05 18:15:01.657"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","mandi price of paddy in mahasamund mandi  ?","Latest Market Prices Available Mahasamund, Chattisgarh (05/11/2014)maximum price Rs. 1150 /- and minimum price Rs.1347 /- per quintal .","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-05 20:54:26.920"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","CHHATTISGARH","MAHASAMUND","BASNA                                             ","2014-11-06 09:49:30.313"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area  www.cg.gov.in","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-06 10:23:39.160"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","how to increse yield of wheat ?","use npk 191919 100","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-06 11:16:11.340"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","farmer want to know information about  Fertilizer dose in wheat crop ?","Urea 175 kg, DAP 109 kg and MOP 50 kg per hac.","CHHATTISGARH","MAHASAMUND","MAHASAMUND                                        ","2014-11-06 11:39:44.553"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","farmer want to know information about How to control of fungal attack in crop ?","Use copper oxy chloride  50% w  45 gram and steptrocyclin  90% w/w 2 gram at 15 liter of water","CHHATTISGARH","MAHASAMUND","MAHASAMUND                                        ","2014-11-06 12:53:46.477"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","CHHATTISGARH","MAHASAMUND","BASNA                                             ","2014-11-07 09:00:02.683"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION ?","SOME CLOUDS IN YOUR DISTRICTS","CHHATTISGARH","MAHASAMUND","SARAIPALI                                         ","2014-11-07 11:13:05.373"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control aphids in paddy crop?","Spray of imidaclorprid 17.8%SL 5 to 6 ml per pump.","CHHATTISGARH","MAHASAMUND","MAHASAMUND                                        ","2014-11-07 11:31:26.840"
