"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Oilseeds","Safflower (kusum/kardi)","Nutrient Management","fertilizer  sunflower ?","apply 44 kg + urea + ssp-375 kg + mop-34 kg / hectare .","CHHATTISGARH","KANKER(North Bastar)","BHANUPRATAPPUR                                    ","2014-11-01 15:33:48.017"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control of fungal attack in brinjal crop?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","KANKER(North Bastar)","KOILEBEDA                                         ","2014-11-02 11:30:57.803"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control of fungal attack in tomato crop?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","KANKER(North Bastar)","KOILEBEDA                                         ","2014-11-02 11:34:25.703"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about blast attack of paddy?","spray tricyclazole 75% wp 200gm. per acre","CHHATTISGARH","KANKER(North Bastar)","ANTAGARH                                          ","2014-11-02 12:44:07.783"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","???? ??? ???? ????? ???? ?? ????? ??? ?? ??? ??? ????? ???????? ?? ?? ????? ???? ?? ????? ???? ???","????????????? 36 ??????? 1500 ??.??. ?? ?????????????? 125 ?? .??. ?? ???????? + ???????????? 150 ??.??. .","CHHATTISGARH","KANKER(North Bastar)","CHARAMA                                           ","2014-11-02 14:15:41.367"
"RABI","AGRICULTURE","Others","Others","Government Schemes","farmer wants registration to SMS alert.","your mobile number has been registerd.","CHHATTISGARH","KANKER(North Bastar)","KANKER                                            ","2014-11-03 17:09:31.890"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control of BACTERIAL blight in paddy ?","Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","KANKER(North Bastar)","KANKER                                            ","2014-11-04 16:53:00.990"
"RABI","AGRICULTURE","Others","Others","Government Schemes","farmer wants to registration for sms alert ?","aapke mobile number ka panjikaran krishi sambandhit SMS  ke liye kar liya gaua hain |","CHHATTISGARH","KANKER(North Bastar)","KANKER                                            ","2014-11-04 21:02:54.753"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","NAME OF VARIETY OF ONION ?","ARKA KIRTIMAN","CHHATTISGARH","KANKER(North Bastar)","KANKER                                            ","2014-11-04 21:08:13.260"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Cabbage borer:","Collect and destroy mechanically caterpillars in the early stages of attack
Bacillus thuringiensis @ 2g/lit at primordial stage
Cartap hydrochloride @ 500g /ha or malathion 50EC @500ml/ha","CHHATTISGARH","KANKER(North Bastar)","KOILEBEDA                                         ","2014-11-05 10:16:24.673"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","farmer want to know information about How to control of fungal attack in crop ?","Use copper oxy chloride  50% w  45 gram and steptrocyclin  90% w/w 2 gram at 15 liter of water","CHHATTISGARH","KANKER(North Bastar)","CHARAMA                                           ","2014-11-05 10:57:08.680"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","CHHATTISGARH","KANKER(North Bastar)","NARHARPUR                                         ","2014-11-06 13:15:09.127"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION ?","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              07/11               08/11               09/11               10/11               11/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","KANKER(North Bastar)","NARHARPUR                                         ","2014-11-06 13:25:05.063"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","Seed treatment in paddy crop?","Use vitavax plus or  bavastin 3 gm per kg of seed","CHHATTISGARH","KANKER(North Bastar)","KANKER                                            ","2014-11-07 19:53:13.217"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control flower drop problem in tomato crop?","Spray Plano fix 4 to 5 Ml at 15 liter of water.","CHHATTISGARH","KANKER(North Bastar)","CHARAMA                                           ","2014-11-07 20:58:52.837"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","variety and fertilizers of mustard crop ?","npk dose of mustard crop - 100-50-25,,s-30-40kg/hact.","CHHATTISGARH","KANKER(North Bastar)","BHANUPRATAPPUR                                    ","2014-11-08 15:02:02.930"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","tell me field preparation  for maize crop  ?","??? ?? ?????? ?? ??? ???? ???? ????? ?? ??? ??? ??? ??? ????? ???? ?? ??? ???? ??? ???? ?????? ??? ?? ?? ??? ?????? ????? ???? ?? ?? ??????? ???? ?? ??? ??-??? ??? ????????? ?? ????-???? ??????? ???? ???? ?? ??????? ??? ???? ??? ??? ?
•	??? ?? ???? ??? ????????? ?? ?? ??? ??????? ???? ?? ??????? ?? ??? ???? ???? ?????? 
•	???? ????? ??? ?? ???? ??? ???? ??????, ???? ????? ?????? ???? ?? ? ?????? ??????? ?? ??? ??????? ?? 20 ??? ????? 20-25 ????? ?? 10-12 ?? ???? ?? ??? ????? ???????? ??????? ?
•	???? ?? ???????? ?? ???? ????? ??????? ?? ??? 25 ????????? ????????????? ????? ????? ???????? ????? ?????? ?","CHHATTISGARH","KANKER(North Bastar)","CHARAMA                                           ","2014-11-08 19:57:54.260"
