"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","CENTRAL","DELHI","2014-09-02 07:05:18.417"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","CENTRAL","DELHI","2014-09-02 07:05:18.417"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","CENTRAL","DELHI","2014-09-02 07:05:18.417"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","CENTRAL","DELHI","2014-09-02 07:05:18.417"
"KHARIF","HORTICULTURE","Fruits","Aonla","Seeds and Planting Material","TELL ME JABALPUR MP  MARKET RATE OF TAMARIND","CHHINDWARA MARKET RATE OF 21 / KG.  TAMARIND","DELHI","CENTRAL","DELHI","2014-09-02 11:59:51.887"
"KHARIF","HORTICULTURE","Fruits","Aonla","Market Information","TELL ME CHHINDWARA MARKET RATE IN  TAMARIND","CHHINDWARA MARKET RATE OF 21 / KG.  TAMARIND","DELHI","CENTRAL","DELHI","2014-09-02 12:07:33.557"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","Seeds and Planting Material","TELL ME PLANTING TIME IN ECULEPTOUS","FEB. MARCH OR JULY -AUGUST  MONTH PLANTING TIME IN ECULEPTOUS","DELHI","CENTRAL","DELHI","2014-09-02 12:21:17.010"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF DELHI","RAIN MAYBE POSIBLE NEXT FIVE DAYS IN DELHI NCR","DELHI","CENTRAL","DELHI","2014-09-03 06:36:48.900"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF DELHI","RAIN MAYBE POSIBLE NEXT FIVE DAYS IN DELHI NCR","DELHI","CENTRAL","DELHI","2014-09-03 06:36:48.900"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF DELHI","RAIN MAYBE POSIBLE NEXT FIVE DAYS IN DELHI NCR","DELHI","CENTRAL","DELHI","2014-09-03 06:36:48.900"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF DELHI","RAIN MAYBE POSIBLE NEXT FIVE DAYS IN DELHI NCR","DELHI","CENTRAL","DELHI","2014-09-03 06:36:48.900"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER RAINFALL IN NOIDA","CONTINUE RAINFALL NEXT 5 DAYS IN NOIDA","DELHI","CENTRAL","DELHI","2014-09-03 14:26:45.067"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","TELL ME CONTROL GUNDI BUG IN PADDY","SPRAY= QYUNALPHOS 25% EC 2 ML/LITER WATER IN PADDY","DELHI","CENTRAL","DELHI","2014-09-03 19:56:34.883"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","TELL ME CONTROL GUNDI BUG IN PADDY","SPRAY= QYUNALPHOS 25% EC 2 ML/LITER WATER IN PADDY","DELHI","CENTRAL","DELHI","2014-09-03 19:56:34.883"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","CENTRAL","DELHI","2014-09-04 06:25:33.993"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","CENTRAL","DELHI","2014-09-04 06:25:33.993"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","CENTRAL","DELHI","2014-09-04 06:25:33.993"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","CENTRAL","DELHI","2014-09-04 06:25:33.993"
"RABI","HORTICULTURE","Flowers","Marigold","Seeds and Planting Material","TELL ME YIELD OF MARIGOLD","125- 150 QT. / HAC.YIELD OF MARIGOLD","DELHI","CENTRAL","DELHI","2014-09-04 06:49:50.950"
