"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Government Schemes","TELL ME PUSA ATIC CONTECT NUMBAR.","CONTECT FOR 011-25841670","DELHI","EAST","DELHI","2014-11-01 08:00:16.783"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME WHEAT VARIETIES.","HD-2851,HD-2894,HD-2967","DELHI","EAST","DELHI","2014-11-01 08:06:46.140"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","TELL ME TRANING CENTER IN DELHI","TRANING CENTER IN DELHI FOR CONTACT IN PUSA - 011 25841670 ,25842684","DELHI","EAST","DELHI","2014-11-01 09:13:32.173"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","EAST","DELHI","2014-11-01 09:26:09.020"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME WHEAT VARIETIES.","WHEAT VARIETIES HD-2851,HD-2894,HD-2967","DELHI","EAST","DELHI","2014-11-01 09:37:01.003"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","TELL ME WHEAT SEED AVALAIBLE IN  DELHI","WHEAT SEED AVALAIBLE IN  DELHI  OF CONTACT OF PUSA BEEJ BHAWAN - 011 25841670 , SEED TREATMENT IN USE CHLOROPYRIFOS 20% EC 2 ML PER LITER WATER IN ROOT ZONE","DELHI","EAST","DELHI","2014-11-01 09:37:35.537"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME WHEAT VARIETIES.","HD-2851,HD-2894,HD-2967","DELHI","EAST","DELHI","2014-11-01 10:47:55.223"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Sowing Time and Weather","TELL ME GRAM SEED SOWING TIME","SOWING TIME OF GRAM= OCTOBER MONTH","DELHI","EAST","DELHI","2014-11-01 11:11:30.280"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","TELL ME ONION SEED RATE IN / HAC..","ONION SEED RATE IN  8- 10 KG.  / HAC..","DELHI","EAST","DELHI","2014-11-01 11:33:03.690"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME YIELD OF WHEAT SEED OF","YIELD OF WHEAT SEED OF 50-51 QT../ HAC..","DELHI","EAST","DELHI","2014-11-01 11:49:36.160"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","TELL ME DHAN(1121)MANDI RATE.","2900  RUPEES PER QT.","DELHI","EAST","DELHI","2014-11-01 12:10:08.983"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME WHEAT SEED VARIETY NAME","WHEAT SEED VARIETY NAME   OF HD- 2967 ,PBW-343","DELHI","EAST","DELHI","2014-11-01 12:20:09.097"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME  WHEAT SEED VARIETY NAME","WHEAT SEED VARIETY NAME  OF HD- 2967 ,PBW- 343","DELHI","EAST","DELHI","2014-11-01 13:30:53.027"
"RABI","AGRICULTURE","Cereals","Oats ","Cultural Practices","TELL ME SOWING TIME OF OAT","15 OCTUMBER NOVMBER SOWING TIME OF OAT","DELHI","EAST","DELHI","2014-11-01 15:22:53.757"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","VARITY OF WHEAT","VARIETY OF WHEAT= RAJ 4037, RAJ 3077, RAJ 3765, RAJ 1482, RAJ 4120 , PBW 343, PBW 550","DELHI","EAST","DELHI","2014-11-01 15:29:37.730"
