"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","weather report","next 5 day rainfall","DELHI","New Delhi","DELHI","2014-08-01 07:24:32.000"
"","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Field Preparation	","plz tell me variety of bajara","variety of bajara -HHB-67 HHB-60 RAJ-171","DELHI","New Delhi","DELHI","2014-08-01 08:26:56.000"
"","HORTICULTURE","Vegetables","Carrot","Cultural Practices","varity of carrot","pusa varsti varity of carrot","DELHI","New Delhi","","2014-08-01 08:41:01.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF DELHI","RAIN MAYBE POSIBLE NEXT FIVE DAYS IN DELHI NCR","DELHI","New Delhi","DELHI","2014-08-01 10:46:23.000"
"","","","","","","","DELHI","New Delhi","","2014-08-01 12:45:08.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER RAINFALL IN FARIDABAD","NO RAINFALL NEXT 5 DAYS IN FARIDABAD","DELHI","New Delhi","","2014-08-01 14:16:19.000"
"JAYAD","AGRICULTURE","Others","Others","Credit","I want to make kishan credit card.","contect in nearest bank.","DELHI","New Delhi","","2014-08-01 15:18:03.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","TELL ME SHOOT BORER IN SUGARCANE CROP.","SPRAY OF IMMECTIN BENZOATE 1 GM PER 3 LITER WATER","DELHI","New Delhi","","2014-08-01 16:07:37.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","TELL ME PLANT PATHOLOY  SPECIALISAT CONTECT NUMBER.","CONTECT FOR 011-25843474","DELHI","New Delhi","DELHI","2014-08-01 16:50:58.000"
"","","","","","","","DELHI","New Delhi","DELHI","2014-08-01 17:00:37.000"
"JAYAD","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","TELL ME CONTROL LEMON FRUIT CRACKING.","SPRAY BOREX 5GM PER LITTER WATER.","DELHI","New Delhi","DELHI","2014-08-01 17:04:52.000"
"JAYAD","HORTICULTURE","Fruits","Guava","Bio-Pesticides and Bio-Fertilizers","TELL ME CONTROL APHID IN GUAVA","SPRAY= DIEMETHOYATE 30% EC 2 ML/LITER WATER IN GUAVA","DELHI","New Delhi","","2014-08-01 17:29:19.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","RAIN POSSIBILITY IN NEXT 2-3 DAYS","DELHI","New Delhi","","2014-08-01 17:53:06.000"
"JAYAD","HORTICULTURE","Medicinal and Aromatic Plants","Tulsi","	Plant Protection	","TELL ME CONTROL BORER ON TULSI LEAF.","SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER","DELHI","New Delhi","","2014-08-01 18:20:22.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME CONTROL BLACK SPOT ON DHAN CROP.","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","DELHI","New Delhi","","2014-08-01 19:37:42.000"
"","","","","","","","DELHI","New Delhi","","2014-08-01 20:21:11.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME CONTROL BOLLWORM IN COTTON CROP.","SPRAY OF IMMECTIN BENZOATE 1 GM PER 3 LITER WATER","DELHI","New Delhi","","2014-08-01 20:26:09.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRIC","MAY BE RAIN POSSIBILITY ON 1,2 AUGUST IN YOUR DISTRIC","DELHI","New Delhi","DELHI","2014-08-02 08:49:18.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRIC","POSSIBALITY OF RAIN MAY BE NEXT 3-4 DAYS IN YOUR DISTRIC","DELHI","New Delhi","","2014-08-02 09:42:07.000"
"","","","","","","","DELHI","New Delhi","","2014-08-02 11:20:12.000"
"JAYAD","AGRICULTURE","Others","Others","","TELL ME WEATHER REPORT IN MY DISTRIC","POSSIBALITY OF RAIN MAY BE NEXT 3-4 DAYS IN YOUR DISTRIC","DELHI","New Delhi","","2014-08-02 11:35:51.000"
"JAYAD","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","TELL ME LEAF MINOR OF RIDGE GOURD","SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER","DELHI","New Delhi","","2014-08-02 13:42:08.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL REGULAR NEXT FOUR DAYS.","DELHI","New Delhi","","2014-08-02 14:10:22.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL MAY 3,4,5,7 AUGUST.","DELHI","New Delhi","","2014-08-02 14:47:30.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL MAY REGULAR NEXT THREE DAYS.","DELHI","New Delhi","","2014-08-02 16:15:21.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","MITE PROBLEM IN COTTON","SPRAY DICOFOL 2 ML/L. WATER","DELHI","New Delhi","","2014-08-02 17:07:01.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Fenugreek","Cultural Practices","TELL ME MEETHI SOWING TIME.","JUNE-JULY MONTH.","DELHI","New Delhi","","2014-08-02 18:34:00.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL REGULAR NEXT FIVE DAYS.","DELHI","New Delhi","","2014-08-02 19:20:48.000"
"JAYAD","HORTICULTURE","Vegetables","Others","Seeds and Planting Material","I WANT TO VEGETABLES SEED.","CONTECT IN NSC SHOP.","DELHI","New Delhi","","2014-08-02 20:37:51.000"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","Bio-Pesticides and Bio-Fertilizers","TELL ME CONTROL PEST IN BOTTLE GOURD","SPRAY= DIEMETHOYATE 30% 2 ML/LITER WATER IN LOKI","DELHI","New Delhi","","2014-08-02 21:14:45.000"
"","","","","","","","DELHI","New Delhi","DELHI","2014-08-02 21:31:23.000"
"","","","","","","","DELHI","New Delhi","DELHI","2014-08-02 21:42:30.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","plz control in bakani in rice","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","DELHI","New Delhi","DELHI","2014-08-03 06:15:34.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME BAKANI CONTROL IN PADDY CROP","DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION","DELHI","New Delhi","","2014-08-03 08:31:16.000"
"","","","","","","","DELHI","New Delhi","","2014-08-03 09:15:28.000"
"JAYAD","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","TELL ME WEED CONTROL IN CAULILOWER","HAND HOING IN  WEED CONTROL IN CAULILOWER","DELHI","New Delhi","","2014-08-03 09:30:58.000"
"","HORTICULTURE","Fruits","Citrus","	Plant Protection	","BORON DEFICENCY IN CITRUS","SPRAY-BOREX POWDER 2  GRAM PER LIT WATER","DELHI","New Delhi","","2014-08-03 12:21:45.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TELL ME CONTROL YELLOW LEAVES COLOUR IN ONION.","SPRAY ZINC SULPHATE 5GM+BHUJA CHUNA 2.50GM PER LITTER WATER.","DELHI","New Delhi","DELHI","2014-08-03 14:19:46.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME CONTROL YELLOW LEAVES COLOUR IN DHAN CROP.","SPRAY ZINC SULPHATE 5GM+BHUJA CHUNA 2.50GM PER LITTER WATER.","DELHI","New Delhi","DELHI","2014-08-03 15:26:58.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","TELL ME CONTROL WEEDS IN PADDY","USES= BISPAIREBEK 0.02 TO 0.03 KG/HECATER IN PADDY","DELHI","New Delhi","DELHI","2014-08-03 15:37:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","TELL ME DOSE OF WEEDICIDE IN RICE","200-300 GM/600 L. WATER/HA","DELHI","New Delhi","DELHI","2014-08-03 16:29:13.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL REGULAR NEXT FIVE DAYS.","DELHI","New Delhi","","2014-08-03 16:37:15.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL MAY BE OCCUR REGULAR NEXT FIVE DAYS.","DELHI","New Delhi","","2014-08-03 17:16:15.000"
"JAYAD","HORTICULTURE","Fruits","Acid Lime","Floriculture","TELL ME CONTROL FLOWER DROPING IN LEMON PLANT.","SPRAY PLANOFIX 1ML PER 4 LITTER WATER.","DELHI","New Delhi","","2014-08-03 17:23:54.000"
"","HORTICULTURE","Vegetables","Radish","","INSECT PROBLEM IN RADISH","SPRAY ACEPHATE 2 GM/L WATER","DELHI","New Delhi","","2014-08-03 19:28:37.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER OF FARIDABAD","CLOUDY WEATHER RAINFALLMAY BE POSSIBLE","DELHI","New Delhi","DELHI","2014-08-03 19:40:20.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","TELL ME CONTROL STEM BORER IN GINGER.","USE CARTAF HYDROCHLORIDE 20 KG PER HA FOR CONTROL OF SHOOT BORER","DELHI","New Delhi","","2014-08-03 20:43:03.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL MAY BE OCCUR REGULAR NEXT THREE DAYS.","DELHI","New Delhi","","2014-08-03 21:03:01.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF DELHI","RAIN MAY BE POSIBLE NEXT FIVE DAYS IN DELHI NC","DELHI","New Delhi","DELHI","2014-08-04 07:04:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME FERTILIZER IN PADDY CROP","FERTILIZERS IN RICE= UREA= 200 KG, DAP= 100 KG, MOP= 65 KG, ZINC SULPHATE= 25 KG PER HA","DELHI","New Delhi","DELHI","2014-08-04 09:19:23.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAIN POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","DELHI","New Delhi","","2014-08-04 10:10:40.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME WEED CONTROL IN PADDY","HAND HOING IN WEED CONTROL IN PADDY","DELHI","New Delhi","DELHI","2014-08-04 11:01:31.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAIN POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","DELHI","New Delhi","","2014-08-04 11:55:30.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","TELL ME SOLAR PLANT SUBCIDY IN RAJASTHAN","SOLAR PLANT SUBCIDY IN RAJASTHAN CONTACT OF AGRICULTURE DPT.. IN LADNU NAGAUR","DELHI","New Delhi","DELHI","2014-08-04 12:32:20.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME CONTROL BLACK ROOT IN COTTON CROP.","USE-BAVISTIN 200GM PER BIGHA WITH IRRIGATION.","DELHI","New Delhi","","2014-08-04 13:18:38.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME KHERA DISEASE  CONTROL IN PADDY","SPRAY OF ZINK SALFET 5 GRAM +UREA 10 GRAM PER LITER WATER","DELHI","New Delhi","","2014-08-04 13:37:37.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME CONTROL LEAF ROLLER IN DHAN CROP.","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","DELHI","New Delhi","","2014-08-04 14:14:01.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Credit","I WANT TO LOAN ON DAIRY.","CONTECT IN NEAREST BANK.","DELHI","New Delhi","","2014-08-04 14:28:23.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL MAY BE REGULAR NEXT FIVE DAYS.","DELHI","New Delhi","DELHI","2014-08-04 15:03:45.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Bio-Pesticides and Bio-Fertilizers","tell me control pest in sugarcane","spray= cloropyriphos 20% ec 2.5 ml/liter water in sugarcane","DELHI","New Delhi","","2014-08-04 15:53:28.000"
"JAYAD","ANIMAL HUSBANDRY","Avian","Flying Duck","Disease Management","TELL ME POULTRY RELATED KNOWLEDGE.","CONTECT FOR -0581-2301261","DELHI","New Delhi","","2014-08-04 15:56:13.000"
"JAYAD","AGRICULTURE","Oilseeds","Rocket salad (taramira)","Cultural Practices","TELL ME TARAMIRA SOWING TIME.","15 SITAMBER TO 15 OCTOBER.","DELHI","New Delhi","","2014-08-04 16:34:59.000"
"JAYAD","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Cultural Practices","TELL ME WEEDICIDE  USE IN STANDING MOONG CROP.","NO USE WEEDICIDE IN STANDING CROP.","DELHI","New Delhi","","2014-08-04 17:17:49.000"
"JAYAD","HORTICULTURE","Vegetables","Radish","Agriculture Mechanization","TELL ME VARITIES OF RADISH","VARITIES OF RADISH PUSA CHETAKI,PUSA DESHI","DELHI","New Delhi","","2014-08-04 17:36:15.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Cultural Practices","TELL ME CONTROL FLOWER DROPING IN CHILLI.","SPRAY PLANOFIX 1ML PER 4 LITTER WATER.","DELHI","New Delhi","","2014-08-04 18:49:33.000"
"","","","","","","","DELHI","New Delhi","","2014-08-04 18:59:13.000"
"JAYAD","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME CONTROL BLACK ROOT IN GUAR CROP.","USE-BAVISTIN 200GM PER BIGHA WITH IRRIGATION.","DELHI","New Delhi","","2014-08-04 19:09:09.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","tell me control yellow leaves colour in dhan crop.","spray ferrus sulphate 5gm per litter water.","DELHI","New Delhi","DELHI","2014-08-05 06:53:51.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME CONTROL BLACK SPOT ON DHAN CROP.","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","DELHI","New Delhi","DELHI","2014-08-05 08:36:30.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Seeds","TELL ME BAJRA SEED RATE.","BAJRA SEED RATE 5KG PER HECTARE.","DELHI","New Delhi","DELHI","2014-08-05 09:28:29.000"
"JAYAD","AGRICULTURE","Others","Others","Credit","I WANT TO MAKE KISHAN CREDIT CARD.","CONTECT IN NEAREST BANK.","DELHI","New Delhi","","2014-08-05 09:50:15.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME CONTROL BLACK ROOT IN DHAN CROP.","USE-BAVISTIN 200GM PER BIGHA WITH IRRIGATION.","DELHI","New Delhi","","2014-08-05 10:07:23.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","TELL ME PUSA ATIC CONTECT NUMBER.","CONTECT FOR 011-25841670,","DELHI","New Delhi","","2014-08-05 11:02:45.000"
"JAYAD","HORTICULTURE","Fruits","Guava","	Plant Protection	","TELL ME CONTROL FRUIT FLY IN GUAVA PLANT.","SPRAY OF IMMECTIN BENZOATE 1 GM PER 3 LITER WATER","DELHI","New Delhi","","2014-08-05 11:41:36.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME CONTROL YELLOW LEAVES COLOUR IN DHAN CROP.","SPRAY ZINC SULPHATE 5GM+BHUJA CHUNA 2.50GM PER LITTER WATER.","DELHI","New Delhi","","2014-08-05 12:06:54.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","TELL ME PUSA ATIC CONTECT NUMBER.","CONTECT FOR 011-25841670","DELHI","New Delhi","","2014-08-05 12:23:28.000"
"","","","","","","","DELHI","New Delhi","DELHI","2014-08-05 12:41:48.000"
"JAYAD","AGRICULTURE","Others","Others","Credit","I WANT TO MAKE KISHAN CREDIT CARD.","CONTECT IN NEAREST BANK.","DELHI","New Delhi","","2014-08-05 14:04:56.000"
