"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME  WEED CONTROL IN PADDY CROP","SPRAY OF BISPYRIBACK IN 1 ML/ LT. WATER  WEED CONTROL IN PADDY CROP","DELHI","North","","2014-08-01 15:20:35.000"
"JAYAD","HORTICULTURE","Fruits","Guava","	Plant Protection	","TELL ME FRUIT BORER IN GUAVA","SPRAY OF CARBERYL 50% EC 4 GM PER LITER WATER","DELHI","North","DELHI","2014-08-01 16:37:45.000"
"JAYAD","HORTICULTURE","Vegetables","Radish","Fertilizer Use and Availability","I WANT SPRAY MICRONUTRIENT ON RADISH CROP.","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 GM PER LITER WATER","DELHI","North","","2014-08-01 17:54:49.000"
"JAYAD","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","TELL ME WEATHER REPORT IN MY DISTRIC","POSSIBALITY OF RAIN MAY BE NEXT 3-4 DAYS IN YOUR DISTRIC","DELHI","North","","2014-08-02 13:50:36.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","TELL ME GROWTH AFFECTED OF PADDY","TIMELY MANURE FERTILIZER AND IRRIGATION IN PADDY","DELHI","North","","2014-08-02 18:13:00.000"
"JAYAD","HORTICULTURE","Medicinal and Aromatic Plants","Safed Musli","Seeds and Planting Material","TELL ME SAFED MUSLI OR HARBEL PLANTATION TIME","SAFED MUSLI OR HARBEL PLANTATION TIME  LAST MAY - JUNE- JULY MONTH","DELHI","North","","2014-08-03 09:59:13.000"
"JAYAD","AGRICULTURE","Others","Others","Soil Testing","I WANT TO SOIL TEST.","SOIL TEST IN NEAREST SOIL TESTING LAB.","DELHI","North","","2014-08-03 21:08:57.000"
"JAYAD","HORTICULTURE","Fruits","Guava","	Plant Protection	","TELL ME CONTROL BLACK ROOT IN GUAVA PLANT.","USE-BAVISTIN 10GM PER PLANT WITH IRRIGATION.","DELHI","North","DELHI","2014-08-04 12:35:41.000"
"JAYAD","AGRICULTURE","Others","Others","Soil Testing","TELL ME SOIL TEST IN SAMPLE","DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL","DELHI","North","","2014-08-04 13:10:54.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","TELL ME GOVT. SCHEME IN UP STATE","SAME  NUMBER DIAL UP SIM AFTER  GOVT. SCHEME IN UP STATE","DELHI","North","","2014-08-04 13:26:25.000"
"JAYAD","HORTICULTURE","Vegetables","Radish","	Plant Protection	","TELL ME CONTROL SUKING PEST IN RADISH.","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER","DELHI","North","","2014-08-04 14:45:51.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","TELL ME CONTROL WEEDS IN PADDY","USES= BISPAIREBEK 0.02 TO 0.030 KG/HECATER IN PADDY","DELHI","North","","2014-08-04 17:39:59.000"
"","","","","","","","DELHI","North","","2014-08-05 14:12:51.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME BAKANI CONTROL IN PADDY","DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION","DELHI","North","DELHI","2014-08-06 06:31:37.000"
"JAYAD","AGRICULTURE","Others","Others","Cultural Practices","TELL ME BIO GES PLANT IN CONTACT","CONTACT FOR NEAR DRDA OFFICE BIO GES PLANT IN CONTACT","DELHI","North","","2014-08-06 07:40:57.000"
"","","","","","","","DELHI","North","","2014-08-06 10:19:34.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","tell me control termite in plant","uses= cloropyriphos 20% ec 10-15 ml/plant","DELHI","North","DELHI","2014-08-06 11:25:22.000"
"","AGRICULTURE","Others","Others","Training and Exposure Visits","PLZ TELL ME CONTECT NUMBER OF DELHI","???? ?????? ?? ?????? ??.= 011-25841670 ???","DELHI","North","","2014-08-07 07:33:55.000"
"JAYAD","HORTICULTURE","Fruits","Bail","	Plant Protection	","TELL ME CONTROL BLACK SPOT ON BAIL PLANT.","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","DELHI","North","DELHI","2014-08-07 14:35:17.000"
"JAYAD","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","TELL ME CONTROL TERMITE IN PLANT","USES= CLOROPYRIPHOS 20% EC 10 ML/PLANT","DELHI","North","DELHI","2014-08-07 16:02:38.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT","NEXT 5 DAY LOW RAINFALL","DELHI","North","DELHI","2014-08-07 17:21:19.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","TELL ME CONTROL BLIGHT IN PADDY","SPRAY= COPPEROXICLORIDE 3 GRAM/LITER WATER  + STREPTOCYCLINE 1 GRAM/10 LITER WATER IN PADDY","DELHI","North","DELHI","2014-08-07 18:48:46.000"
"","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","APHIDS IN CONTROL IN CHILLI","?????? ?? ??? ???? ??? ?? ????? ??  ???????  ?? |","DELHI","North","","2014-08-08 13:22:59.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME TERMITE CONTROL IN PADDY","USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION","DELHI","North","","2014-08-08 13:59:57.000"
"JAYAD","HORTICULTURE","Flowers","Rose","Agriculture Mechanization","TELL ME GROWTH AFFECTED OF FLOWERS","USES= MICRONUTRIENTS 30-40 GRAM/PLANT IN FLOWERS","DELHI","North","DELHI","2014-08-08 15:38:18.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME CONTROL SUKING PEST COTTON CROP.","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","DELHI","North","","2014-08-08 16:21:28.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","tell me about weather info","LIGHT RAIN MAY BE NEXT 3-4 DAYS","DELHI","North","","2014-08-09 09:47:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME BAKANI CONTROL IN PADDY","DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION","DELHI","North","","2014-08-09 12:53:51.000"
"","AGRICULTURE","Others","Others","Weather","weather report of delhi","RAIN MAYBE POSIBLE NEXT THREE DAYS IN DELHI NCR","DELHI","North","DELHI","2014-08-10 07:11:08.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","TELL ME TERMITE CONTROL IN PADDY","USE CHLOROPYRIPHOS 20% EC 4 LITER PER HAC. WITH IRRIGATION","DELHI","North","","2014-08-10 13:47:08.000"
"","HORTICULTURE","Vegetables","Capsicum","	Plant Protection	","ROOT ROT IN CHILLI","USE HEXACONAZOLE 5% EC 1 LITER PER HA WITH IRRIGATION","DELHI","North","","2014-08-10 17:20:03.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","tell me weather rainfall in merath up","next 2 days continue rainfall in merath up","DELHI","North","DELHI","2014-08-10 18:16:45.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","TELL ME CONTROL FUNGAS IN PADDY","USES= KARBENDIZAM  1 KG/HECATER IN PADDY","DELHI","North","","2014-08-11 15:04:59.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME HARVESTING TIME OF PUSA-1509","115 DAY HARVESTING TIME OF DHAN CROP PUSA-1509","DELHI","North","DELHI","2014-08-19 17:23:35.837"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME HARVESTING TIME OF PUSA-1509","115 DAY HARVESTING TIME OF DHAN CROP PUSA-1509","DELHI","North","DELHI","2014-08-19 17:26:58.033"
"KHARIF","AGRICULTURE","Oilseeds","Indian rapeseed and mustard (yellow sarson)","Seeds","TELL ME VARITIES OF MUSTARD AND PUSA ATIC CONTACT NO","VARITIES OF MUSTARD PUSA AGRANI,PUSA BOLD,BIO 902 PUSA ATIC NO 011-25841670,25841039","DELHI","North","DELHI","2014-08-19 19:25:18.440"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TEMITES CONTROL IN DHAN","USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION","DELHI","North","DELHI","2014-08-20 08:46:57.330"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","PLZ TELL ME VARIETY OF CABBAGE","VARIETY OF CAULIFLOWER= PUSA SNOWBALL K-1, PUSA SNOWBALL KT-25","DELHI","North","DELHI","2014-08-20 09:03:15.767"
"KHARIF","HORTICULTURE","Plantation Crops","Babool","Seeds and Planting Material","TELL ME  CONTACT NUMBER IN PUSA","CONTACT NUMBER IN PUSA ATIC - 011 25841670","DELHI","North","DELHI","2014-08-20 12:32:28.670"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME RED LEAF IN DHAN CROP","SPRAY OF UREA PHOSPHATE 17:44 GRADE 10 GM PER LITER WATER","DELHI","North","DELHI","2014-08-20 14:49:56.490"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME CONT. OF FUNGUS IN DHAN CROP","SPRAY OF CARBANDAZIM 2KG PER HACTER","DELHI","North","DELHI","2014-08-20 15:09:02.330"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","SOWING TIME OF NEEM PLANT","JUNE-JULY SOWING TIME OF NEEM PLANT","DELHI","North","DELHI","2014-08-20 17:33:15.130"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME HIGH PRODUCTION DHAN CROP","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER","DELHI","North","DELHI","2014-08-20 18:28:00.920"
"KHARIF","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","TELL ME SOWING TIME  ONION SEED","SOWING TIME OF ONION  = SEPTEMBER-OCTOBER MONTH","DELHI","North","DELHI","2014-08-21 08:52:47.633"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","TELL ME CONTROL SUKING PEST IN BITTER GOURD","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","DELHI","North","DELHI","2014-08-21 21:19:00.240"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME TERMITE CONTROL IN PADDY","USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION","DELHI","North","DELHI","2014-08-23 06:46:59.403"
