"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","tell me weather report","next 5 day rainfall","DELHI","North West","DELHI","2014-08-01 08:06:56.000"
"","AGRICULTURE","Others","Others","Cultural Practices","TELL ME CONTECT NUMBER OF KVK","YOU SHOULD BE CONTECT 9818087979 KVK UJJWA","DELHI","North West","","2014-08-01 09:57:57.000"
"","HORTICULTURE","Fruits","Guava","	Plant Protection	","fruit borer in guava","SPRAY OF IMMECTIN BENZOATE 1 GM PER 3 LITER WATER","DELHI","North West","DELHI","2014-08-01 13:49:41.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","RAIN FALL MAY BE OCCURS 2,4,5 AUGUST.","DELHI","North West","DELHI","2014-08-01 20:02:10.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME WEED CONTROL  IN PADDY","SPRAY OF BISPYRIBACK 1 ML / LT. WATER  WEED CONTROL  IN PADDY","DELHI","North West","","2014-08-02 08:11:38.000"
"JAYAD","HORTICULTURE","Plantation Crops","Eculeptous","Seeds and Planting Material","TELL ME ECULEPTOUS PLANTING TIME","ECULEPTOUS PLANTING TIME  OF FEB. MARCH OR JUNE- JULY MONTH","DELHI","North West","","2014-08-02 10:09:03.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME CONTROL YELLOW LEAVES COLOUR IN DHAN CROP.","SPRAY ZINC SULPHATE 5GM+BHUJA CHUNA 2.50GM PER LITTER WATER,","DELHI","North West","","2014-08-02 15:50:25.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Cultural Practices","TELL ME FLOWER DROPING IN CHILLI","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","DELHI","North West","","2014-08-03 10:19:37.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Ginger","Cultural Practices","TELL ME GINGER SOWING TIME.","GINGER SOWING JUNE MONTH.","DELHI","North West","DELHI","2014-08-03 15:35:18.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER RAINFALL IN DELHI","NEXT 5 DAYS CONTINUE RAINFALL IN DELHI","DELHI","North West","DELHI","2014-08-03 21:05:40.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME WILT CONTROL IN COTTON","DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION","DELHI","North West","","2014-08-04 07:03:00.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME FERTILIZER IN PADDY CROP","FERTILIZERS IN RICE= UREA= 200 KG, DAP= 100 KG, MOP= 65 KG, ZINC SULPHATE= 25 KG PER HA","DELHI","North West","","2014-08-04 09:04:50.000"
"","","","","","","","DELHI","North West","","2014-08-04 09:50:10.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAIN POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","DELHI","North West","DELHI","2014-08-04 10:26:35.000"
