"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME FERTILIZER IN PADDY","SPRAY OF ZINK SALFET 4 GRAM +UREA 10 GRAM PER LITER WATER","DELHI","North West","DELHI","2014-09-02 09:13:28.637"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","TELL ME DAMPING OFF CONTROL IN TOMATO","DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION","DELHI","North West","DELHI","2014-09-05 07:30:04.707"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","TELL ME STEM BORER IN BRINJAL","SPRAY OF IMMECTIN BENZOATE 1 GM PER 3 LITER WATER","DELHI","North West","DELHI","2014-09-05 08:23:54.877"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","NO RAIN FALL NEXT FIVE DAYS.","DELHI","North West","DELHI","2014-09-06 16:55:25.107"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","TELL ME CONTROL FUNGAS IN PADDY","USES= KARBENDIZAM 1 KG/HECATER IN PADDY","DELHI","North West","DELHI","2014-09-06 17:08:36.043"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","TELL ME CONTROL GUNDHI BUG IN PADDY","SPRAY= QYUNALPHOS 25% EC 2.5 ML/LITER WATER IN PADDY","DELHI","North West","DELHI","2014-09-06 17:16:40.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER RAINFALL IN DELHI","NO RAINFALL NEXT 5 DAYS IN DELHI","DELHI","North West","DELHI","2014-09-07 13:33:35.117"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME BACTRIYA BLIGHT IN DHAN CROP","SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER 
& STREPTOCYCALIN 2GM PER 10LITER WATER","DELHI","North West","DELHI","2014-09-08 15:45:02.070"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","TELL ME I WANT SOIL TEST IN SAMPLE","CONTACT OF AGRICULTURE  DPT.  OR KVK UJWA","DELHI","North West","DELHI","2014-09-08 18:08:01.367"
"KHARIF","HORTICULTURE","Flowers","Gerbera","Cultural Practices","SPACING OF GERBERA","30 *30 CM SPACING OF GERBERA RAW * PLANT","DELHI","North West","DELHI","2014-09-08 18:13:18.147"
