"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ask about ver in castor","suggested gch7","GUJARAT","AHMADABAD","AHMADABAD CITY                                    ","2014-09-01 20:27:50.783"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ask for paddy fertilizer","apply ammonium slphat 15kg","GUJARAT","AHMADABAD","DHOLKA                                            ","2014-09-02 16:40:32.903"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton aphid information","sugegst: spray tryjophose 20ml/pump","GUJARAT","AHMADABAD","BARVALA                                           ","2014-09-03 07:34:02.750"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Cultural Practices","ask for g'nut interweeding information","i suggested at 45 days","GUJARAT","AHMADABAD","DETROJ RAMPURA                                    ","2014-09-03 09:46:55.963"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","ask about soil testing lab","i suggested contact state soil testing lab at gandhinagar","GUJARAT","AHMADABAD","SANAND                                            ","2014-09-03 11:25:03.780"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Varieties","ask about castor variety","i suggest GCH 2, 4, 6, 7","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-09-03 12:56:09.397"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","Agriculture Mechanization","ask for bottle gourd heliothis information","suggest: spray quinalphose 25ml/pump","GUJARAT","AHMADABAD","DASKROI                                           ","2014-09-04 10:03:01.247"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask control of sucking pest","I suggested spray to phosphamidon 15  mili /pump","GUJARAT","AHMADABAD","AHMADABAD CITY                                    ","2014-09-04 10:10:41.860"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask control of sucking pest","I suggested spray to phosphamidon 15  mili /pump","GUJARAT","AHMADABAD","AHMADABAD CITY                                    ","2014-09-04 10:10:41.860"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask information about  green house","i suggest to contact horticulture officer of your district.number :","GUJARAT","AHMADABAD","AHMADABAD CITY                                    ","2014-09-04 10:37:08.940"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask information about  green house","i suggest to contact horticulture officer of your district.number :","GUJARAT","AHMADABAD","AHMADABAD CITY                                    ","2014-09-04 10:37:08.940"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask abt ikisan portal ?","suggested e-gram and e-dhara contact.","GUJARAT","AHMADABAD","BAVLA                                             ","2014-09-04 11:14:55.170"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","ask for cotton fertilizer dose information","suggest: apply urea with irrigation","GUJARAT","AHMADABAD","BAVLA                                             ","2014-09-04 12:11:07.003"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASK ABOUT WEATHER INFORMATION","I SUGGESTED LIGHT RAINFALL","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-09-04 15:18:11.120"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Fertilizer Use and Availability","ask about castor frti. dose","i suggest n-p-k 40-40-00 kg / ha","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-09-04 16:18:34.947"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","AHMADABAD","AHMADABAD CITY                                    ","2014-09-04 18:53:17.620"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","AHMADABAD","AHMADABAD CITY                                    ","2014-09-04 19:25:23.237"
