"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about larva in cotton","I suggested to spray quinalphos 20 ml/10 lit water for control larva in cotton","GUJARAT","BHARUCH","JAMBUSAR                                          ","2014-09-02 12:44:31.077"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask for rainfall information","sugg to rainfall","GUJARAT","BHARUCH","HANSOT                                            ","2014-09-03 09:09:15.740"
"KHARIF","HORTICULTURE","Flowers","China Astor","Beekeeping","Test query","test","GUJARAT","BHARUCH","BHARUCH                                           ","2014-09-04 21:11:29.040"
"KHARIF","HORTICULTURE","Flowers","China Astor","Beekeeping","Test query","test","GUJARAT","BHARUCH","BHARUCH                                           ","2014-09-04 21:11:29.040"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Registration in kisan call center","Registration in kisan call center","GUJARAT","BHARUCH","VALIA                                             ","2014-09-05 13:46:29.097"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for sucking pest informatio","suggest: fiprinil 25 mili/pamp sprey","GUJARAT","BHARUCH","VALIA                                             ","2014-09-05 13:49:13.980"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest in coton","Traizophos 20 ml / 10 lit water","GUJARAT","BHARUCH","BHARUCH                                           ","2014-09-05 19:09:24.627"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about subcidy","i suggested contact  gram sevak","GUJARAT","BHARUCH","BHARUCH                                           ","2014-09-06 09:42:55.417"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about weather information","i suggested light rainfall","GUJARAT","BHARUCH","BHARUCH                                           ","2014-09-06 09:45:27.257"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest","i suggested dimethoet 20 ml/pump","GUJARAT","BHARUCH","AMOD                                              ","2014-09-06 10:16:06.040"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest","i suggested dimethoet 20 ml/pump","GUJARAT","BHARUCH","ANKLESVAR                                         ","2014-09-06 10:20:20.350"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weed Management","ask about weed in cotton","I suggested to hand weeding for control weed in cotton after germination","GUJARAT","BHARUCH","AMOD                                              ","2014-09-06 10:23:05.940"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASK ABT CHILLI WHITE FLY?","Traizophos 10 ml / 10 lit water","GUJARAT","BHARUCH","JHAGADIA                                          ","2014-09-06 10:41:34.377"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ask abt fertilizer ?","suggested apply urea 15 kg/vigha.","GUJARAT","BHARUCH","HANSOT                                            ","2014-09-06 11:01:00.743"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask abt subsidy in chikanfarm","meet to animal officer in district","GUJARAT","BHARUCH","AMOD                                              ","2014-09-06 15:27:15.467"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about government schemes","I suggested to contact district agriculture officer","GUJARAT","BHARUCH","JHAGADIA                                          ","2014-09-06 15:33:42.530"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for flower drop problem","suggest:boom flower 20 ml/pump sprey for flower drop","GUJARAT","BHARUCH","JHAGADIA                                          ","2014-09-06 18:07:18.383"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask abt tur var.?","suggested bdn-2 and iksl-1.","GUJARAT","BHARUCH","VAGRA                                             ","2014-09-06 18:17:51.773"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","BHARUCH","ANKLESVAR                                         ","2014-09-06 20:16:45.360"
