"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for sucking pest control information","suggest:dia methote 10 ml/ 10 lit. water","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-02 14:43:41.343"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for sucking pest control information","suggest:dia methote 10 ml/ 10 lit. water","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-02 14:43:42.553"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","KACHCHH","RAPAR                                             ","2014-09-03 09:18:16.180"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","KACHCHH","RAPAR                                             ","2014-09-03 11:20:33.373"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","ask for pomegrante wilt","carbendezim 15 gm / 10 lit water","GUJARAT","KACHCHH","NAKHATRANA                                        ","2014-09-03 12:48:37.950"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","KACHCHH","RAPAR                                             ","2014-09-03 13:18:44.750"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask abt weather ?","possibility of rain fall","GUJARAT","KACHCHH","RAPAR                                             ","2014-09-04 08:59:13.333"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested moderate rain","GUJARAT","KACHCHH","RAPAR                                             ","2014-09-04 12:16:01.510"
"KHARIF","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","ASK ABOUT LARVAL PEST","quinalphos 30 ml.per pump and to spray.","GUJARAT","KACHCHH","BHUJ                                              ","2014-09-04 15:15:38.000"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASK FOR RAINfall INFORMATION","suggest:today rainfall information","GUJARAT","KACHCHH","BHACHAU                                           ","2014-09-04 16:31:13.460"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-04 17:02:30.040"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-04 17:49:34.610"
"KHARIF","AGRICULTURE","Others","Others","Weather","Ask for weather condition","call 1800 208 208 2 for weather","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-05 08:56:46.587"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton mite","daycophol 18.5 ec 20 ml/pump spray","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-05 09:07:30.260"
"KHARIF","AGRICULTURE","Oilseeds","Brown Sarson","	Field Preparation	","test","test","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-05 10:07:44.240"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for sucking pest control information","suggest:dia methote 10 ml/ 10 lit. water","GUJARAT","KACHCHH","MANDVI                                            ","2014-09-05 14:07:59.600"
"KHARIF","AGRICULTURE","Others","Others","Weather","Ask about weather","varsad samanya che","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-06 09:02:37.143"
"KHARIF","AGRICULTURE","Others","Others","Market Information","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-06 09:10:53.410"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton thrips","i suggest spray trizophos 15 ml / pump","GUJARAT","KACHCHH","ANJAR                                             ","2014-09-06 09:59:50.813"
