"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about government schemes","I suggested to contact district agriculture officer","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-04 11:06:41.420"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest in cotton","I suggested to spray trizophos 20 to 25 ml/pump for control sucking pest in cotton","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-04 15:19:32.823"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask test","test","GUJARAT","KHEDA","KHEDA                                             ","2014-09-04 17:45:47.827"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Ask for the larva control","quinalphos 30 ml.per pump and to spray.","GUJARAT","KHEDA","THASRA                                            ","2014-09-05 11:34:38.480"
"KHARIF","AGRICULTURE","Others","Others","Weather","Ask about weather","varsad samanya che","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-05 13:55:46.810"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton jasside","spray imidaclopride 5 ml / 10 lit water","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-05 20:32:50.867"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about flowe droping problem","I suggested spray mgso4 and spray boom flower","GUJARAT","KHEDA","THASRA                                            ","2014-09-06 08:37:26.030"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","	Plant Protection	","ask about weedside in sesame","suggested targasupar 30 gram par pamp","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-06 09:17:18.393"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Varieties","ask about sesamum variety","i suggested purva 1 variety","GUJARAT","KHEDA","KATHLAL                                           ","2014-09-06 10:07:18.030"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about fertilizer management in cotton","I suggested spray 19-19-19 and micronutrient","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-06 11:39:34.043"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","	Plant Protection	","ask about weed management in clusterbean","I suggested do not apply weedicide after germination","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-06 12:32:56.410"
"KHARIF","HORTICULTURE","Vegetables","Radish","	Plant Protection	","ask for  larva problem","suggest:quinalphose 30 ml per pump and to sprey","GUJARAT","KHEDA","NADIAD                                            ","2014-09-06 14:05:00.693"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about root wilt","suggetsed mencozeb 35 gm per pump","GUJARAT","KHEDA","THASRA                                            ","2014-09-06 14:31:36.693"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","ask about soil testing","I sugegst4ed to soil testing lab no. ?????-??????","GUJARAT","KHEDA","MEHMEDABAD                                        ","2014-09-06 15:49:25.020"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Weed Management","ask about weed in castor","I suggested to hand weeding for control weed in castor","GUJARAT","KHEDA","MAHUDHA                                           ","2014-09-07 08:15:11.943"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton jasside","spray imidaclopride 5 ml / 10 lit water","GUJARAT","KHEDA","THASRA                                            ","2014-09-07 08:32:38.253"
"KHARIF","HORTICULTURE","Drug and Narcotics","Tobacco","	Plant Protection	","Ask for the wilt control","blue copper 40 gram per pump and to drenching.","GUJARAT","KHEDA","THASRA                                            ","2014-09-07 09:40:09.227"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask about soil testing","contact soil testing laboratory","GUJARAT","KHEDA","MATAR                                             ","2014-09-07 10:20:51.043"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton leaf curl control","I suggested to sprey diemithoat 15 ml/pump","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-07 12:39:01.990"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about government schemes","I suggested to contact district agriculture officer","GUJARAT","KHEDA","MATAR                                             ","2014-09-07 13:04:46.510"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested cloudy sky","GUJARAT","KHEDA","KAPADVANJ                                         ","2014-09-07 13:06:21.480"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ask about paddy development","i sugg humic acid 20ml/pump","GUJARAT","KHEDA","THASRA                                            ","2014-09-07 15:15:53.337"
"KHARIF","AGRICULTURE","Fodder Crops","BAJRA NAPIER HYBRID","Cultural Practices","Ask for fodder crop information.","i suggested to sowing fodder crops in this season.","GUJARAT","KHEDA","MATAR                                             ","2014-09-07 15:31:05.623"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about market bazar","i sugg call 18001028767 for market bazar","GUJARAT","KHEDA","VIRPUR                                            ","2014-09-07 15:35:39.250"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Ask for the larva control","cypermethrin 10 ml. per pump and to spray.","GUJARAT","KHEDA","KHEDA                                             ","2014-09-07 16:09:28.647"
