"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-02 12:37:26.583"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-02 12:37:26.583"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-02 12:37:26.583"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton ball rot","I suggest spray urea 100 gm / pump","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-02 14:48:29.560"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton ball rot","I suggest spray urea 100 gm / pump","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-02 14:48:29.560"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton ball rot","I suggest spray urea 100 gm / pump","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-02 14:48:29.560"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ask about chilli virus","I suggest spray trizophos 20 ml / vigha & immidachloprid 5 ml / pump","GUJARAT","MAHESANA","UNJHA                                             ","2014-09-02 15:40:24.640"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about government schemes","I suggested to contact district agriculture officer","GUJARAT","MAHESANA","KADI                                              ","2014-09-03 11:26:19.630"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASK ABT SUCKING PEST PROBLEM?","SUGGGESTED MONOCROTOPHOS 15 ML/PUMP.","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-09-04 08:13:26.703"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for flower drop problem","suggest:boom flower 20 ml/pump sprey for flower drop","GUJARAT","MAHESANA","BECHRAJI                                          ","2014-09-04 09:59:33.670"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask information about control of cotton wilt","i syggested 40 gram blue copper 20 mili humic acid /pump","GUJARAT","MAHESANA","SATLASNA                                          ","2014-09-04 10:06:31.200"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ASK ABOUT WHITEFLY CONTROL","I SUGGESTED DIMETHOET 20 ML/PUMP","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-09-04 10:25:06.407"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ask about chilli virus","i suggest spray trizophos 15 ml / pump & immidachloprid 5 ml / pump","GUJARAT","MAHESANA","UNJHA                                             ","2014-09-04 17:01:53.743"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ask control of sucking pest","I suggested spray to phosphamidon 15  mili /pump","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:29:59.540"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ask control of sucking pest","I suggested spray to phosphamidon 15  mili /pump","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:29:59.540"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ask control of sucking pest","I suggested spray to phosphamidon 15  mili /pump","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:29:59.540"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Field Preparation	","ask abt castor fertilizer ?","suggested apply ammonium sulphate 15kg/vigha.","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:32:21.693"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Field Preparation	","ask abt castor fertilizer ?","suggested apply ammonium sulphate 15kg/vigha.","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:32:21.693"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Field Preparation	","ask abt castor fertilizer ?","suggested apply ammonium sulphate 15kg/vigha.","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:32:21.693"
"KHARIF","AGRICULTURE","Others","Others","Market Information","ask for inoformation about market price","market price contact :  1800 102 8767","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:55:21.237"
"KHARIF","AGRICULTURE","Others","Others","Market Information","ask for inoformation about market price","market price contact :  1800 102 8767","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:55:21.237"
"KHARIF","AGRICULTURE","Others","Others","Market Information","ask for inoformation about market price","market price contact :  1800 102 8767","GUJARAT","MAHESANA","KHERALU                                           ","2014-09-04 18:55:21.237"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","ask abt bitter gourd in powdery mildew","hexaconazol 15ml/pup to apply","GUJARAT","MAHESANA","KADI                                              ","2014-09-05 10:23:08.460"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask abt falldown in flower","boron 25gm/pump to apply","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-09-05 10:47:11.410"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ask about sucking pest","Traizophos 20 ml / 10 lit water","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-09-05 10:48:20.777"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Ask for the larva control","cypermethrin 10 ml. per pump and to spray.","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-09-05 11:11:06.013"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","ask for maheshana farmer training system information","suggest: contact with ikisan portal","GUJARAT","MAHESANA","MAHESANA                                          ","2014-09-05 11:16:53.870"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Varieties","ask about sesamum variety","I suggested purva 1 variety","GUJARAT","MAHESANA","MAHESANA                                          ","2014-09-05 11:26:53.470"
"KHARIF","AGRICULTURE","Others","Others","Market Information","ask about market information","information provided","GUJARAT","MAHESANA","UNJHA                                             ","2014-09-05 11:29:57.300"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about subcidy","i siuggestd contact gram sevak","GUJARAT","MAHESANA","UNJHA                                             ","2014-09-05 12:45:18.810"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Fertilizer Use and Availability","ask for fertilizer in g.nut","no suggest information in time","GUJARAT","MAHESANA","SATLASNA                                          ","2014-09-05 16:54:31.400"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotto information","suggest:remove of water in field","GUJARAT","MAHESANA","BECHRAJI                                          ","2014-09-05 17:11:36.790"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASK FOR REGISTRATION","Registration successfully done.","GUJARAT","MAHESANA","KADI                                              ","2014-09-05 19:11:41.570"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask abt termite problem?","suggested chlorpyriphos 30 ml/pump.","GUJARAT","MAHESANA","KADI                                              ","2014-09-05 19:35:42.130"
"KHARIF","AGRICULTURE","Cereals","Oats ","	Plant Protection	","ask for rain fall information","suggest: : today no rain fall data","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-09-05 20:28:39.310"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest in coton","monocrotophos 10 ml / 10 lit water","GUJARAT","MAHESANA","VISNAGAR                                          ","2014-09-05 20:39:36.910"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ask about whitefly conterol","i suggested dimethoet 20 ml/pump","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-09-06 09:20:49.090"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton flower dropping","i sugg boom flower 25ml/pump","GUJARAT","MAHESANA","VISNAGAR                                          ","2014-09-06 09:32:33.253"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASK ABOUT SUCKING PEST","Traizophos 30 ml / 10 lit water","GUJARAT","MAHESANA","KADI                                              ","2014-09-06 09:47:30.643"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about fall downt cotton fruit","SUGGESTED BORON 20 GRAM PER PUMP","GUJARAT","MAHESANA","VADNAGAR                                          ","2014-09-06 10:06:14.510"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask abt wilt problem ?","suggetsed mencozeb 35 gm per pump","GUJARAT","MAHESANA","MAHESANA                                          ","2014-09-06 10:09:01.493"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask abt gram sevak problem?","suggested contact agri.officer.","GUJARAT","MAHESANA","KADI                                              ","2014-09-06 10:15:11.513"
"KHARIF","AGRICULTURE","Fiber Crops","Jute","	Plant Protection	","ASK ABOUT FLOWERING","SUGGESTED BOOM FLOWER 30 ML PER PUMP","GUJARAT","MAHESANA","SATLASNA                                          ","2014-09-06 10:43:31.277"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","ask for fertilizer information","suggest: give urea fertilizer","GUJARAT","MAHESANA","MAHESANA                                          ","2014-09-06 11:00:08.450"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","	Plant Protection	","ask about cluster bean sucking pest","i suggest spray trizophos 15 ml / pump","GUJARAT","MAHESANA","VISNAGAR                                          ","2014-09-06 11:10:45.173"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to cloudy sky","GUJARAT","MAHESANA","VADNAGAR                                          ","2014-09-06 11:13:33.377"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about root wilt","suggetsed mencozeb 35 gm per pump","GUJARAT","MAHESANA","KADI                                              ","2014-09-06 13:39:49.687"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for fungus problem","suggest:blue copper 40 gm per pamp and dranching","GUJARAT","MAHESANA","VADNAGAR                                          ","2014-09-06 14:09:25.970"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about flower dropping in coton","I suggested to spray bum flower 30 ml/pump for control flower dropping in coton","GUJARAT","MAHESANA","BECHRAJI                                          ","2014-09-06 15:13:41.723"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","ask for  wilt","mancozeb 35 gram per pump and to spray.","GUJARAT","MAHESANA","KADI                                              ","2014-09-06 16:56:55.793"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","ask abt leaf spots in guvar","mancozeb 40 gram per pump and to spray.","GUJARAT","MAHESANA","VISNAGAR                                          ","2014-09-06 17:25:11.480"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton flower drop information","suggest: sprey nepthelik aesitic acid 10 ml/pump","GUJARAT","MAHESANA","MAHESANA                                          ","2014-09-06 18:29:03.557"
