"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for white fly control information","suggest:thayomithoczem 5 ml/pump sprey","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-01 16:23:09.097"
"KHARIF","AGRICULTURE","Others","Others","Weather","Ask about rainfall information","sugg to varsad  che","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-01 17:14:36.170"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Ask for cotton fertilizer information.","i suggested to apply urea fertilizer.","GUJARAT","PORBANDAR","RANAVAV                                           ","2014-10-01 21:20:22.703"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ASK for weather","call 1800 180 1717 for weather","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-02 09:36:58.173"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest in coton","Traizophos 20 ml / 10 lit water","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-02 09:54:44.400"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about mixing of insecticide and fungicide","I suggested do not mix","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-02 09:56:58.147"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Cultural Practices","Ask about general information & ID number","ID number has been provided","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-02 10:25:20.523"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","ask for cotton fungiside information","suggest: spray mancozeb 35gm/pump","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-02 17:15:24.113"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Varieties","Ask for maize varieties information.","i suggest to visit Gujarat State Seed Nigam limited.","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-03 09:42:41.590"
"KHARIF","HORTICULTURE","Plantation Crops","Sandal Wood","Agriculture Mechanization","ask for sandal wood information","suggest: sowing time is june-july","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-03 12:18:13.460"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton larva","quinalphos 30 ml.per pump and to spray.","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-03 16:01:53.260"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton angular disease control","suggest:streptocyclin 1 gm+blue coper 40 gm/15 lit water","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-04 10:40:49.807"
"KHARIF","HORTICULTURE","Fruits","Custard Apple","	Plant Protection	","ask for cotton custurd apple","sugg to prophenophosh 30 ml/pump spray","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-10-05 08:26:55.153"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:48:00.330"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:48:14.110"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:48:27.207"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:48:40.383"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:48:53.650"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:49:07.113"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:49:20.220"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:49:33.350"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:49:46.450"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:49:59.827"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:50:13.050"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:50:26.257"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:50:39.407"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:50:56.517"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:51:09.780"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:51:22.960"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:51:36.270"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:51:50.277"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:52:03.460"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:52:16.593"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:52:29.857"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:52:44.207"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:53:01.203"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:53:15.567"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:53:28.563"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:53:42.700"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:53:56.807"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:54:09.907"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:54:25.530"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:54:40.640"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:54:54.860"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:55:08.173"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:55:21.890"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","ask for sowing time information","suggest:june- july for it","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 08:55:35.170"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for white fly control information","suggest:phosphamidon 15 ml/pump sprey","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-10-05 09:59:25.877"
