"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","ask for fertilizer information","suggest: give urea fertilizer","GUJARAT","SABARKANTHA","BHILODA                                           ","2014-09-02 15:07:08.967"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Agriculture Mechanization","ask for semi rabi sesamum sowing time information","sugegst: sowing time is sep-oct","GUJARAT","SABARKANTHA","BHILODA                                           ","2014-09-02 18:01:16.310"
"KHARIF","AGRICULTURE","Others","Others","Weather","Registration in kisan call center","Registration in kisan call center","GUJARAT","SABARKANTHA","BAYAD                                             ","2014-09-04 08:26:00.267"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest in cotton","I suggested to spray imidachloprid 5 ml/10 lit water for control sucking pest in cotton","GUJARAT","SABARKANTHA","DHANSURA                                          ","2014-09-04 08:58:08.300"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest in cotton","I suggested to spray imidachloprid 5 ml/10 lit water for control sucking pest in cotton","GUJARAT","SABARKANTHA","DHANSURA                                          ","2014-09-04 08:58:08.300"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton aphids","i suggest spray methyle o demeton 15 ml / pump","GUJARAT","SABARKANTHA","IDAR                                              ","2014-09-04 09:29:44.120"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to moderate rain","GUJARAT","SABARKANTHA","IDAR                                              ","2014-09-04 11:19:48.720"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about government schemes","I suggested to contact district agriculture officer","GUJARAT","SABARKANTHA","VADALI                                            ","2014-09-04 12:25:52.400"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weather","ask about fertilizer","ammonium sulphate 20-25kg/vigha","GUJARAT","SABARKANTHA","HIMATNAGAR                                        ","2014-09-05 08:22:05.240"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest in coton","phosphamidon  10  ml. per pump and to spray.","GUJARAT","SABARKANTHA","TALOD                                             ","2014-09-05 08:48:34.563"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask abt fertilizer in cotton","15 kg ammonium sulphate/vigha to apply","GUJARAT","SABARKANTHA","KHEDBRAHMA                                        ","2014-09-05 09:23:03.217"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton jasside","spray imidaclopride 5 ml / 10 lit water","GUJARAT","SABARKANTHA","MEGHRAJ                                           ","2014-09-05 14:01:12.737"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","ask for fungus problem due to rain","suggest:blue copper 40 gm per pamp and dranching","GUJARAT","SABARKANTHA","IDAR                                              ","2014-09-05 14:59:38.487"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton flower drop information","suggest: sprey nepthelik aesitic acid 10 ml/pump","GUJARAT","SABARKANTHA","IDAR                                              ","2014-09-05 16:18:06.473"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for  wilt","mancozeb 35 gram per pump and to spray.","GUJARAT","SABARKANTHA","HIMATNAGAR                                        ","2014-09-05 18:57:54.713"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about wilt in cotton","I suggested drenching the copperoxicloride 45 gram / 15 liter","GUJARAT","SABARKANTHA","BHILODA                                           ","2014-09-06 08:42:13.910"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","ask about mite control","i suggested dicofol 15 ml/10 litar water","GUJARAT","SABARKANTHA","MODASA                                            ","2014-09-06 08:46:28.630"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","ask about fertilizer management","i suggested mgso4 3 kilo/vigha","GUJARAT","SABARKANTHA","HIMATNAGAR                                        ","2014-09-06 08:51:50.880"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASK ABT WHITE FLY PROBLEM?","trizophos 30 ml/15 liter water","GUJARAT","SABARKANTHA","DHANSURA                                          ","2014-09-06 09:34:49.520"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about wilt of cotton","I suggested to drenching blue copper 40 gm/pump for control wilt of cotton","GUJARAT","SABARKANTHA","VADALI                                            ","2014-09-06 09:53:12.713"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton jassid","i suggest spray dimethoate 15 ml / pump","GUJARAT","SABARKANTHA","MALPUR                                            ","2014-09-06 10:18:30.787"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","ask about paddy yellowing","i suggested 40 gram feso4 + 20 gram lime solution/10 litar water","GUJARAT","SABARKANTHA","HIMATNAGAR                                        ","2014-09-06 10:33:35.160"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about root wilt","suggetsed mencozeb 35 gm per pump","GUJARAT","SABARKANTHA","PRANTIJ                                           ","2014-09-06 10:46:23.867"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton white fly","i sugg monocrotophos and acephate powder","GUJARAT","SABARKANTHA","HIMATNAGAR                                        ","2014-09-06 10:48:02.853"
