"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","yellowing leaves and plant wilt?","bavistinchi 1.5 gram /liter","GUJARAT","TAPI","NIZAR                                             ","2014-09-05 09:01:59.137"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather","I suggested to cloudy sky","GUJARAT","TAPI","NIZAR                                             ","2014-09-06 10:11:32.560"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask about government schemes","I suggested to contact district agriculture officer","GUJARAT","TAPI","MAHUVA                                            ","2014-09-06 12:36:24.650"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Cultural Practices","ask for sesamum varity","suggest: purva til","GUJARAT","TAPI","VYARA                                             ","2014-09-06 16:14:19.363"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Ask for the wilt control","blue copper 40 gram per pump and to drenching.","GUJARAT","TAPI","VALOD                                             ","2014-09-06 16:58:41.700"
"KHARIF","AGRICULTURE","Others","Others","Market Information","ask about message service","I suggested your registration has been done","GUJARAT","TAPI","NIZAR                                             ","2014-09-07 11:22:10.943"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about fungus on cotton","i suggested spray mencozeb","GUJARAT","TAPI","NIZAR                                             ","2014-09-09 11:23:34.420"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASK FOR PADDY FERTILIZER:","APPLY AMONIUM SULPHATE 30-35 KILO/HA","GUJARAT","TAPI","SONGADH                                           ","2014-09-09 11:54:25.583"
"KHARIF","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","ask about caterpillar in cowpea","I suggested spray quinalphosh 30 mili / 15 liter","GUJARAT","TAPI","UTCHHAL                                          ","2014-09-11 07:45:56.620"
"KHARIF","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","ask control of fungus","I suggested drenching bavistin 25 gram /pump","GUJARAT","TAPI","VALOD                                             ","2014-09-11 14:34:42.440"
