"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control fungal dieases in cotton crop ?","how to control fungal dieases in cotton crop ?
spray -500 gram bavastin ,200 liter water per acre .","HARYANA","FATEHABAD","JAKHAL                                            ","2014-09-01 20:48:21.067"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in Fatehabad?","Today some clouds, no chance of rainfall .","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-09-01 21:38:42.700"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding to weather in fatehabad ?","Information regarding to weather in fatehabad ? 
Today weather will be cloudy but some chance of ranifall.","HARYANA","FATEHABAD","BHUNA                                             ","2014-09-02 06:26:05.830"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Information regarding how to control fungal disease in cotton?","spray of streptocyclene 6 gm + 600 gm COC in 200 Lt water/acre.","HARYANA","FATEHABAD","RATIA                                             ","2014-09-02 06:30:58.167"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Bio-Pesticides and Bio-Fertilizers","How to control thirips  white fly in cotton crop ?","spray 200 ml oburon + 300 ml nimicidene + 100 gm pride in 200 litre water per acre.","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-09-02 06:54:01.897"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding to weather in fatehabad ?","Information regarding to weather in fatehabad ?
 Some clouds,  chance of rain fall, today .","HARYANA","FATEHABAD","BHUNA                                             ","2014-09-02 06:56:25.743"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Information regarding how to control leaf curl in cotton?","Spray 6gm. streptocyclin  + 600gm. copper oxychloride  in 200 lt. of water per acre.","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-09-02 10:26:22.417"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Information regarding ho to control becterial blight/willt/root rot in cotton crop ?","Information regarding ho to control becterial blight/willt/root rot in cotton crop ?Spray coc @ 600- 800 gm + streptocycline @ 6-8 gm in 200 litre of water/acre.","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-09-02 12:09:27.653"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control thirips in paddy?","How to control thirips in paddy?
 How to control thirips in paddy?Spray 200 ml. monocrotophos ya 500 ml mithail parathion in 200 lt. of water per acre.","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-09-02 15:20:10.887"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of fatehabad?","Information regarding weather of fatehabad? weather of fatehabad are:-some clouds and some chance of  rainfall in today,","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-09-02 16:02:54.607"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of fatehabad?","Information regarding weather of fatehabad? weather of fatehabad are:-some clouds and some chnce of rainfall in tonight,","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-09-02 20:08:37.733"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of fatehabad?","Information regarding weather of fatehabad?weather of fatehabad are:-some clouds and some chance of rainfall in today,","HARYANA","FATEHABAD","TOHANA                                            ","2014-09-02 21:00:05.403"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of fatehabad ?","Information regarding weather of fatehabad ?weather of fatehabad are:-some clouds and some chance of rainfall in tonight,","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-09-02 21:23:05.313"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of fatehabad ?","weather of fatehabad are:-some clouds and some chance of rainfall in tonight,","HARYANA","FATEHABAD","FATEHABAD                                         ","2014-09-02 21:52:38.023"
