"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","information regarding to weather of Gurgaon?","Some clouds and chances of rainfall today.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-08-01 07:18:23.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","How to control weed of paddy ?","weed control of paddy -spray 100 ml nomanigold,200 liter per acre ?","HARYANA","GURGAON","GURGAON                                           ","2014-08-01 07:55:56.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Information regarding how to control white fly ,leaf curl in cotton?","Spray 300 ml. rogor + 1 lt. nimbecidine in 200 lt. of water per acre.","HARYANA","GURGAON","PATAUDI                                           ","2014-08-01 08:48:38.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather of Gurgaon?","Information regarding weather of Gurgaon? weather of Gurgaon are:-some clouds and some chance of rainfall in today.","HARYANA","GURGAON","PATAUDI                                           ","2014-08-01 11:02:26.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","information regarding total fertilizers dose of basmati paddy ?","Information regarding total fertilizers dose of basmati paddy ?
fertilizers dose of basmati paddy :- 70 kg urea, 75 kg ssp or 50 kg dap,40 kg potas, 10 kg zink per acre.","HARYANA","GURGAON","SOHNA                                             ","2014-08-01 12:00:43.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding  of weather in Gurgaon?","Some ciouds some chance of rainfall today.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-08-01 15:21:38.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","How to control flower and fruit dropping ?","Spray 1 ml. planofix per 4.5 lt. of water.","HARYANA","GURGAON","PATAUDI                                           ","2014-08-01 17:05:54.000"
"JAYAD","HORTICULTURE","Vegetables","Carrot","","sowing time of deshi carrot or radish?","august to september","HARYANA","GURGAON","PATAUDI                                           ","2014-08-01 17:32:23.000"
"JAYAD","HORTICULTURE","Vegetables","Carrot","Cultural Practices","Information regarding sowing time of carrot crop ?","Information regarding sowing time of carrot crop ?mid september.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-08-01 17:38:14.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather of Gurgaon ?","weather of Gurgaon ? no chance of rainfall today ,","HARYANA","GURGAON","PATAUDI                                           ","2014-08-01 19:43:26.000"
