"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Bio-Pesticides and Bio-Fertilizers","information regarding control of jassid &white fly in cotton","information regarding control of jassid &white fly in cotton
answer:-spray 250-350 ml rogor in 150 liter water /acre.","HARYANA","REWARI","JATUSANA                                          ","2014-08-01 06:15:10.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","How to control flower and fruit dropping in cotton crop  ?","How to control flower and fruit dropping in cotton crop  ?
Spray 50 ml. Planofix or oriyofinzin in 200 lt. of water/acre .","HARYANA","REWARI","JATUSANA                                          ","2014-08-01 06:21:09.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Bio-Pesticides and Bio-Fertilizers","information regarding how to control fungal disease in cotton ?","information regarding how to control fungal disease in cotton ?
spray of 8 gm streptocichlin + 800 gm coperoxiclorid in 200 liter of water/acre .","HARYANA","REWARI","JATUSANA                                          ","2014-08-01 06:22:09.000"
"","AGRICULTURE","Others","Others","","How to control thirips in till?","Spray 200 ml. monocrotophos ya 500 ml mithail parathion in 200 lt. of water per acre.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-08-01 06:23:35.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather in rewari?","Some ciouds some chance of rainfall today.","HARYANA","REWARI","REWARI                                            ","2014-08-01 06:29:33.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Information regarding how to control fungal disease in cotton?","spray of streptosycleen 6 Gm+600 Gm COC in 200 Lt water/acre.","HARYANA","REWARI","NAHAR                                             ","2014-08-01 06:34:59.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","information regarding weather in rewari?","information regarding weather in rewari-chance of rainfall .","HARYANA","REWARI","REWARI                                            ","2014-08-01 06:43:16.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather of rewari?","Information regarding weather of rewari?
Today some clouds and some chances of rainfall.","HARYANA","REWARI","JATUSANA                                          ","2014-08-01 10:27:35.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","information regarding to weather of Rewari?","Some clouds and chances of rainfall today.","HARYANA","REWARI","REWARI                                            ","2014-08-01 10:30:39.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather in Rewari?","Information regarding weather in Rewari?
Some clouds,some  chances of rainfall,today.","HARYANA","REWARI","NAHAR                                             ","2014-08-01 11:42:43.000"
"JAYAD","HORTICULTURE","Fruits","Guava","","informatio regarding HAU Helpline No","informatio regarding HAU Helpline No
1800-180-3001.","HARYANA","REWARI","REWARI                                            ","2014-08-01 12:06:13.000"
"JAYAD","AGRICULTURE","Others","Others","","information regarding control of jassid &white fly in cotton","information regarding control of jassid &white fly in cotton
answer:-spray 250-350 ml rogor in 150 liter water /acre.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-08-01 12:29:04.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding how to control bakani (fungal disease) in paddy crop ?spray bavistin @ 400 gm in 200 litre of water/acre.","Information regarding how to control bakani (fungal disease) in paddy crop ?spray bavistin @ 400 gm in 200 litre of water/acre.","HARYANA","REWARI","JATUSANA                                          ","2014-08-01 15:16:13.000"
"JAYAD","AGRICULTURE","Fodder Crops","Guar","","Information regarding how to control thrips in gwar crop ?","Information regarding how to control thrips in gwar crop ?spray rogor @ 350 ml in 200 litre of water/acre.","HARYANA","REWARI","BAWAL                                             ","2014-08-01 16:24:04.000"
"JAYAD","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","how to control sundhi in fodder guar?","how to control sundhi in fodder guar?Spray 500 ml. Quinalphos in 200 lt. of water per acre.","HARYANA","REWARI","BAWAL                                             ","2014-08-01 18:09:39.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather of rewari ?","weather of rewari ?Today some clouds and some chance of ranfall.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-08-01 18:53:39.000"
"JAYAD","AGRICULTURE","Others","Others","","information regarding HAU Helpline No.
1800-180-3001.","information regarding HAU Helpline No.
1800-180-3001.","HARYANA","REWARI","REWARI                                            ","2014-08-01 20:44:36.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weed control of paddy ?","spray of nomino gold @ 100 ml/200 liter water/acre .","HARYANA","REWARI","REWARI                                            ","2014-08-02 06:11:25.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regrding weather of rewari?","some cloud and  chance of  rain fall,today.","HARYANA","REWARI","REWARI                                            ","2014-08-02 06:14:49.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","information regardingh how to control fangle disease in cotton ?","control are:-spray-stereptocyclien@6-8 gram+coc9coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.","HARYANA","REWARI","REWARI                                            ","2014-08-02 06:29:01.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","information regarding how to control fungal disease in cotton ?","information regarding how to control fungal disease in cotton ?
spray of 8 gm streptocichlin + 800 gm coperoxiclorid in 200 liter of water/acre .","HARYANA","REWARI","JATUSANA                                          ","2014-08-02 06:37:04.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather in rewari?","Some clouds some chance of rainfall today.","HARYANA","REWARI","JATUSANA                                          ","2014-08-02 06:44:00.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","Information regarding how to control flowers dropping in cotton?","Information regarding how to control flowers dropping in cotton?
Spray 2 kg. Potassium Nitrate in 200 lt. of water per acre.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-08-02 07:07:47.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding how to control fungal disease(bakani)in paddy ?","Information regarding how to control fungal disease(bakani)in paddy crop ?spray bavistin @ 500 gm in 200 litre of water/acre.","HARYANA","REWARI","BAWAL                                             ","2014-08-02 07:23:06.000"
