"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control of White fly in paddy?","Spray of Polo @ 200 Gm in 200 Ltr water/acre.","HARYANA","YAMUNA NAGAR","RADAUR                                            ","2014-09-02 09:11:28.183"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control of White fly in paddy?","Spray of Polo @ 200 Gm in 200 Ltr water/acre.","HARYANA","YAMUNA NAGAR","RADAUR                                            ","2014-09-02 09:11:28.183"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control leaf folder in paddy crop?","Spray 200 ml. monocrotophos in 200 lt. of water per acre.","HARYANA","YAMUNA NAGAR","RADAUR                                            ","2014-09-02 11:12:54.973"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Information regarding how to control fungaldisease in sugarcane crop ?","Information regarding how to control fungaldisease in sugarcane crop ? spray bavistin @ 600gm in 300 litre of water/acre.","HARYANA","YAMUNA NAGAR","CHHACHHRAULI                                      ","2014-09-02 11:23:48.573"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding how to control black grain in paddy crop ?","Information regarding how to control black grain in paddy crop ?spray propiconazole 25 ec @ 200 ml in 200 litre of water/acre.","HARYANA","YAMUNA NAGAR","CHHACHHRAULI                                      ","2014-09-03 06:26:29.353"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in yamunanagar?","Information regarding weather in yamunanagar?some cloudy weather & some chance of rainfall today .","HARYANA","YAMUNA NAGAR","CHHACHHRAULI                                      ","2014-09-03 06:48:56.720"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding how to control of leaf folder in paddy?","Information regarding how to control of leaf folder in paddy?
Spray 200 ml. monocrotophos in 200 lt. of water per acre.","HARYANA","YAMUNA NAGAR","RADAUR                                            ","2014-09-03 07:00:41.880"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding how to control of leaf folder in paddy?","Information regarding how to control of leaf folder in paddy?
Spray 200 ml. monocrotophos in 200 lt. of water per acre.","HARYANA","YAMUNA NAGAR","RADAUR                                            ","2014-09-03 07:00:41.880"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","how to control of pest ?","how to control of pest ?
spray 400 ml. malathion in 200 lt. of water per acre.","HARYANA","YAMUNA NAGAR","CHHACHHRAULI                                      ","2014-09-03 12:02:06.093"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Nutrition","information regardingHAU Helpline No ?","""information regarding HAU Helpline No-1800-180-1184.manday ,wednesdayand Friday 10amto12am
""","HARYANA","YAMUNA NAGAR","RADAUR                                            ","2014-09-04 06:35:55.520"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Nutrition","information regardingHAU Helpline No ?","""information regarding HAU Helpline No-1800-180-1184.manday ,wednesdayand Friday 10amto12am
""","HARYANA","YAMUNA NAGAR","RADAUR                                            ","2014-09-04 06:35:55.520"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control thirips in paddy?","How to control thirips in paddy?
Spray 200 ml. monocrotophos ya 500 ml mithail parathion in 200 lt. of water per acre.","HARYANA","YAMUNA NAGAR","CHHACHHRAULI                                      ","2014-09-04 10:14:42.857"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding  how to control fungel diseases in paddy?","Spray of propiconajol (tilt) 200 ml in 200 liter water per acre .","HARYANA","YAMUNA NAGAR","JAGADHRI                                          ","2014-09-04 11:03:43.187"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","How to control (bakani)fungal dieases in paddy crop?","How to control (bakani)fungal dieases in paddy crop?
spray of 3 gram bavastin per liter .","HARYANA","YAMUNA NAGAR","CHHACHHRAULI                                      ","2014-09-04 14:23:02.533"
