"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","CONTROL OF    LEAF SPOST  IN  APPLE TREES","SPRAY ZARIM 27W/V @  600 ML IN  100 LITRE OF  WATER.","JAMMU AND KASHMIR","BARAMULLA","PATTAN                                            ","2014-09-02 15:36:25.410"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","Mostly cloudy with a shower or thunderstorm
Max UV Index: 6 (High)
Thunderstorms: 40%
Precipitation: 19 mm
Rain: 19 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 3 hrs
Hours of Rain: 3 hrs","JAMMU AND KASHMIR","BARAMULLA","SINGHPORA                                         ","2014-09-03 07:03:02.893"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Rain
Max UV Index: 5 (Moderate)
Thunderstorms: 24%
Precipitation: 0.29 in
Rain: 0.29 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 5 hrs
Hours of Rain: 5 hrs","JAMMU AND KASHMIR","BARAMULLA","KUNZER                                            ","2014-09-03 09:34:49.993"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  forecast  ?","Mostly cloudy with a couple of showers and a thunderstorm
 Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 16 mm
Rain: 16 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","BARAMULLA","BARAMULLA                                         ","2014-09-03 09:54:59.680"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  forecast  ?","Mostly cloudy with a couple of showers and a thunderstorm
 Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 16 mm
Rain: 16 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","BARAMULLA","BARAMULLA                                         ","2014-09-03 09:54:59.680"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  forecast  ?","Mostly cloudy with a couple of showers and a thunderstorm
 Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 16 mm
Rain: 16 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","BARAMULLA","BARAMULLA                                         ","2014-09-03 09:54:59.680"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  forecast  ?","Mostly cloudy with a couple of showers and a thunderstorm
 Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 16 mm
Rain: 16 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","BARAMULLA","BARAMULLA                                         ","2014-09-03 09:54:59.680"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  forecast  ?","Mostly cloudy with a couple of showers and a thunderstorm
 Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 16 mm
Rain: 16 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","BARAMULLA","BARAMULLA                                         ","2014-09-03 09:54:59.680"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","Mostly cloudy with a shower or thunderstorm

Max UV Index: 6 (High) 
Thunderstorms: 40% 
Precipitation: 19 mm 
Rain: 19 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 3 hrs 
Hours of Rain: 3 hrs","JAMMU AND KASHMIR","BARAMULLA","SINGHPORA                                         ","2014-09-03 10:06:47.703"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","Mostly cloudy with a shower or thunderstorm

Max UV Index: 6 (High) 
Thunderstorms: 40% 
Precipitation: 19 mm 
Rain: 19 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 3 hrs 
Hours of Rain: 3 hrs","JAMMU AND KASHMIR","BARAMULLA","SINGHPORA                                         ","2014-09-03 10:06:47.703"
