"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather report","Mostly cloudy with a couple of showers and a thunderstorm, mainly early in the day
Max UV Index: 6 (High)
Thunderstorms: 40%
Precipitation: 4 mm
Rain: 4 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","DODA","BHADERWAH                                         ","2014-09-02 16:39:27.740"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather report","Mostly cloudy with a couple of showers and a thunderstorm, mainly early in the day
Max UV Index: 6 (High)
Thunderstorms: 40%
Precipitation: 4 mm
Rain: 4 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","DODA","BHADERWAH                                         ","2014-09-02 16:39:27.740"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather report","Mostly cloudy with a couple of showers and a thunderstorm, mainly early in the day
Max UV Index: 6 (High)
Thunderstorms: 40%
Precipitation: 4 mm
Rain: 4 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","DODA","BHADERWAH                                         ","2014-09-02 16:39:27.740"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","Periods of rain, some heavy, and a thunderstorm; watch for flooding

Max UV Index: 4 (Moderate) 
Thunderstorms: 49% 
Precipitation: 37 mm 
Rain: 37 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 8 hrs 
Hours of Rain: 8 hrs","JAMMU AND KASHMIR","DODA","BHADERWAH                                         ","2014-09-05 09:55:06.890"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","Periods of rain, some heavy, and a thunderstorm; watch for flooding

Max UV Index: 4 (Moderate) 
Thunderstorms: 49% 
Precipitation: 37 mm 
Rain: 37 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 8 hrs 
Hours of Rain: 8 hrs","JAMMU AND KASHMIR","DODA","BHADERWAH                                         ","2014-09-05 09:55:06.890"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","Periods of rain, some heavy, and a thunderstorm; watch for flooding

Max UV Index: 4 (Moderate) 
Thunderstorms: 49% 
Precipitation: 37 mm 
Rain: 37 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 8 hrs 
Hours of Rain: 8 hrs","JAMMU AND KASHMIR","DODA","BHADERWAH                                         ","2014-09-05 09:55:06.890"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER REPORT","Periods of rain, some heavy, and a thunderstorm; watch for flooding
Max UV Index: 4 (Moderate)
Thunderstorms: 49%
Precipitation: 37 mm
Rain: 37 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 8 hrs
Hours of Rain: 8 hrs","JAMMU AND KASHMIR","DODA","BHADERWAH                                         ","2014-09-05 10:06:52.750"
"KHARIF","HORTICULTURE","Fruits","Apple","Cultural Practices","SCHEMES REGARDING ESTABLISHMENT OF NEW WALNUT ORCHARD ?","INFORMATION OF SCHEMES REGARDING ESTABLISHMENT OF NEW WALNUT ORCHARD GIVEN TO THE FARMER .","JAMMU AND KASHMIR","DODA","THATHRI                                           ","2014-09-05 15:15:37.077"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","CUT  WORMS  IN   PEA   ?","DRENCH CHLOROPYRIPHOS  @  1-2 ML PER  LITRE OF  WATER  OR APPLY   PHORATE @  500 GRAMS PER  KANAL  AND  APPLY   LIGHT  IRRIGATION  TO THE  CROP.","JAMMU AND KASHMIR","DODA","DODA                                              ","2014-09-14 10:23:07.630"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECTS","METHYL PARATHION","JAMMU AND KASHMIR","DODA","DODA                                              ","2014-09-15 08:18:05.173"
