"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather  forecast   ?","Variable clouds with a thunderstorm
 Max UV Index: 8 (Very High)
Thunderstorms: 60%
Precipitation: 4 mm
Rain: 4 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","KATHUA","KATHUA                                            ","2014-08-01 06:20:23.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","CONTROL OF  LEAF  SPOST IN PADDY ?","SPRAY   PROPICONAZOLE  ( TILT) @ 250 ML  IN 200 LLITRE OF  WATER  PER  ACRE.","JAMMU AND KASHMIR","KATHUA","KATHUA                                            ","2014-08-01 08:44:08.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF FOLDER IN PADDY ?","SPRAY LAMDA CYLOTHRIN @ 250ML IN 600 LITRE OF WATER PER HACTARE .","JAMMU AND KASHMIR","KATHUA","KATHUA                                            ","2014-08-01 13:13:40.000"
"JAYAD","HORTICULTURE","Vegetables","Cauliflower","","information regarding sowing time of cauliflower","sowing time of cauliflower is may -july","JAMMU AND KASHMIR","KATHUA","HIRANAGAR                                         ","2014-08-01 17:18:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","rust in paddy field","spray zineb @ 2 gm in 1 lt water","JAMMU AND KASHMIR","KATHUA","KATHUA                                            ","2014-08-01 18:45:26.000"
"","AGRICULTURE","Others","Others","","weeds in the field","spray round up @ 500 ml in 30 lt water per kanal","JAMMU AND KASHMIR","KATHUA","BILLAWAR                                          ","2014-08-01 19:40:59.000"
"","HORTICULTURE","Vegetables","Chillies","","downwy mildew in chillies","spray ridomil mz @ 2.5 gm in 1 lt water","JAMMU AND KASHMIR","KATHUA","HIRANAGAR                                         ","2014-08-01 21:34:32.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","CONTROL OF  CUT  WORMS  IN  PADDY   ?","BROADCAST  PHORATE - 5 KG  OR  REGENT - 6 KG  PER  ACRE IN  STANDING  WATER.","JAMMU AND KASHMIR","KATHUA","GHAGWAL                                           ","2014-08-02 09:47:32.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","INFORMATION REGARDING WEEDS IN MAIZE?","SPRAY OF ATRAZINE @ 1.5 KG PER HACTRE","JAMMU AND KASHMIR","KATHUA","KATHUA                                            ","2014-08-02 10:09:45.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","Times of clouds and sun with a shower or thunderstorm around; very warm

Max UV Index: 8 (Very High) 
Thunderstorms: 60% 
Precipitation: 3 mm 
Rain: 3 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 1 hrs 
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","KATHUA","KATHUA                                            ","2014-08-02 10:22:00.000"
