"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Times of clouds and sun with a shower or thunderstorm around
Max UV Index: 10 (Extreme)
Thunderstorms: 40%
Precipitation: 0.1 in
Rain: 0.1 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-02 08:04:16.143"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHEWR FORECAST ?","Times of clouds and sun with a shower or thunderstorm around
Max UV Index: 10 (Extreme)
Thunderstorms: 40%
Precipitation: 0.1 in
Rain: 0.1 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-02 08:10:05.853"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHEWR FORECAST ?","Times of clouds and sun with a shower or thunderstorm around
Max UV Index: 10 (Extreme)
Thunderstorms: 40%
Precipitation: 0.1 in
Rain: 0.1 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-02 08:10:05.853"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST","Times of clouds and sun with a shower or thunderstorm around

Max UV Index: 10 (Extreme) 
Thunderstorms: 40% 
Precipitation: 3 mm 
Rain: 3 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 1 hrs 
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-02 09:49:13.033"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Mostly cloudy with a couple of showers and a thunderstorm
Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 0.62 in
Rain: 0.62 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-09-03 07:49:58.180"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Mostly cloudy with a couple of showers and a thunderstorm
Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 0.62 in
Rain: 0.62 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-03 09:07:17.007"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","LEAF  SPOST  IN   APPLE TREES","SPRAY ZARIM  27W/V @  600 ML IN  100 LITRE OF  WATER.","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-03 10:48:32.887"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","LEAF  SPOST  IN   APPLE TREES","SPRAY ZARIM  27W/V @  600 ML IN  100 LITRE OF  WATER.","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-03 10:48:32.887"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Mostly cloudy with a couple of showers and a thunderstorm
Max UV Index: 4 (Moderate)
Thunderstorms: 40%
Precipitation: 0.41 in
Rain: 0.41 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 3.5 hrs
Hours of Rain: 3.5 hrs","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-09-03 12:10:32.467"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Mostly cloudy with a couple of showers and a thunderstorm
Max UV Index: 4 (Moderate)
Thunderstorms: 40%
Precipitation: 0.41 in
Rain: 0.41 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 3.5 hrs
Hours of Rain: 3.5 hrs","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-09-03 12:10:32.467"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","INFORMATION REGARDING WEATHER REPORT","Rain
Max UV Index: 5 (Moderate)
Thunderstorms: 24%
Precipitation: 7 mm
Rain: 7 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 5 hrs
Hours of Rain: 5 hrs","JAMMU AND KASHMIR","PULWAMA","KAKAPORA                                          ","2014-09-03 13:29:55.610"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","INFORMATION REGARDING WEATHER REPORT","Rain
Max UV Index: 5 (Moderate)
Thunderstorms: 24%
Precipitation: 7 mm
Rain: 7 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 5 hrs
Hours of Rain: 5 hrs","JAMMU AND KASHMIR","PULWAMA","KAKAPORA                                          ","2014-09-03 13:29:55.610"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","Mostly cloudy with a couple of showers and a thunderstorm

Max UV Index: 5 (Moderate) 
Thunderstorms: 40% 
Precipitation: 21 mm 
Rain: 21 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 4 hrs 
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","PULWAMA","KAKAPORA                                          ","2014-09-04 07:43:09.290"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast ?","Mostly cloudy with a couple of showers and a thunderstorm
Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 0.82 in
Rain: 0.82 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 08:19:28.440"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast ?","Mostly cloudy with a couple of showers and a thunderstorm
Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 0.82 in
Rain: 0.82 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 4 hrs
Hours of Rain: 4 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 08:19:28.440"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","SOWING TIME OF ONION ?","SOWING TIME OF ONION STARTS FROM THE SEPTEMBER .","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 10:55:48.880"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","SOWING TIME OF ONION ?","SOWING TIME OF ONION STARTS FROM THE SEPTEMBER .","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 10:55:48.880"
"KHARIF","HORTICULTURE","Vegetables","Onion","Field Preparation","ONION SOWING TIME","MID AUGUST TO MID SEPTEMBER","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 11:20:01.410"
"KHARIF","HORTICULTURE","Vegetables","Onion","Field Preparation","ONION SOWING TIME","MID AUGUST TO MID SEPTEMBER","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 11:20:01.410"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","Mostly cloudy with a couple of showers and a thunderstorm
Max UV Index: 4 (Moderate)
Thunderstorms: 40%
Precipitation: 21 mm
Rain: 21 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 4.5 hrs
Hours of Rain: 4.5 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 11:48:42.047"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","Rain, heavy at times; watch for flooding
Max UV Index: N/A
Thunderstorms: 40%
Precipitation: 44 mm
Rain: 44 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 12 hrs
Hours of Rain: 12 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 14:09:42.730"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","TODAYS WEATHER FORECAST ?","Rain, heavy at times; watch for flooding
Max UV Index: N/A
Thunderstorms: 18%
Precipitation: 1.67 in
Rain: 1.67 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 12 hrs
Hours of Rain: 12 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-09-04 14:47:59.693"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","Mostly cloudy with a couple of showers and a thunderstorm
Max UV Index: 4 (Moderate)
Thunderstorms: 40%
Precipitation: 25 mm
Rain: 25 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 6 hrs
Hours of Rain: 6 hrs","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-09-04 16:58:30.690"
