"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","aphids in jowar crop","spray methyl demeton 25 ec or dimethoate 30 ec @ 50 ml in 35 lt water per kanal","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-08-01 09:29:09.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","information regarding control of root rot in bhindi","drench carbendazim @ 2gm/litre of water","JAMMU AND KASHMIR","SAMBA","","2014-08-01 16:29:35.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","rust in paddy crop","spray zineb @ 2 gm in 1 lt water","JAMMU AND KASHMIR","SAMBA","GAGWAL","2014-08-02 06:51:27.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","information regarding control of insect in paddy","spray confido @ 40ml /100litre of water /acre","JAMMU AND KASHMIR","SAMBA","","2014-08-02 10:44:22.000"
"","HORTICULTURE","Vegetables","Potato","","fertiliser dosage in potato crop","12 kg urea, 7 kg dap, 10 kg mop per kanal","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-08-03 07:44:38.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","SECOND DOSE OF UREA IN PADDY FIELD ?","APPLY 2.5KG PER KANAL AS SECOND DOSE IN PADDY FIELD .","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-08-03 12:23:09.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF WEEDS IN PADDY FIELD ?","APPLY NOMINIGOLD @ 10ML IN 15LITRE OF WATER AFTER 25-30 DAYS OF SOWING.DRAIN WATER FROM THE FIELD .","JAMMU AND KASHMIR","SAMBA","","2014-08-03 13:34:53.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","INFORMATION REGARDING WEEDS IN PADDY?","SPRAY OF BUTACHLOR @ 125 ML PER KANAL","JAMMU AND KASHMIR","SAMBA","","2014-08-03 13:49:34.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","pest in brinjal crop","spray rogor @ 1.5 ml in 1 lt water","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-08-04 18:44:49.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","","INFORMATION REGARDING CONTROL OF INSECT IN BRINJAL","SPRAY CHLOROPYRIPHOS 20EC @ 2ML /LITRE OF WATER","JAMMU AND KASHMIR","SAMBA","","2014-08-05 11:20:12.000"
