"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast in paddy field","spray  zineb @ 500 gm in 200 lt water per acre","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-02 17:40:21.290"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Field Preparation	","CONTROL OF   GRASSHOPPER IN   MAZIE   ?","SPRA Y  IMADICLOPRID @  40 ML  OR  USE   METASYSTOX  @  560 ML IN  100 LITRE OF  WATER  PER   ACRE , REPEAT AT 12  DAYS INTERVAKLS.","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-03 08:17:44.587"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","Rain, heavy at times; watch for flooding
Max UV Index: N/A
Thunderstorms: 24%
Precipitation: 46 mm
Rain: 46 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 12 hrs
Hours of Rain: 12 hrs","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-04 17:08:18.527"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report?","Mostly cloudy and cool with a couple of showers and a thunderstorm","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-04 18:48:56.107"
"KHARIF","AGRICULTURE","Others","Others","Weather","weathger  foreacst  ?","Periods of rain, some heavy, and a thunderstorm; additional rain can lead to flooding problems

Max UV Index: 3 (Moderate) 
Thunderstorms: 52% 
Precipitation: 20 mm 
Rain: 20 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 6 hrs 
Hours of Rain: 6 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-05 06:48:23.610"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATEHR FOREACST  ?","Periods of rain, some heavy, and a thunderstorm; cool; watch for flooding
 Max UV Index: 5 (Moderate)
Thunderstorms: 30%
Precipitation: 80 mm
Rain: 80 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 8 hrs
Hours of Rain: 8 hrs","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-05 09:05:17.777"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER  FOREASCT ?","Periods of rain and a thunderstorm
 Max UV Index: 4 (Moderate)
Thunderstorms: 43%
Precipitation: 8 mm
Rain: 8 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 3.5 hrs
Hours of Rain: 3.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-06 08:04:10.650"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Periods of rain and a thunderstorm
Max UV Index: 4 (Moderate)
Thunderstorms: 38%
Precipitation: 0.73 in
Rain: 0.73 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 6 hrs
Hours of Rain: 6 hrs","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-06 08:04:48.033"
"KHARIF","AGRICULTURE","Fodder Crops","fodder maize ","Weather","WEATHER FORECAST ?","Periods of rain and a thunderstorm
Max UV Index: 4 (Moderate)
Thunderstorms: 38%
Precipitation: 19 mm
Rain: 19 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 6 hrs
Hours of Rain: 6 hrs","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-06 08:19:38.743"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","WEATHER FORECAST ?","Cool with periods of rain
Max UV Index: 5 (Moderate)
Thunderstorms: 16%
Precipitation: 21 mm
Rain: 21 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 6 hrs
Hours of Rain: 6 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-06 12:11:53.153"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Partly sunny with a shower or thunderstorm around
Max UV Index: 9 (Very High)
Thunderstorms: 60%
Precipitation: 4 mm
Rain: 4 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-08 10:50:22.580"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","WEATHER FORECAST ?","Partly sunny with a shower or thunderstorm around
Max UV Index: 9 (Very High)
Thunderstorms: 60%
Precipitation: 4 mm
Rain: 4 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-08 13:02:28.263"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","A shower or thunderstorm late this morning; intervals of clouds and sunshine
Max UV Index: 6 (High)
Thunderstorms: 40%
Precipitation: 0.05 in
Rain: 0.05 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0.5 hrs
Hours of Rain: 0.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","GHORDI                                            ","2014-09-12 10:28:34.913"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","HOW TO CONTROL BLAST IN PADDY ?","SPRAY WITH TILT @ 100ML IN 100 LITER OF WATER","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-12 11:57:31.650"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF BLAST IN PADDY","SPRAY ZINEB @ 2GM/LITRE OF WATER","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-12 12:02:56.873"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","MAIZE STEM BORER","Methyl-o-demeton Metasystox (25 EC)","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-13 11:00:52.960"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","INCREASE IN MILK PRODUCTION IN COW ?","GIVE MINERAL MIXTIURE AND OSTAVET TO THE ANIMAL .","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-13 11:42:55.860"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","HOW TO CONTROL WHITE FLY IN MOONG ?","SPRAY WITH IMIDACHLOPRID @ 2ML/LITER OF WATER","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-14 09:11:03.587"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast","Partly sunny with a shower or thunderstorm around

Max UV Index: 8 (Very High) 
Thunderstorms: 60% 
Precipitation: 2 mm 
Rain: 2 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 1 hrs 
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-14 10:54:18.263"
"KHARIF","HORTICULTURE","Fruits","Guava","	Plant Protection	","INFORMATION REGARDING CONTROL OF FRUIT BORER IN GUAVA","SPRAY CHLOROPYRIPHOS 20EC @ 2ML /LITRE OF WATER","JAMMU AND KASHMIR","UDHAMPUR","DUDU                                              ","2014-09-14 11:07:24.660"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","SOWING TIME OF SAFFRON","SOWING TIME  2ND FORTNIGHT OF AUGUST","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-15 08:38:07.193"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BLAST IN PADDY ?","SPRAY TILT 25EC @ 250ML IN 200 LITRE OF WATER PER ACRE .","JAMMU AND KASHMIR","UDHAMPUR","GHORDI                                            ","2014-09-15 11:43:00.900"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF BLIGHT IN TOMATO ?","SPRAY RIDOMIL MZ @ 2.5GM/LITRE OF WATER .REPEAT THE SPRAY AT 15 DAYS OF INTERVAL .","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-15 14:15:22.253"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","Weather","WEATHER FORECAST ?","Sunny to partly cloudy
Max UV Index: 9 (Very High)
Thunderstorms: 90%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-15 17:11:17.677"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","information regarding control of blast in paddy","spray zineb @ gm /litre of water","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-16 14:42:35.070"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","PLANTING TIME OF   FRUIT  PLANTS   ?","PLANTING  TIME IS FEB TO  MARCH  OR  IN  JULY TO AUG.","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-16 17:23:45.230"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER    FOREACST  ?","Mostly sunny
 Max UV Index: 8 (Very High)
Thunderstorms: 24%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-17 07:48:39.700"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","information regarding weather report","Very warm with sunshine and patchy clouds
Max UV Index: 7 (High)
Thunderstorms: 29%
Precipitation: 1 mm
Rain: 1 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-17 14:29:54.583"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","information regarding weather report","Very warm with sunshine and patchy clouds
Max UV Index: 7 (High)
Thunderstorms: 29%
Precipitation: 1 mm
Rain: 1 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-17 14:31:44.903"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","information regarding weather report","Very warm with sunshine and patchy clouds
Max UV Index: 7 (High)
Thunderstorms: 29%
Precipitation: 1 mm
Rain: 1 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-17 14:33:35.590"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST","A damaging thunderstorm; partly sunny and very warm

Max UV Index: 8 (Very High) 
Thunderstorms: 100% 
Precipitation: 10 mm 
Rain: 10 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 2 hrs 
Hours of Rain: 2 hrs","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-19 08:16:08.920"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","YELLOWING IN VEGETABLE","MANCOZEB 3G/LT 20-25 GRAM KANAL","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-09-20 09:50:18.950"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEATHER FORECAST ?","Partly sunny with a thunderstorm this afternoon
Max UV Index: 8 (Very High)
Thunderstorms: 90%
Precipitation: 2 mm
Rain: 2 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-20 12:12:18.193"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF  JASSIDS  IN   CUCUMBER ?","SPRAY   METAYSTOX  OR  ROGOR @  1.5 ML PER LITRE OF  WATER .","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-20 17:48:55.300"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER REPORT","Mostly sunny with a shower or thunderstorm
Max UV Index: 8 (Very High)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-09-21 07:39:59.270"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","HOW TO INCREASE THE MILK PRODUCTION IN COW","GIVE FEED PROPERLY. MIX 50GM OESTOVET CALCIUM + 50GM MINERAL MIXTURE","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-22 14:02:28.340"
"KHARIF","HORTICULTURE","Vegetables","Others","Cultural Practices","turmeric sowing","The optimum time of planting is April-May depending upon the availability of irrigation facility. However it can be delayed till fall of first monsoon showers under the rainfed conditions, but yield is reduced  under late planting.","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-22 16:15:22.173"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER  FORECAST ?","WEATHER  IS   CLEAR  IN NIGHT","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-22 21:35:03.277"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","INFORMATION REGARDING ARTIFICIAL INSEMINATION ?","INFORMATION REGARDING ARTIFICIAL INSEMINATION GIVEN TO THE FARMER .","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-23 14:52:41.640"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","CONTROL OF   SEATH   BLIGHT  IN   PADDY  /","SPRAY   PROPICONAZOLE @  200 ML IN  200 LITRE OF  WATER PER   ACRE.","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-23 17:32:30.217"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","blight in maash crop","spray mancozeb + carbendazim @ 2 ml in 1 lt water","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-24 18:12:31.700"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","CABBAGE FLY","CYPERMETHRIN 2ML/LT","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-09-25 12:56:58.797"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","information regarding control of insect in brinjal","spray chloropyriphos 20ec @ 2ml /litre of water","JAMMU AND KASHMIR","UDHAMPUR","DUDU                                              ","2014-09-25 13:36:13.443"
"KHARIF","AGRICULTURE","Others","Others","Credit","INFORMATION REGARDING KISSAN CREDIT CARD ?","IN THIS REGARD VISIT NEAREST AGRICULTURE OFFICE FOR MORE DETAIL","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-26 18:16:11.670"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","FIRT TIME POTATO PLANTING","VISIT TO NEAREST AGRICULTURE DEPTT.","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-09-27 08:35:24.297"
