"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves paddy","yellowing of leaves 
Spray metalyxl @ 2g/lit of water","JHARKAND","CHATRA","HUNTERGANJ                                        ","2014-10-01 09:14:49.023"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Seeds","Variety of mustard –","Variety of mustard –
 rajendra sarson -1, swarna, 66-197-3","JHARKAND","CHATRA","TANDWA                                            ","2014-10-01 12:20:35.110"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Insect infestation","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","CHATRA","SIMARIA                                           ","2014-10-02 16:01:09.300"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFOTMATION IN CHATRA","WEATHER INFOTMATION IN CHATRA-Cloudy weather in your area but no chance of rain","JHARKAND","CHATRA","GIDDHOR                                           ","2014-10-02 18:11:44.070"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","leaf sucker Brinjal","leaf sucker
Spray monocrotophos 2ml/lt. water","JHARKAND","CHATRA","GIDDHOR                                           ","2014-10-03 10:18:11.843"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","flowering problem in pumpkin","flowering problem in pumpkin	
Spray mirakulon 2 ml/lt. water after afternoon","JHARKAND","CHATRA","SIMARIA                                           ","2014-10-03 12:14:05.840"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","Delay in growth in pumpkin","Delay in growth in pumpkin-Spray boomflower @ 2 ml in 1 litre of water","JHARKAND","CHATRA","TANDWA                                            ","2014-10-04 06:17:46.967"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Seeds","Variety of mustard –","Variety of mustard –
 rajendra sarson -1, swarna, 66-197-3","JHARKAND","CHATRA","SIMARIA                                           ","2014-10-04 10:32:54.153"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","CHATRA","SIMARIA                                           ","2014-10-05 08:39:24.200"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Insect infestation","Spray chlorpryphos @ 2ml/lit of water","JHARKAND","CHATRA","KUNDA                                             ","2014-10-05 09:33:14.300"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect attact in","!you should use malathions@2ml/ litar of water","JHARKAND","CHATRA","GIDDHOR                                           ","2014-10-08 14:13:30.173"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Yellowing of leaves CHILLIES","Yellowing of leaves
Spray mancozeb @2gm/liter water","JHARKAND","CHATRA","HUNTERGANJ                                        ","2014-10-09 14:47:52.063"
"KHARIF","HORTICULTURE","Fruits","Lemon","	Plant Protection	","disease of lemon","spray •Streptomycin sulphate 500-1000 ppm; or Phytomycin 2500 ppm or Copper oxychloride 0.2% at fortnight intervals","JHARKAND","CHATRA","Kanhachatti","2014-10-10 12:49:35.597"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","collar rot disease of brinjal","•Spraying with Mancozeb @ 2g/Litre of water.","JHARKAND","CHATRA","Kanhachatti","2014-10-10 12:54:12.193"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information chatra","Weather information chatra-Very low Cloudy weather in your area but no chance of rain","JHARKAND","CHATRA","CHATRA                                            ","2014-10-10 14:28:08.893"
"KHARIF","AGRICULTURE","Others","Others","Varieties","Weather information","Cloudy weather in your area & little chance of rain","JHARKAND","CHATRA","Kanhachatti","2014-10-12 06:31:42.037"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","CHATRA","Kanhachatti","2014-10-12 06:35:00.643"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area & little chance of rain","JHARKAND","CHATRA","ITKHORI                                           ","2014-10-12 07:43:03.550"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem in brinjal","insect problem in brinjal-spray metasistox /deltra methrin 2 ml/lt. water","JHARKAND","CHATRA","ITKHORI                                           ","2014-10-12 18:28:02.853"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem in tomato","Rotting problem in tomato-Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","CHATRA","CHATRA                                            ","2014-10-13 08:23:35.260"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","yellowing of leaves tomato","yellowing of leaves 
Spray metalyxl @ 2g/lit of water","JHARKAND","CHATRA","CHATRA                                            ","2014-10-13 08:25:02.210"
"KHARIF","AGRICULTURE","Others","Others","Credit","about kisan credit card","please collect your farmers proof data then after meet to your block agriculture officer and get to kcc form and fill the form along with your original documents. and submit in block.","JHARKAND","CHATRA","CHATRA                                            ","2014-10-13 09:51:53.483"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Blast disease in paddy	
Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","CHATRA","HUNTERGANJ                                        ","2014-10-14 08:06:42.700"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Potato fertilizer dose-","Potato fertilizer dose-
 compost-150quintal+urea150+dap-80+pottas-50+zn-sulphate-20kg/ha...","JHARKAND","CHATRA","PATHALGADA                                        ","2014-10-14 09:02:30.383"
"KHARIF","AGRICULTURE","Others","Others","Credit","about kisan credit card","please collect your farmers proof data then after meet to your block agriculture officer and get to kcc form and fill the form along with your original documents. and submit in block.","JHARKAND","CHATRA","KUNDA                                             ","2014-10-15 06:57:53.450"
"JAYAD","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","CHATRA","KUNDA                                             ","2014-10-15 07:22:18.217"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","DRY TOMATO","SPRAY ROGOR 2ML/LIT OF WATER WITH MULTIMICRONUTRIENT 3M/LIT OF WATER","JHARKAND","CHATRA","SIMARIA                                           ","2014-10-16 15:31:49.247"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","CHATRA","CHATRA                                            ","2014-10-17 13:17:36.740"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","CHATRA","CHATRA                                            ","2014-10-17 13:26:34.847"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Fungal problem in tomato","Fungal problem in tomato-Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","CHATRA","CHATRA                                            ","2014-10-17 16:10:07.893"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","flower dropping in tomato","flower dropping in tomato-Spray planofix ml in 4.5- 5 liter of water","JHARKAND","CHATRA","CHATRA                                            ","2014-10-17 16:15:32.770"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","VARIETY IN TURMERIC","VARIETY IN TURMERIC-RAJENDRA SONIA","JHARKAND","CHATRA","SIMARIA                                           ","2014-10-17 20:00:19.600"
"KHARIF","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","about seed treatment of potato crops","aglal or amisan 0.5% or dithen m-45 , these are seed tratment chemical of potato crops","JHARKAND","CHATRA","CHATRA                                            ","2014-10-18 10:48:04.880"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","CHATRA","CHATRA                                            ","2014-10-18 14:27:51.453"
