"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weed Management","control of bathua weed","control of bathua weed  in wheat crop
pendimethalin @ 2 ml in 1 litre of water","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-01 18:33:14.783"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Best variety of brinjal","Best variety of brinjal
-rajendra baigan-2, pant baigan, punjab sadabahar, sonali, pusa purple long, pusa anmol, arka navneet","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-01 21:06:27.260"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem in tomato","Rotting problem in tomato-Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","DEOGHAR","MOHANPUR                                          ","2014-11-02 18:39:34.023"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Seeds","Variety of mung-","Variety of mung- 
pusa vishal, smart, sona","JHARKAND","DEOGHAR","MOHANPUR                                          ","2014-11-02 21:48:23.823"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT DISEASE IN PADDY","SHEATH BLIGHT DISEASE IN PADDY- spray hexaconazole @ 1ml/liter of water","JHARKAND","DEOGHAR","MOHANPUR                                          ","2014-11-02 21:56:24.057"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","blight disease in potato Spray mencozeb @ 2g/lit of water","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-03 13:11:57.820"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT PROBLEM IN paddy","INSECT PROBLEM IN paddy Spray chloropyriphos @ 1 ml in 1 litre of water","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-04 09:35:59.410"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","Best variety of papaya","Best variety of papaya- pusa nanha, pusa dwarf, pusa delicious, pusa majesti","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-04 09:42:50.943"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","FUNGI PROBLEM IN BOTTLE GOURD","Spray saaf @ 2 ml in 1 litre of water","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-05 08:45:46.137"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-05 08:48:25.377"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT AND SHOOT BORER","SPRAY TRIZOPHOS 40 EC 2.5ML/LIT OF WATER","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-05 09:03:17.353"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PROBLEM IN BRINJAL PLANT","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-06 09:46:52.153"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem in brinjal","insect problem in brinjal spray  IMIDACHLROPRID @1ML/3LITER OF WATER","JHARKAND","DEOGHAR","KAROWN                                            ","2014-11-06 16:00:39.177"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Varieties OF wheats","Varieties OF wheats HD 2733 , PBW 343,PBW-443,HD-2967","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-06 18:56:51.690"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","yelowing colour in beans","yelowing colour in beans SPRAY IN MANCOZEB 2 GRAM PER LITER WATER","JHARKAND","DEOGHAR","KAROWN                                            ","2014-11-06 19:57:14.880"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","varities of WHEAT","varities of WHEAT -K 1006 , NW 5054 DBW 39 ,HD  2824 , PBW 343 ?","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-07 07:24:54.437"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","Insect problem","Spray quinolphos @ 2 ml in one litre of water","JHARKAND","DEOGHAR","SARATH                                            ","2014-11-07 07:27:40.860"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT DISEASE IN PADDY","SHEATH BLIGHT DISEASE IN PADDY- spray hexaconazole @ 1ml/liter of water","JHARKAND","DEOGHAR","SARATH                                            ","2014-11-07 07:30:00.683"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","varities of WHEAT","varities of WHEAT -K 1006 , NW 5054 DBW 39 ,HD  2824 , PBW 343 ?","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-08 18:34:41.020"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","insect problem","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-09 14:20:25.340"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER IN BRINJAL","SPRAY TRIZOPHOS @2.5ML/LIT OF WATER","JHARKAND","DEOGHAR","MADHUPUR                                          ","2014-11-10 19:23:38.153"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","blight disease in potato Carbendazim 12%  spray Carbendazim 12% @ 2 gm/water","JHARKAND","DEOGHAR","SARWAN                                            ","2014-11-13 09:23:03.590"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Varieties OF wheats","Varieties OF wheats HD 2733 , PBW 343,PBW-443,HD-2967","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-13 11:02:57.227"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","varities of WHEAT INFORMATION ?","varities of WHEAT -K 1006 , NW 5054 DBW 39 ,HD  2824 , PBW 343 ?","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-13 11:22:51.410"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","Very low Cloudy weather in your area but no chance of rain","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-13 11:50:16.297"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ROOT AND SHOOT BORER IN BRINJAL","ROOT AND SHOOT BORER IN BRINJAL Spray quinalphos @ 2 ml in one litre of water","JHARKAND","DEOGHAR","SARATH                                            ","2014-11-13 12:43:14.473"
"RABI","HORTICULTURE","Fruits","Guava","Fertilizer Use and Availability","Manures and fertilizers Guava","Manures and fertilizers
FYM 50 Kg and one Kg in each of N, P and K per tree in two split doses during March and October should be applied. To increase the yield, spray Urea 1 % + Zinc sulphate 0.5% twice a year during March and October. To correct the boron deficiency (reduction in size of leaves and fruit cracking and hardening) spray 0.3% borax during flowering and fruit set stage.","JHARKAND","DEOGHAR","SARATH                                            ","2014-11-13 12:50:31.907"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Seed tereatment in wheat","Seed tereatment in wheat- with carbendazym or bavistin @ 2-2.5 gram in 1 kg of seed","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-14 13:53:39.070"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","fungal problem in tomatop","Spray saaf @ 2 ml in 1 litre of water","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-14 14:58:45.143"
"RABI","HORTICULTURE","Vegetables","Pumpkin","Seeds and Planting Material","Variety of pumpkin","Variety of pumpkin- rajendra chamatkar, pusa samar long, pusa round, narendra rasmi","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-15 19:11:43.323"
"KHARIF","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Fertilizer doses in wheat","Fertilizer doses in wheat-  200 kg urea, 130 kg dap ,  67 kg mop / ha.","JHARKAND","DEOGHAR","SARATH                                            ","2014-11-15 20:20:50.253"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","insect problem in mango","Spray carbaril @ 2 gram in 1 litter of water","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-16 08:03:44.887"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-16 08:09:08.090"
"RABI","AGRICULTURE","Others","Others","Weather","information weather in deoghar","information weather in deoghar Cloudy weather in your of rain area but no chance","JHARKAND","DEOGHAR","DEOGHAR                                           ","2014-11-17 07:13:08.950"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Variety of wheat","Variety of wheat- P.B.W-373, P.B.W-573, P.B.W-443, P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-18 07:10:02.257"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Late blight disese of potato","Late blight disese of potato
Mancozeb or dithane m-45ka 2 gram dava  1 liter pani me mila kar spray kare","JHARKAND","DEOGHAR","KAROWN                                            ","2014-11-18 09:40:48.140"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Variety of wheat","Variety of wheat- P.B.W-373, P.B.W-573, P.B.W-443, P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","JHARKAND","DEOGHAR","PALOJORI                                          ","2014-11-18 10:33:01.250"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","Nematodes problem in papaya","Nematodes in papaya
To control the nematode infestation in nursery, apply Carbofuran 3 G @ 1 g/polythene bag after germination.","JHARKAND","DEOGHAR","KAROWN                                            ","2014-11-18 11:23:27.210"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","Application of fertilizers onion","Application of fertilizers
Apply FYM 25 t/ha, Azospirillum 2 kg and Phosphobacteria 2 kg/ha, N 30 kg, P 60 kg and K 30 kg/ha as basal and 30 kg N/ha on 30th day of sowing.","JHARKAND","DEOGHAR","SARATH                                            ","2014-11-18 11:31:14.697"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","DEOGHAR","DEVIPUR                                           ","2014-11-19 12:02:26.480"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","DISEASE OF BRINJAL CROPS","SPRAY CARBENDAZIM @ 2GM/LITER WATER","JHARKAND","DEOGHAR","SARWAN                                            ","2014-11-19 16:07:05.770"
