"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","yellowing of leaves Tomato","yellowing of leaves Tomato-Spray saaf @2gm /lit of water","JHARKAND","EAST SINGHBHUM","BORAM","2014-10-01 06:41:30.647"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","EAST SINGHBHUM","CHAKULIA                                          ","2014-10-02 11:12:37.383"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area & little chance of rain","JHARKAND","EAST SINGHBHUM","CHAKULIA                                          ","2014-10-02 11:14:27.137"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","EAST SINGHBHUM","BAHRAGORA                                         ","2014-10-04 12:43:26.507"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Insect infestation","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","EAST SINGHBHUM","BAHRAGORA                                         ","2014-10-04 12:45:35.840"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Field Preparation	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","EAST SINGHBHUM","BAHRAGORA                                         ","2014-10-04 12:53:47.663"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","EAST SINGHBHUM","BORAM","2014-10-04 15:45:09.953"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","EAST SINGHBHUM","DHALBHUMGARH                                      ","2014-10-05 08:12:06.660"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Insect problem in mango stem","Insect problem in mango stem
Spray in carbaril @ 2 gram per liter water","JHARKAND","EAST SINGHBHUM","MUSABANI                                          ","2014-10-09 15:07:36.180"
"RABI","HORTICULTURE","Vegetables","Radish","Seeds and Planting Material","VARIETY OF RADISH","VARIETY OF RADISH- PUSA CHETKI, PUSA DESI, PUSA HIMANI, PUSA RESMI, JAPANI SAFED","JHARKAND","EAST SINGHBHUM","MUSABANI                                          ","2014-10-09 19:03:49.007"
