"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Varities of Cauliflower","Varities of Cauliflower
Pusa Depali, Cuba Giant, Snow ball","JHARKAND","GARHWA","GARHWA                                            ","2014-10-01 09:10:47.177"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Leaf curling disease in tomato","Leaf curling disease in tomato-Spray metasistox @ 1.5 ml in 1 litre of water","JHARKAND","GARHWA","DANDAI                                            ","2014-10-01 10:55:01.980"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Seeds","Good variety of maize","Good variety of maize- saktiman 1-4, ganga-11, suan, devki, rajendra maka 1","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-10-02 07:56:28.363"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","best variety of cauliflower-","best variety of cauliflower-
 patna aril, pusa katki, pusa dipali, patna men ,pusa subhra","JHARKAND","GARHWA","RAMKANDA                                          ","2014-10-04 10:19:12.043"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Seeds","Variety of mustard –","Variety of mustard –
 rajendra sarson -1, swarna, 66-197-3","JHARKAND","GARHWA","KANDI                                             ","2014-10-04 10:23:13.677"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Varities of Cauliflower","Pusa Depali, Cuba Giant, Snow ball","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-10-05 07:06:11.150"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","disease of tomato","spray carbendazim @ 2gm/liter water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-10-07 07:13:42.853"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER IN FORMATION","TODAY NO CHANCE ON RAIN","JHARKAND","GARHWA","MERAL                                             ","2014-10-07 15:47:49.527"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEATHER","NO RAIN","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-10-07 19:18:39.813"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER IN BINJAL","SPRAY TRIZOPHOS 2ML/LIT OF WATER","JHARKAND","GARHWA","GARHWA                                            ","2014-10-08 15:37:25.483"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN","JHARKAND","GARHWA","MERAL                                             ","2014-10-08 19:47:37.730"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GUNDHI INSECT ATTACK IN RICE","SPRAY MALATHION 50EC 5OO ML/HECT IN 8OOLIT OF WATER","JHARKAND","GARHWA","NAGAR UNTARI                                      ","2014-10-09 10:20:07.580"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information in garhwa","weather information in garhwa-Cloudy weather in your area but no chance of rain","JHARKAND","GARHWA","BISUNPURA","2014-10-09 14:49:43.727"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Potato fertilizer dose-","Potato fertilizer dose-
 compost-150quintal+urea150+dap-80+pottas-50+zn-sulphate-20kg/ha...","JHARKAND","GARHWA","BISUNPURA","2014-10-09 19:16:06.970"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","MOTHA CONTROL","SPRAY GLYPHOSATE 3LIT WITH 2,4D 750ML/HECT","JHARKAND","GARHWA","NAGAR UNTARI                                      ","2014-10-10 15:20:34.217"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","Varities of Cauliflower","Varities of Cauliflower
Pusa Depali, Cuba Giant, Snow ball","JHARKAND","GARHWA","GARHWA                                            ","2014-10-11 06:30:48.367"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Weather information garhwa","Weather information garhwa-Very low Cloudy weather in your area but no chance of rain","JHARKAND","GARHWA","KETAR","2014-10-11 07:13:39.023"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect infestation paddy       
Spray imidachloprid @ 1ml/3lit of water","Insect infestation         
Spray imidachloprid @ 1ml/3lit of water","JHARKAND","GARHWA","GARHWA                                            ","2014-10-11 09:40:47.813"
"RABI","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","variety of tomato","variety of tomato-vaisali, rupali, naveen ,ratna, sweet-72, amirat- 5o1,arkavishal","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-10-11 10:16:14.060"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","varities of onion","varities of onion
Arka niketan, Nasik red, Arka kalyan 76","JHARKAND","GARHWA","GARHWA                                            ","2014-10-11 10:33:08.063"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","time of sowing of onion","time of sowing of onion
Mid July to August","JHARKAND","GARHWA","RANKA                                             ","2014-10-11 10:34:16.060"
"KHARIF","HORTICULTURE","Vegetables","Radish","	Plant Protection	","insect problem in RADISH","insect problem in RADISH-Spray carbaril @ 2 gram in 1 litter of water","JHARKAND","GARHWA","KANDI                                             ","2014-10-11 10:57:49.250"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","yellowing of leaves","yellowing of leaves 
Spray metalyxl @ 2g/lit of water","JHARKAND","GARHWA","KANDI                                             ","2014-10-11 10:59:09.590"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect infestation","clorypiyriphos @ 1 ml par liter pani me mila kar spray kare","JHARKAND","GARHWA","BHANDARIA                                         ","2014-10-12 11:12:02.317"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information in gARHWA","Weather information in gARHWA-Cloudy weather in your area & little chance of rain","JHARKAND","GARHWA","GARHWA                                            ","2014-10-13 06:22:03.843"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Delay in growth in cauliflower","Delay in growth in cauliflower-
  Spray boomflower @ 2 ml in 1 litre of water","JHARKAND","GARHWA","GARHWA                                            ","2014-10-13 06:26:48.960"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect infestation in paddy","Insect infestation         
Spray imidachloprid @ 1ml/3lit of water","JHARKAND","GARHWA","GARHWA                                            ","2014-10-13 07:17:09.463"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information in garhwa","Weather information in garhwa-Cloudy weather in your area & little chance of rain","JHARKAND","GARHWA","NAGAR UNTARI                                      ","2014-10-13 07:27:01.303"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Blast disease in paddy	
Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","GARHWA","NAGAR UNTARI                                      ","2014-10-13 07:45:35.210"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect problem of paddy crops","spray cartap hydrochloride(caldan 4g) @ 7.5kg/acre","JHARKAND","GARHWA","GARHWA                                            ","2014-10-13 07:46:13.900"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Blast disease in paddy	
Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-10-13 08:14:39.747"
"KHARIF","AGRICULTURE","Pulses","Lentil (Masur)","Seeds","varities of masur","varities of masur- arun, HUL--57, NARENDAR MASUR-1","JHARKAND","GARHWA","GARHWA                                            ","2014-10-13 08:18:55.040"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information in garhwa","Weather information in garhwa-Very low Cloudy weather in your area but no chance of rain","JHARKAND","GARHWA","KANDI                                             ","2014-10-13 08:47:37.240"
"KHARIF","AGRICULTURE","Others","Others","Credit","about kisan credit card","please collect your farmers proof data then after meet to your block agriculture officer and get to kcc form and fill the form along with your original documents. and submit in block.","JHARKAND","GARHWA","GARHWA                                            ","2014-10-13 09:48:59.540"
