"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Variety of wheat","Variety of wheat- P.B.W-373, P.B.W-443, P.B.W-573 P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","JHARKAND","GIRIDIH","DEORI                                             ","2014-12-01 14:49:35.993"
"RABI","HORTICULTURE","Vegetables","Radish","Seeds and Planting Material","VARIETY OF RADISH","VARIETY OF RADISH- PUSA CHETKI, PUSA DESI, PUSA HIMANI, PUSA RESMI, JAPANI SAFED","JHARKAND","GIRIDIH","DEORI                                             ","2014-12-01 15:28:24.343"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem in BRINJAL","insect problem in BRINJAL Spray quinqalphos @ 2ml/lit of water","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-12-01 18:24:50.857"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ROTTING DISEASE IN BRINJAL","ROTTING DISEASE IN BRINJAL Spray mencozeb @ 2g/lit of water","JHARKAND","GIRIDIH","BIRNI                                             ","2014-12-01 19:09:09.870"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","LEAF CURLE DISEASE IN TOMATO","SPRAY IN METASISTOX @ 1.5 ML PER LITER OF WATER","JHARKAND","GIRIDIH","BIRNI                                             ","2014-12-01 19:11:10.377"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PROBLEM IN BRINJAL","methyl demeton or dimethoate @ 1 ml in one litre of water","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-12-02 18:40:14.693"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","Varities of Cauliflower","Varities of Cauliflower
Pusa Depali, Cuba Giant, Snow ball","JHARKAND","GIRIDIH","BIRNI                                             ","2014-12-03 12:34:32.640"
"RABI","HORTICULTURE","Vegetables","Sponge Gourd","Seeds and Planting Material","Varieties","Varieties
CO 1, Pusa Summer Prolific long, Pusa, Summer Prolific Round, Pusa Manjari, Pusa Megdoot and Arka Bahar,","JHARKAND","GIRIDIH","DUMRI                                             ","2014-12-03 12:59:11.660"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Seeds and Planting Material","variety in bitter gaurd","variety in bitter gaurd pusa do maushmi,pusa vises,Arka Harit, Priya and Preethi are mainly cultivated.","JHARKAND","GIRIDIH","DUMRI                                             ","2014-12-03 13:03:11.217"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","Spray Mancozeb 75% WP 2 gram/liter of water","JHARKAND","GIRIDIH","BENGABAD                                          ","2014-12-07 07:45:39.467"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","fungi problem in tomato plant","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","GIRIDIH","JAMUA                                             ","2014-12-07 08:05:16.017"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Powdery mildew","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","GIRIDIH","TISRI                                             ","2014-12-07 10:40:58.320"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Late blight disese of potato","Late blight disese of potato
Mancozeb or dithane m-45ka 2 gram dava  1 liter pani me mila kar spray kare","JHARKAND","GIRIDIH","BIRNI                                             ","2014-12-08 10:10:47.933"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","seed treatment kaise karte hai","seed treatment kaise karte hai
You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","JHARKAND","GIRIDIH","BIRNI                                             ","2014-12-08 10:12:14.110"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","insect problem","Spray carbaril @ 2 gram in 1 litter of water","JHARKAND","GIRIDIH","GANDEY                                            ","2014-12-09 13:29:43.367"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","APHID ATTACK IN MUSTARD","SPRAY MALATHION 5OEC 2.5LIT OR CHLOROPYRIPHOS 20EC 600ML/HECT","JHARKAND","GIRIDIH","JAMUA                                             ","2014-12-10 17:28:39.433"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","fertilizer application in cauliflower-","fertilizer application in cauliflower- 
compost200 kg , potash 80 kg, 10-15 kg boron and molybdenum, 1 kg sodium molibdate per hec. ke hisab se chidkaw karen","JHARKAND","GIRIDIH","DHANWAR                                           ","2014-12-12 10:33:16.830"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","seed treatment kaise karte hai","seed treatment kaise karte hai
You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","JHARKAND","GIRIDIH","JAMUA                                             ","2014-12-12 11:12:25.827"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","Potato fertilizer dose-","Potato fertilizer dose-
 compost-150quintal+urea150+dap-80+pottas-50+zn-sulphate-20kg/ha...","JHARKAND","GIRIDIH","JAMUA                                             ","2014-12-12 11:38:05.927"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","insect problem","Spray carbaril @ 2 gram in 1 liter of water","JHARKAND","GIRIDIH","GAWAN                                             ","2014-12-12 13:31:04.297"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-12-14 09:12:51.133"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER","NO RAIN","JHARKAND","GIRIDIH","SARIYA","2014-12-16 15:19:30.710"
"KHARIF","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","FERTILIZER DOSE IN WHEAT","N:P:K AS 80:40:20KG/HECT","JHARKAND","GIRIDIH","BENGABAD                                          ","2014-12-18 11:53:03.293"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Blast disease in WHEAT PLANT","Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","GIRIDIH","JAMUA                                             ","2014-12-20 06:54:28.850"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ROOT AND FRUIT BORER IN BRINJAL","Spray qunolphos @ 2 ml in one liter of water","JHARKAND","GIRIDIH","DEORI                                             ","2014-12-20 10:14:38.760"
"RABI","HORTICULTURE","Condiments and Spices","Turmeric","Seeds and Planting Material","variety of turmeric","variety of turmeric- rajajendra Sonia, R. H- 5, SUGUNA, SUBRNA","JHARKAND","GIRIDIH","GANDEY                                            ","2014-12-20 11:11:34.993"
"RABI","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","yellowing  of leaves ACID lime","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","GIRIDIH","GANDEY                                            ","2014-12-20 11:14:23.390"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","GIRIDIH","BIRNI                                             ","2014-12-21 12:36:14.067"
"RABI","HORTICULTURE","Fruits","Grape","Nutrient Management","about nutrient deficiency of grapes plant","use dhanzyme gold/ nasa(organic manure) as per plant requirement","JHARKAND","GIRIDIH","GAWAN                                             ","2014-12-23 17:31:38.493"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","disease of mango trees","spray carboryl @ 2gm/liter water","JHARKAND","GIRIDIH","DHANWAR                                           ","2014-12-26 20:07:55.730"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","insect problem in guva plant","spray in carbaril @ 2 gram per liter water","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-12-27 12:05:40.743"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","yellowing leaf in guava","SPRAY COPPEROXYCLORIDE @ 2ML IN 1 LITRE + STEPTOCYCLENE @1 ML IN 15 LITRE OF LITRE OF WATER","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-12-27 13:08:27.953"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","wilt disease in gram","Carbendazim 12%  spray Carbendazim 12% @ 2 gm/water","JHARKAND","GIRIDIH","GAWAN                                             ","2014-12-28 11:43:08.870"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","GIRIDIH","DUMRI                                             ","2014-12-29 14:17:33.473"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID ATTACK IN MUSTARD","SPRAY ROGOR OR METHYL O DEMETON 1.5ML/LIT OF WATER","JHARKAND","GIRIDIH","SARIYA","2014-12-31 09:48:48.207"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","yellowing of leaves","Mancozeb or dithane m-45ka 2 gram dava  1 liter pani me mila kar spray kare","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-12-31 10:48:06.947"
