"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","INSECT PROBLEM IN TOMATO PLANT","spray triazophos @ 2ml in 1 litre of water","JHARKAND","HAZARIBAGH","CHOUPARAN                                         ","2014-10-01 07:00:49.417"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Yellow Vein Mosaic","Yellow Vein Mosaic 
controlled by application of Chlorpyriphos 2.5 ml + neem oil 2 ml lit of water","JHARKAND","HAZARIBAGH","KATKAMDAG","2014-10-01 08:33:20.443"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","fertilizer application in banana-","fertilizer application in banana-
sada gobar- 20 kilo, andi ki khalli,1kg, ssp-300 gram, mop-500 gran per plant","JHARKAND","HAZARIBAGH","TATIJHARIA","2014-10-01 11:41:28.417"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","cutting of plant at the rroot leval","apply carfurane @ 2 gm / plant","JHARKAND","HAZARIBAGH","KEREDARI                                          ","2014-10-01 17:33:16.787"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Fruit droping problem in BRINJAL","Fruit droping problem in mango-Planofix @1ml/ 4.5- 5 liter of   water ke dar se spray kare","JHARKAND","HAZARIBAGH","ICHAK                                             ","2014-10-02 06:26:28.210"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast disease in paddy","blast disease in paddy                                                   Spray tricyclazole @ 2g/lit of water","JHARKAND","HAZARIBAGH","KEREDARI                                          ","2014-10-02 11:07:06.443"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-02 13:04:29.373"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","bilght of potato","bilght of potato-spray saaf/ridomil 2 gm/lt. water","JHARKAND","HAZARIBAGH","ICHAK                                             ","2014-10-03 10:39:17.130"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information Hazaribag","weather information
A thunderstorm in spots this morning followed by a couple of thunderstorms around this afternoon","JHARKAND","HAZARIBAGH","CHURCHU                                           ","2014-10-03 11:51:42.663"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","VARIETY IN POTATO","VARIETY IN POTATO-KUFRI ALANKAR,BADSAHA","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-04 10:14:16.947"
"RABI","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","Best variety of brinjal","Best variety of brinjal
-rajendra baigan-2, pant baigan, punjab sadabahar, sonali, pusa purple long, pusa anmol, arka navneet","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-04 10:22:31.383"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area & little chance of rain","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-05 08:16:06.817"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","HAZARIBAGH","KATKAMDAG","2014-10-05 08:29:50.180"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","disease of tomato crops","spray copper oxychloride @ 2gm/liter water","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-08 13:16:40.353"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLAST OF PADDY","BLAST OF PADDY-Spray mancozeb @2gm/liter water","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-09 14:35:49.857"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect infestation in paddy","insect infestation in paddy Spray imidachlroprid @1ml/3liter of water","JHARKAND","HAZARIBAGH","BARKATHA                                          ","2014-10-09 15:33:16.623"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER IN BRINJAL","SPRAY IMIDACHLOROPID 1ML/3LIT OF WATER","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-09 15:48:22.187"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","Variety of onion","Variety of onion- agrifand light red, pusa red, nasik red, arka niketan, patna red","JHARKAND","HAZARIBAGH","CHOUPARAN                                         ","2014-10-09 15:50:15.867"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information hazaribag","weather information hazaribag-Cloudy weather in your area but no chance of rain","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-09 17:19:58.100"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER IN BRINJAL","SPRAY IMIDACHLOROPID 1ML/3LIT OF WATER WITH MULTIMICRONUTIRNET 3ML/LIT OF WATER","JHARKAND","HAZARIBAGH","BARKATHA                                          ","2014-10-09 17:59:00.960"
"KHARIF","HORTICULTURE","Vegetables","Tumba","	Plant Protection	","yellowing of leaves TOMATO","yellowing of leaves 
Spray metalyxl @ 2g/lit of water","JHARKAND","HAZARIBAGH","SADAR                                             ","2014-10-09 20:20:33.403"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","disease of tomato","spray copper oxychloride 50%wp @ 300gm/acre","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-10 09:01:33.380"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Delay in growth paddy","Delay in growth paddy-Spray saaf @2gm /lit of water","JHARKAND","HAZARIBAGH","KATKAMDAG","2014-10-10 14:44:05.853"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Seeds and Planting Material","variety of bhindi","variety of bhindi-arka abhay, arka anamika, bersha uphar, okra-4","JHARKAND","HAZARIBAGH","CHOUPARAN                                         ","2014-10-10 15:37:26.290"
"RABI","HORTICULTURE","Vegetables","Radish","Seeds and Planting Material","VARIETY OF RADISH","VARIETY OF RADISH- PUSA CHETKI, PUSA DESI, PUSA HIMANI, PUSA RESMI, JAPANI SAFED","JHARKAND","HAZARIBAGH","KEREDARI                                          ","2014-10-10 16:44:02.360"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","FRUIT DROPING IN TOMATO","SPRAY PLANOFIX 1ML/4.5LIT OF WATER","JHARKAND","HAZARIBAGH","BARKAGAON                                         ","2014-10-10 18:51:21.993"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Flower dropping Tomato","Flower dropping Tomato-Spray planofix @ 1 ml in 4.5- 5 liter of water","JHARKAND","HAZARIBAGH","BISHNUGARH                                        ","2014-10-11 11:19:07.983"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","HAZARIBAGH","SADAR                                             ","2014-10-11 16:00:34.213"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight of potato","Spray  saff @ 2g/lit of water","JHARKAND","HAZARIBAGH","KATKAMDAG","2014-10-11 16:06:37.743"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","HAZARIBAGH","KATKAMDAG","2014-10-12 10:20:01.923"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area & little chance of rain","JHARKAND","HAZARIBAGH","KATKAMDAG","2014-10-12 10:21:11.757"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","HAZARIBAGH","CHURCHU                                           ","2014-10-12 11:00:37.627"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","blight disease in potato-spray saaf/ridomil 2 gm/lt. water","JHARKAND","HAZARIBAGH","ICHAK                                             ","2014-10-12 18:39:25.077"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","flowering problem in pumpkin","flowering problem in pumpkin	
Spray mirakulon 2 ml/lt. water after afternoon","JHARKAND","HAZARIBAGH","CHOUPARAN                                         ","2014-10-12 18:47:10.723"
"KHARIF","HORTICULTURE","Fruits","Chestnut","	Plant Protection	","FRUIT DROPPING CHESTNUT","FRUIT DROPPING CHESTNUT-spray planofix 1 ml per 4.5-5 li. of water","JHARKAND","HAZARIBAGH","SADAR                                             ","2014-10-12 18:57:20.750"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","yellow colour in arhar","yellow colour in arhar-spray saaf/ridomil 2 gm/lt. water","JHARKAND","HAZARIBAGH","SADAR                                             ","2014-10-12 18:59:24.417"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","blight disease in potato-Spray
 mencozeb @ 2gm/lit of water","JHARKAND","HAZARIBAGH","BARKATHA                                          ","2014-10-13 11:27:37.093"
"KHARIF","AGRICULTURE","Others","Others","Credit","about kisan credit card","please collect your farmers proof data then after meet to your block agriculture officer and get to kcc form and fill the form along with your original documents. and submit in block.","JHARKAND","HAZARIBAGH","BARKATHA                                          ","2014-10-13 11:48:28.953"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect infestation in paddy","Insect infestation         
Spray imidachloprid @ 1ml/3lit of water","JHARKAND","HAZARIBAGH","BISHNUGARH                                        ","2014-10-14 07:00:11.410"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","blight disease in potato-Spray mencozeb @ 2g/lit of water","JHARKAND","HAZARIBAGH","ICHAK                                             ","2014-10-14 07:27:45.563"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","SHEATH BLIGHT DISEASE IN PADDY","SHEATH BLIGHT DISEASE IN PADDY- spray hexaconazole @ 1ml/liter of water","JHARKAND","HAZARIBAGH","ICHAK                                             ","2014-10-14 07:29:15.930"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER","NO RAIN","JHARKAND","HAZARIBAGH","BARKATHA                                          ","2014-10-14 19:28:57.483"
