"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","inscet infestation","Spray imidachlorpid @ 2 ml in 1 litre of water","JHARKAND","KODARMA","","2014-08-02 07:38:53.000"
"","AGRICULTURE","Millets","Maize (Makka)","","Good variety of maize","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","JHARKAND","KODARMA","","2014-08-02 15:59:54.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Good variety of okra","Good variety of okra- prabhani kranti, arka abhay, arka anamika","JHARKAND","KODARMA","","2014-08-02 16:00:39.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","variety of paddy for upper land-","variety of paddy for upper land- turanta, prabhat, richariya, and saroj","JHARKAND","KODARMA","","2014-08-02 16:01:24.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Rotting problem","Spray copper oxychloride @ 2g/lit of water","JHARKAND","KODARMA","","2014-08-02 19:25:20.000"
"","AGRICULTURE","Others","Others","","variety of paddy for upper land-","variety of paddy for upper land-turanta, prabhat, richariya, and saroj","JHARKAND","KODARMA","","2014-08-02 19:27:22.000"
"","AGRICULTURE","Others","Others","","Variety of paddy for medium land","Variety of paddy for medium landsita, kanak, I R-36, rajendra sweta, santosh, sahbhagi","JHARKAND","KODARMA","","2014-08-02 19:28:07.000"
"","HORTICULTURE","Vegetables","Brinjal","","Yellowing of leaves","spray in copper oxichloride @ 2 gm/water","JHARKAND","KODARMA","KODERMA                                           ","2014-08-03 18:03:41.000"
"","AGRICULTURE","Others","Others","","Nutreat management in soil","Spray multi micro nutrients @ 2 ml in 1 litre of water","JHARKAND","KODARMA","KODERMA                                           ","2014-08-03 18:04:25.000"
"","AGRICULTURE","Others","Others","","weather information","???? ???? ??? ????? ???? ?? ?????? ???? ??","JHARKAND","KODARMA","","2014-08-04 08:57:53.000"
"","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","LEAF CURL IN BITTERGOURD","SPRAY IMIDACHLOROPID 1ML/3LIT OF WATER","JHARKAND","KODARMA","","2014-08-04 14:14:08.000"
"","AGRICULTURE","Others","Others","","weather information","no rain in your area","JHARKAND","KODARMA","","2014-08-04 19:57:51.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect infestation in paddy crops","insect infestation in paddy crops-Spray IMIDACHLROPRID @1ML/3LITER OF WATER","JHARKAND","KODARMA","","2014-08-05 09:53:47.000"
