"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","Variety of tomato-","Variety of tomato-
rupali, pusa gaurav, labonita, punjab keshri","JHARKAND","KODARMA","DOMCHANCH","2014-11-01 15:09:45.183"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","BLIGHT DISEASE IN POTATO","BLIGHT DISEASE IN POTATO-Spray mencozeb @ 2g/lit of water","JHARKAND","KODARMA","CHANDWARA                                         ","2014-11-01 17:15:34.947"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","fruit cracking in tomato","fruit cracking
Spray borex @ 2g/lit of water","JHARKAND","KODARMA","JAINAGAR                                          ","2014-11-03 13:02:56.817"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","information weather kodarma","information weather kodarma Cloudy weather in your of rain area but no chance","JHARKAND","KODARMA","KODERMA                                           ","2014-11-04 06:44:01.413"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","weed management in wheat","weed management in wheat use in pendimethline 30 EC @ 3 gram 700 liter of water at 2 3 days after sowing.","JHARKAND","KODARMA","SATGAWAN                                          ","2014-11-06 18:01:39.040"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","root and shoot borer in brinjal","root and shoot borer in brinjal Spray quinqalphos @ 2ml/lit of water","JHARKAND","KODARMA","MARKACHO                                          ","2014-11-07 06:23:04.970"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","BLIGHT DISEASE IN POTATO","BLIGHT DISEASE IN POTATO Spray mencozeb @ 2g/lit of water","JHARKAND","KODARMA","CHANDWARA                                         ","2014-11-08 19:35:14.007"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","blight disease in potato","blight disease in potato Spray mencozeb @ 2g/lit of water","JHARKAND","KODARMA","DOMCHANCH","2014-11-09 07:22:59.463"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PROBLEM IN BRINJAL PLANT","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","KODARMA","KODERMA                                           ","2014-11-12 09:32:40.077"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","disease of potato crops","spray mancozeb @ 2gm/liter water","JHARKAND","KODARMA","KODERMA                                           ","2014-11-12 19:30:10.090"
