"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Seeds","VARIETY OF SARSON","VARIETY OF SARSON- RAJENDRA SARSON-1, SWARNA","JHARKAND","LATEHAR","CHANDWA                                           ","2014-11-01 18:39:22.360"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem in brinjal","insect problem in brinjal spray imidachlorpid @ 1 ml / 3 lt of water","JHARKAND","LATEHAR","BALUMATH                                          ","2014-11-04 07:47:15.600"
"RABI","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","fertilizer doses in mango","fertilizer doses in mango- NPK- 1000:300:700 GRAM+ VERMICOMPOST
PER TREE","JHARKAND","LATEHAR","BARWADIH                                          ","2014-11-06 19:35:46.093"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","insect problem in cauliflower","Spray triazophos @ 2ml/lit of water","JHARKAND","LATEHAR","BALUMATH                                          ","2014-11-09 14:32:25.697"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information in latehar","Weather information in latehar Very low Cloudy weather in your area but no chance of rain","JHARKAND","LATEHAR","BARWADIH                                          ","2014-11-10 06:28:55.463"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PRPBLEM IN BRINJAL,PLANT","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-11-13 06:24:54.027"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","insect problem","Spray triazophos @ 2ml/lit of water","JHARKAND","LATEHAR","BARWADIH                                          ","2014-11-13 08:03:49.940"
"RABI","HORTICULTURE","Vegetables","Radish","Seeds and Planting Material","Varieties OF Radish","Varieties OF Radish
Pusa Desi, Pusa Chetki, Pusa Reshmi, Japanese White, Punjab Safed,                         Kalianpur No. 1, Arka Nishant, Pusa Himani","JHARKAND","LATEHAR","LATEHAR                                           ","2014-11-13 08:09:51.853"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-11-13 11:43:03.870"
"RABI","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","INSECT PROBELM IN PUMPKIN","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","LATEHAR","BARWADIH                                          ","2014-11-13 12:28:15.647"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-11-19 08:11:09.590"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","LATEHAR","BARWADIH                                          ","2014-11-19 09:55:09.460"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","Seed rate information  in onion","Seed rate-onion
10 kg/ha seeds are required for a hectare.","JHARKAND","LATEHAR","BARWADIH                                          ","2014-11-19 10:39:43.717"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","fungi probelm in onion plant","Spray saaf @ 2 ml in 1 litre of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-11-20 10:42:37.313"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","variety in potato","variety in potato khufari badsah,alankar,joyti,ashoka","JHARKAND","LATEHAR","BARWADIH                                          ","2014-11-23 06:46:55.023"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","JHARKAND","LATEHAR","BALUMATH                                          ","2014-11-23 08:28:40.310"
