"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil testing ke leye soil kaise lena hai","soil testing ke leye soil kaise lena hai
???? ??? ?? ?????? ???? ?? , ??? ?? ?????? ?? 1 ????  ????? 1 ??? ?? ??? ????? ?? ???? ??? ??? ?? ???? ?????? ???? ??, ??? ??? ?? ?????? ??? ???? ???? ??? ??? ???? ?????? ??????? ?? !","JHARKAND","LOHARDAGA","LOHARDAGA                                         ","2014-10-11 10:30:38.050"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","varities of onion","varities of onion
Arka niketan, Nasik red, Arka kalyan 76","JHARKAND","LOHARDAGA","KAIRO","2014-10-11 14:16:03.180"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","ABOUT VARIETY NAME OF WHEAT","VARIETY NAME - HD-2733, PBW-343, K-9107 , UP-262,HP-1731","JHARKAND","LOHARDAGA","SENHA                                             ","2014-10-16 11:11:10.787"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","LOHARDAGA","KISKO                                             ","2014-10-18 14:07:04.747"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area & little chance of rain","JHARKAND","LOHARDAGA","KISKO                                             ","2014-10-18 14:08:28.943"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","yellowing of leaves CHILLIES","yellowing of leaves CHILLIES-Spray mencozeb @ 2g/lit of water","JHARKAND","LOHARDAGA","KISKO                                             ","2014-10-19 07:06:23.080"
"KHARIF","AGRICULTURE","Pulses","Lentil (Masur)","Seeds","VARIETIES OF LENTIL","VARIETIES OF LENTIL: B. R.-25, P. L.-406, MALLIKA, ARUN, P. L. -639, H.U.L.-57, K.L.H-218, NARENDRA MUSOOR-1","JHARKAND","LOHARDAGA","KISKO                                             ","2014-10-19 07:07:56.017"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT DISEASE IN PADDY","SHEATH BLIGHT DISEASE IN PADDY- spray hexaconazole @ 1ml/liter of water","JHARKAND","LOHARDAGA","LOHARDAGA                                         ","2014-10-19 08:15:52.927"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","LOHARDAGA","BHANDRA                                           ","2014-10-21 14:59:47.747"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","LOHARDAGA","KURU                                              ","2014-10-28 08:38:21.763"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","LOHARDAGA","KURU                                              ","2014-10-28 08:42:56.520"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","insect problem in pea","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","LOHARDAGA","KURU                                              ","2014-10-28 09:47:01.883"
"KHARIF","HORTICULTURE","Vegetables","Radish","	Plant Protection	","VARIETY OF RADISH","VARIETY OF RADISH- PUSA CHETKI, PUSA DESI, PUSA HIMANI, PUSA RESMI, JAPANI SAFED","JHARKAND","LOHARDAGA","LOHARDAGA                                         ","2014-10-30 10:11:07.127"
"RABI","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","VARIETY IN TOMATO-","VARIETY IN TOMATO-PUSA RUBY,PUSA-120,PUSA SEETAL,PUSA GAURAV","JHARKAND","LOHARDAGA","KAIRO","2014-10-30 15:26:44.437"
