"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","leaf curling in chillies","leaf curling in chillies Spray metasistox @ 1.5 ml in 1 litre of water","JHARKAND","PALAMU","CHAINPUR                                          ","2014-12-01 15:34:28.117"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","yellowing of leaves onion","yellowing of leaves onion Spray mencozeb @ 2g/lit of water","JHARKAND","PALAMU","HAIDERNAGAR                                       ","2014-12-01 16:05:35.207"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","VARIETY OF ONION-","VARIETY OF ONION- PATNA RED, NASIK RED, Arka niketan, Arka kalyan 76","JHARKAND","PALAMU","HUSSAINABAD                                       ","2014-12-01 19:00:28.397"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","INSECT PROBLEM IN POTATO","methyl demeton or dimethoate @ 1 ml in one litre of water","JHARKAND","PALAMU","CHAINPUR                                          ","2014-12-02 14:58:23.633"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","NO FRUIT IN PAPAYA PLANT","DUE TO MALE FLOWER PLANT.","JHARKAND","PALAMU","NAWABAZAR","2014-12-02 17:17:37.393"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","FUNGI PROBLEM IN ONION PLANT","spray Carbendazim 12% @ 2 gm/water","JHARKAND","PALAMU","PANKI                                             ","2014-12-02 17:55:51.620"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Variety of wheat","Variety of wheat- P.B.W-373, P.B.W-443, P.B.W-573 P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","JHARKAND","PALAMU","BISHRAMPUR                                        ","2014-12-03 10:37:43.013"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","INSECT PROBLEM IN MAIZE GABHA","INSECT PROBLEM IN MAIZE GABHA USE IN CARBOFURAN 10-12 GRAINS PER GABHA","JHARKAND","PALAMU","BISHRAMPUR                                        ","2014-12-03 15:20:52.707"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","LEAF ROLER IN BHINDI","SPRAY IMIDACHLOROPID 1ML/3LIT OF WATER","JHARKAND","PALAMU","MOHMMADGANJ","2014-12-03 19:08:36.150"
"RABI","HORTICULTURE","Fruits","Acid Lime","Fertilizer Use and Availability","Manures and fertilizers per plant","Manures and Fertilizers
 Ist  year 
 Annual increase 
 From 6th year
 
FYM
 10 kg 
 5 kg    
 30 kg 
 
N
 200 g
 100 g 
 600 g
 
P
 100 g
 25 g 
 200 g
 
K
 100 g
 40 g 
 300 g","JHARKAND","PALAMU","NAWABAZAR","2014-12-04 08:42:59.733"
