"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect infestation in PADDY","Spray imidachlroprid @1ml/3liter of water","JHARKAND","RAMGARH","RAMGARH                                           ","2014-10-01 06:45:46.773"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Weather","WEATHER","NO RAIN","JHARKAND","RAMGARH","GOLA                                              ","2014-10-07 19:11:44.413"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Seeds and Planting Material","VARIETIES AND FERTILIZER OF PEA","VARIETIES ARE ARKIL,ARLIVIJNER,JWAHAR MATAR-3,ARLI JANT,SEED RATE ARE 40-50KG/HECT,N:P:K AS 50:60:60KG/HECT","JHARKAND","RAMGARH","RAMGARH                                           ","2014-10-09 09:40:30.680"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN BUT RAIN WILL BE 12 OCT","JHARKAND","RAMGARH","MANDU                                             ","2014-10-09 13:45:49.653"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","Varieties in potato","Varieties 
Kufri Jyoti, Kufri Muthu, Kufri Swarna, Kufri Thangam, Kufri Malar, Kufri Soga and Kufri Giriraj are commonly cultivated.","JHARKAND","RAMGARH","MANDU                                             ","2014-10-09 16:02:12.640"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","insect problem of cucumber","spray imidachloprid @ 1ml/3liter water","JHARKAND","RAMGARH","RAMGARH                                           ","2014-10-10 10:48:07.367"
"KHARIF","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","seed rate and spacing of potato crops","seed rate- 30qnt. / ha and spacing- row to row- 50cm, plant to plant- 15cm","JHARKAND","RAMGARH","MANDU                                             ","2014-10-10 13:31:51.360"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","FRUIT BORER IN TOMATO","SPRAY ROGOR 1.5ML/LIT OF WATER WITH MULTIMICRONUTRIENT3ML/LIT","JHARKAND","RAMGARH","DULMI","2014-10-10 16:09:54.590"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem tomato","Rotting problem tomato-Spray copper oxychloride @ 2g/lit of water","JHARKAND","RAMGARH","MANDU                                             ","2014-10-11 10:19:17.663"
"RABI","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","VARIETY OF chilli –","VARIETY OF chilli –
Punjab lal, pant chilli-3, agni rekha, Krishna, arka lohit, pusa jwala, pusa sadabahar","JHARKAND","RAMGARH","DULMI","2014-10-11 11:33:53.893"
"RABI","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","Best variety of brinjal","Best variety of brinjal
-rajendra baigan-2, pant baigan, punjab sadabahar, sonali, pusa purple long, pusa anmol, arka navneet","JHARKAND","RAMGARH","DULMI","2014-10-11 11:42:07.930"
"RABI","HORTICULTURE","Vegetables","Radish","Seeds and Planting Material","VARIETY OF RADISH","VARIETY OF RADISH- PUSA CHETKI, PUSA DESI, PUSA HIMANI, PUSA RESMI, JAPANI SAFED","JHARKAND","RAMGARH","DULMI","2014-10-11 12:12:36.920"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","weather information-A thunderstorm in spots this morning followed by a couple of thunderstorms around this afternoon","JHARKAND","RAMGARH","RAMGARH                                           ","2014-10-12 20:17:52.417"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information in ramgarh","Weather information in ramgarh- Cloudy weather in your area & little chance of rain","JHARKAND","RAMGARH","MANDU                                             ","2014-10-13 10:18:34.307"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Varieties","VARIETY OF OILSEED","BHAWANI/PARWATI/SANGAM/ANURADHA","JHARKAND","RAMGARH","CHITARPUR","2014-10-14 07:48:01.280"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DEAD HEART IN PADDY","SPRAY ROGOR 2ML/LIT OF WATER","JHARKAND","RAMGARH","RAMGARH                                           ","2014-10-14 20:04:48.963"
