"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PROBLEM IN BRINJAL PLANT","Spray methyl demeton or dimethoate@ 1 ml in one liter of water","JHARKAND","RANCHI","NAGRI","2014-09-02 15:00:06.193"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PROBLEM IN BRINJAL PLANT","Spray methyl demeton or dimethoate@ 1 ml in one liter of water","JHARKAND","RANCHI","NAGRI","2014-09-02 15:00:06.193"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","claoudy in nature but no chance of rain","JHARKAND","RANCHI","NAGRI","2014-09-02 15:02:18.207"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","claoudy in nature but no chance of rain","JHARKAND","RANCHI","NAGRI","2014-09-02 15:02:18.207"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","JHARKAND","RANCHI","RAHE","2014-09-03 12:34:17.550"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information in ranchi","weather information in ranchi-Cloudy weather in your area but no chance of rain","JHARKAND","RANCHI","RATU                                              ","2014-09-04 07:06:52.957"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Yellowing of leaves Brinjal","Yellowing of leaves Brinjal-spray in copper oxichloride @ 2 gm/water","JHARKAND","RANCHI","SONAHATU                                          ","2014-09-04 08:26:16.203"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect infestation in paddy","insect infestation in paddy You should use chloropyriphosh@2ml/ litar of water","JHARKAND","RANCHI","KHALARI","2014-09-04 08:35:47.180"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","insect infestation in BHINDI","Spray imidachlroprid @1ml/3liter of water","JHARKAND","RANCHI","BERO                                              ","2014-09-04 10:17:47.990"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","RANCHI","BERO                                              ","2014-09-04 11:44:58.080"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","INSERCT PROBELM IN BHINDI","Spray imidachlroprid @1ml/3liter of water","JHARKAND","RANCHI","RATU                                              ","2014-09-04 11:47:50.910"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","INSECT PROBLEM IN BHINDI PLANT","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","RANCHI","RATU                                              ","2014-09-05 06:31:42.963"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PROBLEM IN BRINJAL","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","RANCHI","RAHE","2014-09-05 10:51:21.580"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","RANCHI","ANGARA                                            ","2014-09-05 12:19:18.360"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","INSECT PROBELM IN BHINDI PLANT","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","RANCHI","RATU                                              ","2014-09-06 13:10:11.570"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","VARIETY","HIMANI,SWATI,SUMMER KING","JHARKAND","RANCHI","NAMKUM                                            ","2014-09-06 17:10:14.827"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Cultural Practices","yellowing of leaves","Spray mencozeb @ 2gm/lit of water","JHARKAND","RANCHI","RAHE","2014-09-07 06:28:01.747"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information in ranchi","Weather information in ranchi-Sep 8
Clouds and sun 82°Lo 70","JHARKAND","RANCHI","ITKI","2014-09-08 16:43:08.267"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","Insect infestation","Spray triazophos @ 2ml/lit of water","JHARKAND","RANCHI","RAHE","2014-09-09 14:34:18.673"
