"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","JHARKAND","SAHIBGANJ","RAJMAHAL                                          ","2014-11-04 16:43:41.117"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","SAHIBGANJ","BORIO                                             ","2014-11-04 20:02:10.060"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","insect problem in peas","insect problem in peas spray  IMIDACHLROPRID @1ML/3LITER OF WATER","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-11-06 16:46:13.783"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","POD BORER IN PEA","SPRAY ROGOR 2ML/LIT OF WATER","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-11-06 17:06:04.220"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Late blight of potato","Late blight of potato SPRAY IN MANCOZEB 2 GRAM PER LITER WATER","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-11-06 18:03:31.000"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","Spray quinalphos@ 1 ml in 1 litre of watera","JHARKAND","SAHIBGANJ","BORIO                                             ","2014-11-07 08:48:09.757"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ROOT BORER IN BRINJAL","ROOT BORER IN BRINJAL Use Carbofuran @ 10-15 grains in gabha","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-11-13 09:45:44.043"
"RABI","AGRICULTURE","Others","Others","Weather","weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","SAHIBGANJ","BORIO                                             ","2014-11-13 09:57:56.343"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","LEAF CURLING DISEASE IN TOMATO","LEAF CURLING DISEASE IN TOMATO SPRAY ROGAR @ 1.5 ML PER LITER WATER","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-11-13 10:33:24.530"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","SAHIBGANJ","BORIO                                             ","2014-11-19 10:43:59.627"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","INSECT PROBLEM OF URD BEAN","SPRAY TRIAZOPHOS @ 1ML/2LITER WATER","JHARKAND","SAHIBGANJ","BORIO                                             ","2014-11-19 14:45:39.153"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","insect problem","Spray cloropyriphos @ 2 ml in 1 litre of water","JHARKAND","SAHIBGANJ","MANDRO                                            ","2014-11-27 15:41:41.790"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","yellowing  of leaves","¬¬¬¬¬¬¬¬¬Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-11-29 07:16:22.953"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area but no chance of rain","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-11-29 07:18:26.167"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","APPLICATION OF MICRONUTRIENT","APPLICATION OF MICRONUTRIENT 

•12.5 kg of micronutrient mixture formulated by the Department of Agriculture, Tamil Nadu, mixed with sand to make a total quantity of 50 kg/ha is to be applied. 
•Apply TNAU MN mixture @ 30 kg /ha as Enriched FYM (Prepare enriched FYM at 1:10 ratio of MN mixture & FYM ; mix at friable moisture &incubate for one month in shade).
•(or) 5 kg Zn + 40 kg S + 1.5 kg B in deficient soils.
•Zinc sulphate @ 37.5 kg/ha is recommended for hybrid maize in Zn deficient soils 
•Apply the mixture over the furrows and two thirds in the top of ridges, if ridge planting is followed. 
•If bed system of sowing is followed, apply the micronutrient mixture over the furrows. 
•Do not incorporate the micronutrient mixture in the soil.","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-11-29 07:34:33.233"
