"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information sahibganj","weather information 
A thunderstorm in spots  sahibganjthis morning followed by a couple of thunderstorms around this afternoon","JHARKAND","SAHIBGANJ","RAJMAHAL                                          ","2014-10-03 12:00:31.960"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information shibganj","Today

Oct 2



Partly sunny with a t-storm
31°Lo 20°","JHARKAND","SAHIBGANJ","RAJMAHAL                                          ","2014-10-03 12:03:08.200"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","White backed plant hopper: Sogatella furcifera","•Fipronil 5% SC 1000-1500 ml/ha","JHARKAND","SAHIBGANJ","BORIO                                             ","2014-10-04 07:42:17.467"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-10-04 12:27:33.217"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information SHAIBGANJ","Weather information SHAIBGANJ-Very low Cloudy weather in your area but no chance of rain","JHARKAND","SAHIBGANJ","PATHNA                                            ","2014-10-09 21:03:09.220"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Variety of wheat-","Variety of wheat- P.B.W-373,573,443,343,154,HD-2733","JHARKAND","SAHIBGANJ","UDHWA                                             ","2014-10-10 15:00:33.787"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DISEASE IN","Spray mancozeb @2gm/liter water","JHARKAND","SAHIBGANJ","BARHAIT                                           ","2014-10-11 08:53:06.357"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area & little chance of rain","JHARKAND","SAHIBGANJ","TALJHARI                                          ","2014-10-12 06:37:59.067"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast disease in paddy","Spray Tricyclazole 75% wp @ 2g/lit of water","JHARKAND","SAHIBGANJ","TALJHARI                                          ","2014-10-12 06:39:42.003"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect infestation in brinjal","Spray imidachlroprid @1ml/3liter of water","JHARKAND","SAHIBGANJ","MANDRO                                            ","2014-10-15 10:20:05.207"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","about plant growth regulator","spray paushak @ 2ml/liter water in vegetables crop","JHARKAND","SAHIBGANJ","MANDRO                                            ","2014-10-15 11:07:51.850"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","SAHIBGANJ","MANDRO                                            ","2014-10-18 16:38:10.190"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","insect problem in beans","Spray asifet @ 1 ml in 1 litre of water","JHARKAND","SAHIBGANJ","BORIO                                             ","2014-10-21 11:35:37.800"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem in brinjal","insect problem in brinjal-Spray imidachloprid @ 1ml/3lit of water","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-10-21 11:58:48.570"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dead heart in rice","spray rogor @2ml/lit of water","JHARKAND","SAHIBGANJ","SAHIBGANJ                                         ","2014-10-21 18:49:23.793"
