"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem in tomato","Rotting problem in tomato-Spray copper oxychloride @ 2g/lit of water","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-01 14:15:43.000"
"","AGRICULTURE","Others","Others","","weather informatoion saraikela kharsawa","weather informatoion saraikela kharsawa-chance of rain","JHARKAND","SERAIKELA","CHANDIL                                           ","2014-08-01 18:00:40.000"
"JAYAD","AGRICULTURE","Others","Others","","weather informatoion","Chance of precipitation to some extent in your area","JHARKAND","SERAIKELA","CHANDIL                                           ","2014-08-02 11:33:40.000"
"","AGRICULTURE","Others","Others","","weather information saraikela kharsawa","weather information saraikela kharsawa-chance of rain","JHARKAND","SERAIKELA","ICHAGARH                                          ","2014-08-02 16:42:53.000"
"","AGRICULTURE","Others","Others","","Weed problem in barren land","Weed problem in barren land-Spray Glyphosate 41% SL @ 2 ml in 1 litre of water","JHARKAND","SERAIKELA","ICHAGARH                                          ","2014-08-02 16:44:19.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Seeds","Good variety of maize","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","JHARKAND","SERAIKELA","ICHAGARH                                          ","2014-08-02 16:47:26.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Seeds and Planting Material","Good variety of okra","Good variety of okra- prabhani kranti, arka abhay, arka anamika, versa uphar,Punjab-7, okra-4","JHARKAND","SERAIKELA","ICHAGARH                                          ","2014-08-03 16:06:04.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather information","Mostly cloudy with showers and thunderstorms
Max UV Index: N/A
Thunderstorms: 58%
Precipitation: 27 mm
Rain: 27 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 5 hrs
Hours of Rain: 5 hrs","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-03 19:32:59.000"
"","HORTICULTURE","Vegetables","Chillies","","yellowing of leaves","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","SERAIKELA","NIMDEEH                                           ","2014-08-04 10:10:23.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","","yellowing of leaves","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","SERAIKELA","NIMDEEH                                           ","2014-08-04 10:11:35.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER IN BRINJAL","SPRAY IMIDACHLOROPID 1ML/3LIT OF WATER","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-04 20:18:00.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","•	VARIEITES OF MEDIUM LAND OF PADDY","VARIETIES ARE RAJENDRA BHAGWATI,SITA,KANAK","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-04 20:22:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT PROBLEM","SPRAY ROGOR 2ML/LIT OF WATER","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-06 19:36:08.000"
"","HORTICULTURE","Flowers","China Astor","	Plant Protection	","STEM ROT IN ROSE","SPRAY MANCOZEB 2.5GRAM/LIT OF WATER","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-06 20:08:21.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","WEED PROBLEM IN DHAN","SPRAY NOMINI GOLD @ 100 ML PER 150 LITRE OF WATE","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-07 12:20:39.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","LEAF CURL IN TOMATO","SPRAY IMIDACHLOROPID 1ML/3LIT OF WATER","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-07 18:42:51.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","•	WEED CONTROL IN PADDY?","SPRAY BUTACHLOR 3LIT/HECT WITH 8OO LIT OF WATER AFTER 2-3 DAYS FROM SOWING TIME FOR WEED CONTROL","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-07 18:45:51.000"
"","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","•	VARIETIES OF BRINJAL","VARIETIES ARE RAJENDRA BAIGON-2,RAJENDRA ANNPURNA,PUSA ANMOL,ARKA NAVNEET","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-07 18:47:36.000"
"","AGRICULTURE","Others","Others","Training and Exposure Visits","•	TRAINIG FOR MASHROOM","CONTACT TO BIRSA AGRICULTURE UNIVERSITY FOR MASHROOM TRANING","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-07 18:52:50.000"
"JAYAD","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","yellowing of leaf cucumber","yellowing of leaf cucumber-spray saff@2gm/lit.water","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-08 16:20:03.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN BUT SURROUNDING CLOUD","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-08 18:29:28.000"
"","AGRICULTURE","Others","Others","","weather information","little chance of rain in you area","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-09 19:33:05.000"
"","AGRICULTURE","Millets","Maize (Makka)","","Good variety of maize","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-09 19:34:54.000"
"","HORTICULTURE","Vegetables","Brinjal","","inset infestaion","Spray imidachlorpid @ 1 ml in 3 litre of water","JHARKAND","SERAIKELA","GAMARHIA                                          ","2014-08-10 17:55:41.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","","Rotting problem","Spray copper oxychloride @ 2g/lit of water","JHARKAND","SERAIKELA","GAMARHIA                                          ","2014-08-10 17:56:37.000"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","YELLOWING LEAF IN CUCUMBER","YELLOWING LEAF IN CUCUMBER-","JHARKAND","SERAIKELA","CHANDIL                                           ","2014-08-23 14:23:00.090"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information in seraikela","weather information in seraikela-Cloudy weather in your area but no chance of rain","JHARKAND","SERAIKELA","CHANDIL                                           ","2014-08-23 14:26:39.680"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","root rot in cauliflower","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","SERAIKELA","KUKRU","2014-08-24 17:53:45.397"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-25 11:52:35.563"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","SERAIKELA","SERAIKELLA                                        ","2014-08-25 11:52:36.130"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information in kharsawan","weather information in kharsawan-no chance of rain in your area.","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-26 17:34:40.727"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Yellowing of leaves paddy crops","Yellowing of leaves paddy crops-Spray mancozeb @2gm/liter water","JHARKAND","SERAIKELA","ICHAGARH                                          ","2014-08-26 21:22:00.733"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","inset infestaion","Spray imidachlorpid @ 1 ml in 3 litre of water","JHARKAND","SERAIKELA","ICHAGARH                                          ","2014-08-27 09:53:33.773"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","inset infestaion","Spray imidachlorpid @ 1 ml in 3 litre of water","JHARKAND","SERAIKELA","ICHAGARH                                          ","2014-08-28 07:58:02.130"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-28 11:29:51.637"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-28 11:29:59.787"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-28 11:30:03.320"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","SERAIKELA","KHARSAWAN                                         ","2014-08-28 11:30:05.440"
