"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Market Information","coconut market price","RAMANAGARA Coconut Average 3900 Numbers  14000","KARNATAKA","BANGALORE (RURAL)","MAGADI                                            ","2014-09-06 13:46:35.047"
"RABI","AGRICULTURE","Others","Others","Weather","Devanhalli Weather Forecast","85 | 66 °F 
Partly Cloudy 
Chance of
Precipitation
20%","KARNATAKA","BANGALORE (RURAL)","DEVANHALLI                                        ","2014-09-09 10:53:51.317"
"RABI","AGRICULTURE","Others","Others","Weather","Kanakapura Weather Forecast","89 | 68 °F 

Partly Cloudy 


Chance of
Precipitation

0%","KARNATAKA","BANGALORE (RURAL)","CHANNAPATNA                                       ","2014-09-11 09:16:22.270"
"RABI","AGRICULTURE","Others","Others","Weather","Devanhalli Weather Forecast","89 | 68 °F 
Partly Cloudy 
Chance of
Precipitation
10%","KARNATAKA","BANGALORE (RURAL)","DEVANHALLI                                        ","2014-09-12 07:22:40.230"
"KHARIF","AGRICULTURE","Others","Others","Weather","weathwer","Day Weather Forecast for Devanhalli









Saturday, 13




88 | 69 °F 

Chance of T-storms 


Chance of
Precipitation

40%","KARNATAKA","BANGALORE (RURAL)","DEVANHALLI                                        ","2014-09-13 07:49:58.203"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","There is hole in the pod what to do","It is pod borer spray momnocrotophos","KARNATAKA","BANGALORE (RURAL)","DODBALLAPUR                                       ","2014-09-14 22:32:40.960"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report;","chance of rain 30%","KARNATAKA","BANGALORE (RURAL)","CHANNAPATNA                                       ","2014-09-16 14:54:05.180"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","papaya pest","dimethoate 2ml in 1liter water","KARNATAKA","BANGALORE (RURAL)","NELAMANGALA                                       ","2014-09-18 10:16:58.443"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","horticulture number","0/8028466353","KARNATAKA","BANGALORE (RURAL)","NELAMANGALA                                       ","2014-09-18 10:56:28.360"
"JAYAD","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","BEANS DISEASE AND GROWTH","WETABLE SULPHUR 3GM PER LITER 1 WATER + 19 ALL 3 GM PER LITER WATER","KARNATAKA","BANGALORE (RURAL)","DEVANHALLI                                        ","2014-09-20 08:36:45.760"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","-Day Weather Forecast for Gauribidanur









Sunday, 21




85 | 69 °F 

Overcast 


Chance of
Precipitation

20%","KARNATAKA","BANGALORE (RURAL)","DODBALLAPUR                                       ","2014-09-21 08:45:01.400"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","Day Weather Forecast for Devanhalli









Sunday, 21




85 | 71 °F 

Chance of Rain 


Chance of
Precipitation

40%","KARNATAKA","BANGALORE (RURAL)","DEVANHALLI                                        ","2014-09-21 11:54:33.587"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","Day Weather Forecast for Devanhalli









Tuesday, 23




88 | 72 °F 

Chance of T-storms 


Chance of
Precipitation

80%","KARNATAKA","BANGALORE (RURAL)","DEVANHALLI                                        ","2014-09-23 08:45:15.900"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","coconut plantations","08028466353/08022742103","KARNATAKA","BANGALORE (RURAL)","NELAMANGALA                                       ","2014-09-25 08:22:36.560"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","GKVK Helpline","GKVK Helpline	080-23330153/23330158","KARNATAKA","BANGALORE (RURAL)","DEVANHALLI                                        ","2014-09-25 11:03:09.810"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Livestock Products Processing and Packaging","POULTRY DEPT","Poultry farm	080-28466093","KARNATAKA","BANGALORE (RURAL)","NELAMANGALA                                       ","2014-09-25 13:54:55.763"
